,ts_code,symbol,name,industry,COL_RECENT_LIMIT_COUNT
0,600121.SH,600121,郑州煤电,煤炭开采,8.0
1,601127.SH,601127,小康股份,汽车配件,6.0
2,600707.SH,600707,彩虹股份,元器件,6.0
3,002510.SZ,002510,天汽模,汽车配件,5.0
4,003004.SZ,003004,声迅股份,软件服务,5.0
5,605068.SH,605068,明新旭腾,汽车配件,5.0
6,002670.SZ,002670,国盛金控,证券,5.0
7,002682.SZ,002682,龙洲股份,公路,4.0
8,000798.SZ,000798,中水渔业,渔业,4.0
9,600191.SH,600191,华资实业,食品,3.0
10,002196.SZ,002196,方正电机,纺织机械,3.0
11,002996.SZ,002996,顺博合金,铝,3.0
12,002227.SZ,002227,奥特迅,电气设备,3.0
13,600616.SH,600616,金枫酒业,红黄酒,3.0
14,002245.SZ,002245,澳洋顺昌,仓储物流,3.0
15,600844.SH,600844,丹化科技,化工原料,3.0
16,601187.SH,601187,厦门银行,银行,3.0
17,605177.SH,605177,东亚药业,化学制药,3.0
18,601579.SH,601579,会稽山,红黄酒,3.0
19,002379.SZ,002379,宏创控股,铝,3.0
20,002765.SZ,002765,蓝黛科技,汽车配件,3.0
21,002553.SZ,002553,南方轴承,汽车配件,3.0
22,300581.SZ,300581,晨曦航空,航空,2.0
23,300424.SZ,300424,航新科技,航空,2.0
24,300094.SZ,300094,国联水产,渔业,2.0
25,300008.SZ,300008,天海防务,船舶,2.0
26,003019.SZ,003019,宸展光电,元器件,2.0
27,002652.SZ,002652,扬子新材,其他建材,2.0
28,002618.SZ,002618,丹邦科技,元器件,2.0
29,002862.SZ,002862,实丰文化,文教休闲,2.0
30,002786.SZ,002786,银宝山新,专用机械,2.0
31,002948.SZ,002948,青岛银行,银行,2.0
32,002805.SZ,002805,丰元股份,化工原料,2.0
33,002863.SZ,002863,今飞凯达,汽车配件,2.0
34,002819.SZ,002819,东方中科,电器仪表,2.0
35,300713.SZ,300713,英可瑞,电气设备,2.0
36,300589.SZ,300589,江龙船艇,船舶,2.0
37,300727.SZ,300727,润禾材料,化工原料,2.0
38,300807.SZ,300807,天迈科技,软件服务,2.0
39,300819.SZ,300819,聚杰微纤,化纤,2.0
40,688536.SH,688536,思瑞浦,半导体,2.0
41,605266.SH,605266,健之佳,医药商业,2.0
42,603948.SH,603948,建业股份,化工原料,2.0
43,603758.SH,603758,秦安股份,汽车配件,2.0
44,603619.SH,603619,中曼石油,石油开采,2.0
45,603615.SH,603615,茶花股份,家居用品,2.0
46,603336.SH,603336,宏辉果蔬,农业综合,2.0
47,603185.SH,603185,上机数控,机床制造,2.0
48,603011.SH,603011,合锻智能,机床制造,2.0
49,601456.SH,601456,国联证券,证券,2.0
50,600979.SH,600979,广安爱众,水力发电,2.0
51,600733.SH,600733,北汽蓝谷,汽车整车,2.0
52,600679.SH,600679,上海凤凰,文教休闲,2.0
53,600559.SH,600559,老白干酒,白酒,2.0
54,600552.SH,600552,凯盛科技,玻璃,2.0
55,600428.SH,600428,中远海特,水运,2.0
56,600418.SH,600418,江淮汽车,汽车整车,2.0
57,600213.SH,600213,亚星客车,汽车整车,2.0
58,600178.SH,600178,东安动力,汽车配件,2.0
59,002466.SZ,002466,天齐锂业,小金属,2.0
60,600059.SH,600059,古越龙山,红黄酒,2.0
61,300892.SZ,300892,品渥食品,乳制品,2.0
62,300869.SZ,300869,康泰医学,医疗保健,2.0
63,600117.SH,600117,西宁特钢,特种钢,2.0
64,688777.SH,688777,中控技术,软件服务,2.0
65,002098.SZ,002098,浔兴股份,服饰,2.0
66,000573.SZ,000573,粤宏远A,区域地产,2.0
67,000628.SZ,000628,高新发展,园区开发,2.0
68,000157.SZ,000157,中联重科,工程机械,2.0
69,002331.SZ,002331,皖通科技,软件服务,2.0
70,002342.SZ,002342,巨力索具,机械基件,2.0
71,000889.SZ,000889,中嘉博创,通信设备,2.0
72,000625.SZ,000625,长安汽车,汽车整车,2.0
