,ts_code,symbol,name,industry,COL_CONTINUOUS_POSITIVE_COUNT,COL_CONTINUOUS_POSITIVE_AVERAGE_CHG,COL_MAX_RETRACEMENT,COL_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605358.SH,605358,立昂微,半导体,3.0,188.85,12.4,595.5265670511521,40.05,,0.0
1,605111.SH,605111,新洁能,半导体,3.0,132.98,7.32,440.86740112285304,51.69,,0.0
2,601100.SH,601100,恒立液压,工程机械,16.0,9.97,18.51,337.50621494177244,1272.6,"中国工商银行股份有限公司-融通中国风1号灵活配置混合型证券投资基金
中国银行-华夏大盘精选证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一零八组合
北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
全国社保基金一零一组合
交通银行-融通行业景气证券投资基金
天达资产管理有限公司-天达环球策略基金-全中国股票基金(交易所)
全国社保基金四零六组合",9.0
3,603223.SH,603223,恒通股份,供气供热,10.0,14.11,19.61,226.72466039755506,62.74,"山东一圈一带产业投资基金有限公司-山高-圈带私募基金
深圳能敬投资控股有限公司-能敬安颐二号私募证券投资基金",2.0
4,002709.SZ,002709,天赐材料,化工原料,8.0,19.6,14.49,210.41120497823678,308.76,"中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
中国农业银行股份有限公司-华安智能生活混合型证券投资基金
全国社保基金一零八组合
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
中央汇金资产管理有限责任公司",6.0
5,000301.SZ,000301,东方盛虹,化纤,8.0,11.15,13.46,209.8951696537226,126.33,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
6,300274.SZ,300274,阳光电源,电气设备,8.0,23.31,13.56,206.38186469489546,560.2,"香港中央结算有限公司(陆股通)
安徽安元投资基金有限公司
全国社保基金一一八组合
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
全国社保基金四一三组合
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金",7.0
7,000625.SZ,000625,长安汽车,汽车整车,7.0,15.75,18.6,201.54061830043554,985.3,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国工商银行-易方达价值成长混合型证券投资基金",3.0
8,300825.SZ,300825,阿尔特,汽车服务,9.0,21.04,24.98,188.77689358748876,22.63,,0.0
9,002096.SZ,002096,南岭民爆,化工原料,7.0,15.93,15.23,185.09439707725915,53.29,"中央汇金资产管理有限责任公司
华菱津杉(天津)产业投资基金合伙企业(有限合伙
华菱津杉(天津)产业投资基金合伙企业(有限合伙)",3.0
10,002245.SZ,002245,澳洋顺昌,仓储物流,7.0,16.76,9.13,183.04143958364017,99.52,华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划,1.0
11,600809.SH,600809,山西汾酒,白酒,9.0,12.32,14.76,180.0,2316.4,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一一四组合
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中央汇金资产管理有限责任公司",7.0
12,300124.SZ,300124,汇川技术,电器仪表,8.0,15.01,11.37,171.7928842021231,1190.66,"招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
招商银行股份有限公司-泓德丰润三年持有期混合型证券投资基金",4.0
13,601908.SH,601908,京运通,新型电力,8.0,9.89,16.18,168.2518267594138,132.14,"安徽中安资本投资基金有限公司
中央汇金资产管理有限责任公司
安徽省铁路发展基金股份有限公司
上海甄投资产管理有限公司-甄投创鑫28号私募证券投资基金",4.0
14,601919.SH,601919,中远海控,水运,6.0,21.9,9.49,165.99432496817894,828.5,中国国有企业结构调整基金股份有限公司,1.0
15,300708.SZ,300708,聚灿光电,半导体,8.0,14.91,38.99,164.53912503044506,55.9,"交通银行股份有限公司-泰达宏利价值优化型成长类行业混合型证券投资基金
中国工商银行股份有限公司-嘉实企业变革股票型证券投资基金
中国工商银行股份有限公司-南方大数据100指数证券投资基金",3.0
16,603486.SH,603486,科沃斯,家用电器,8.0,16.8,14.6,160.0,119.79,"中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
中国工商银行-上投摩根内需动力股票型证券投资基金
中国建设银行股份有限公司-富国国家安全主题混合型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-兴全合润分级混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)",6.0
17,603678.SH,603678,火炬电子,元器件,8.0,10.88,14.56,160.0,250.23,"中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品
汇添富基金管理股份有限公司-社保基金四二三组合
华泰证券股份有限公司-中庚价值领航混合型证券投资基金
全国社保基金四一三组合
广发证券股份有限公司-中庚小盘价值股票型证券投资基金",7.0
18,002027.SZ,002027,分众传媒,影视音像,8.0,10.52,12.9,160.0,1530.9,"中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-东方红沪港深灵活配置混合型证券投资基金",3.0
19,601633.SH,601633,长城汽车,汽车整车,5.0,31.22,11.37,158.43907437253122,1564.8,"香港中央结算有限公司(陆股通)
保定创新长城资产管理有限公司
中央汇金资产管理有限责任公司
中国银行股份有限公司-嘉实3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)
全国社保基金一一一组合",5.0
20,300258.SZ,300258,精锻科技,汽车配件,7.0,8.2,20.0,140.0,67.29,"中欧基金-民生银行-上海海通证券资产管理有限公司
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金
中央汇金资产管理有限责任公司
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金",5.0
21,600006.SH,600006,东风汽车,汽车整车,7.0,7.46,14.8,140.0,123.4,"中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",6.0
22,603896.SH,603896,寿仙谷,中成药,7.0,8.82,9.41,140.0,66.68,,0.0
23,300713.SZ,300713,英可瑞,电气设备,5.0,22.16,29.91,127.31819208161338,23.36,中国农业银行股份有限公司-中邮核心优势灵活配置混合型证券投资基金,1.0
24,300722.SZ,300722,新余国科,专用机械,6.0,41.58,24.53,120.0,90.69,"中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金",2.0
25,601168.SH,601168,西部矿业,铜,3.0,22.24,12.5,110.75834175935287,317.89,"中央汇金资产管理有限责任公司
中国对外经济贸易信托有限公司-新股C1
海通资管-民生-海通海汇系列-星石1号集合资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",4.0
26,300581.SZ,300581,晨曦航空,航空,5.0,30.1,21.61,100.0,79.61,,0.0
27,300402.SZ,300402,宝色股份,专用机械,5.0,20.14,26.4,100.0,38.38,中央汇金资产管理有限责任公司,1.0
28,003002.SZ,003002,壶化股份,化工原料,3.0,33.0,17.4,89.92736473187986,8.85,,0.0
29,300769.SZ,300769,德方纳米,化工原料,3.0,24.07,21.55,86.37916216665258,72.8,"中国工商银行股份有限公司-汇添富红利增长混合型证券投资基金
招商银行股份有限公司-富国沪港深价值精选灵活配置混合型证券投资基金
中国建设银行股份有限公司-上投摩根转型动力灵活配置混合型证券投资基金
深圳市利宇资产管理有限责任公司-利宇致远1号私募证券投资基金
中国工商银行股份有限公司-嘉实周期优选混合型证券投资基金
中国工商银行股份有限公司-上投摩根智慧互联股票型证券投资基金
全国社保基金一一八组合
中国建设银行-上投摩根成长先锋股票型证券投资基金
全国社保基金四一六组合
中国工商银行股份有限公司-光大保德信中国制造2025灵活配置混合型证券投资基金",10.0
30,605099.SH,605099,共创草坪,文教休闲,3.0,27.58,18.09,70.39798532170644,12.42,,0.0
