,ts_code,symbol,name,industry,COL_CONTINUOUS_POSITIVE_COUNT,COL_ALL_POSITIVE,COL_CONTINUOUS_POSITIVE_AVERAGE_CHG,COL_MAX_RETRACEMENT,COL_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300910.SZ,300910,瑞丰新材,化工原料,1.0,True,246.96,4.64,240.9931463039947,23.54,,0.0
1,605358.SH,605358,立昂微,半导体,3.0,True,188.85,12.4,178.50885568371737,44.78,"方正证券-方正中期量化强势进取FOF1号集合资产管理计划-方正证券量化强势进取10号单一资产管理计划
福建平潭唐龙资产管理有限公司-唐龙量化阿尔法3号私募证券投资基金",2.0
2,605007.SH,605007,五洲特纸,造纸,1.0,True,167.59,4.63,162.96433476318225,9.15,,0.0
3,300891.SZ,300891,惠云钛业,化工原料,3.0,True,152.13,18.64,128.86132643903687,16.76,深圳前海鹰眼资本投资管理有限公司-福照1号鹰眼私募证券投资基金,1.0
4,605111.SH,605111,新洁能,半导体,3.0,True,132.98,7.32,126.95580037428435,51.13,上海量宇资产管理有限公司-冠一一号私募基金,1.0
5,601995.SH,601995,中金公司,证券,1.0,True,126.51,5.86,120.64865041156234,170.48,,0.0
6,689009.SH,689009,九号公司-UWD,专用机械,2.0,True,100.61,19.28,85.74371008439375,42.15,,0.0
7,003004.SZ,003004,声迅股份,软件服务,1.0,True,74.23,0.0,74.23494570582425,6.79,,0.0
8,300890.SZ,300890,翔丰华,矿物制品,3.0,True,85.47,22.85,69.4826044449609,12.62,"新湖期货-国金证券盈享1号单一资产管理计划-新湖期货致义单一资产管理计划
银华基金-光大银行-银华基金-光大银行-滴水3号集合资产管理计划
上海通怡投资管理有限公司-通怡方圆8号私募证券投资基金",3.0
9,605198.SH,605198,德利股份,软饮料,3.0,True,74.39,12.76,63.57740754249475,4.49,上海量宇资产管理有限公司-量宇红番茄二号私募证券投资基金,1.0
10,300896.SZ,300896,爱美客,医疗保健,3.0,True,76.83,23.55,62.364209610724465,160.23,"中国工商银行股份有限公司-东方红启元三年持有期混合型证券投资基金
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
全国社保基金六零二组合
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
中国建设银行股份有限公司-南方信息创新混合型证券投资基金
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
中国农业银行股份有限公司-大成创业板两年定期开放混合型证券投资基金",7.0
11,605177.SH,605177,东亚药业,化学制药,1.0,True,67.01,9.19,57.821542846802465,10.39,,0.0
12,003006.SZ,003006,百亚股份,造纸,3.0,True,64.13,14.19,53.402102102752586,10.59,杭州优益增投资管理有限公司-优益增3号私募基金,1.0
13,605068.SH,605068,明新旭腾,汽车配件,1.0,True,68.84,17.78,51.05843589326328,13.87,,0.0
14,300999.SZ,300999,金龙鱼,食品,2.0,True,65.33,21.85,42.24118708718619,316.43,,0.0
15,003019.SZ,003019,宸展光电,元器件,1.0,True,58.61,17.27,41.334051497309986,9.83,,0.0
16,003018.SZ,003018,金富科技,塑料,1.0,True,63.72,29.44,34.27765071102136,7.68,,0.0
17,300722.SZ,300722,新余国科,专用机械,6.0,False,41.58,24.53,26.22047102525507,84.03,"中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国工商银行股份有限公司-广发中证军工交易型开放式指数证券投资基金
交通银行股份有限公司-前海开源中证军工指数型证券投资基金",4.0
18,601633.SH,601633,长城汽车,汽车整车,5.0,False,31.22,11.37,22.4865817397755,1957.2,"中国银行股份有限公司-富国创新趋势股票型证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-嘉实3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)
中国工商银行股份有限公司-万家自主创新混合型证券投资基金
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
全国社保基金一零三组合
中央汇金资产管理有限责任公司
保定创新长城资产管理有限公司",8.0
19,300892.SZ,300892,品渥食品,乳制品,3.0,True,38.63,19.26,21.3853098677251,14.82,"萍乡皓熙汇达新能源产业投资基金(有限合伙)
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
嘉实基金-国新投资有限公司-嘉实基金-国新2号单一资产管理计划",3.0
20,003017.SZ,003017,大洋生物,化工原料,2.0,True,35.64,16.87,20.370988389033588,7.6,,0.0
21,601187.SH,601187,厦门银行,银行,2.0,True,33.51,16.67,20.225648663947076,32.73,,0.0
22,003002.SZ,003002,壶化股份,化工原料,3.0,True,33.0,17.4,19.884048485339914,7.76,"上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
上海明汯投资管理有限公司-明汯中性添利13号私募证券投资基金",2.0
23,000995.SZ,000995,皇台酒业,白酒,3.0,False,29.19,15.11,18.203136607993972,48.38,甘肃西部资产管理股份有限公司,1.0
