,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_MONTHLY_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300676.SZ,300676,华大基因,医疗保健,True,-0.17620000000000002,443.75,"招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
招商银行股份有限公司-万家经济新动能混合型证券投资基金",5.0
1,300747.SZ,300747,锐科激光,元器件,True,-0.12099999999999997,153.1,"中国农业银行股份有限公司-中邮核心优选混合型证券投资基金
香港中央结算有限公司(陆股通)",2.0
2,002876.SZ,002876,三利谱,元器件,True,-0.057300000000000004,50.66,"中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
中国建设银行股份有限公司-国泰大制造两年持有期混合型证券投资基金",3.0
3,603181.SH,603181,皇马科技,化工原料,True,-0.03649999999999998,92.57,"上海彤源投资发展有限公司-彤源同祥私募证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金",3.0
4,000970.SZ,000970,中科三环,元器件,True,-0.0255,113.44,"中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
5,603233.SH,603233,大参林,医药商业,True,-0.0087,651.09,香港中央结算有限公司(陆股通),1.0
6,600688.SH,600688,上海石化,石油加工,True,-0.0067999999999999935,263.84,"易方达基金-农业银行-易方达中证金融资产管理计划
香港中央结算有限公司(陆股通)
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中央汇金资产管理有限责任公司
银华基金-农业银行-银华中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划",12.0
7,300244.SZ,300244,迪安诊断,医疗保健,True,-0.001999999999999995,227.63,"中国华融资产管理股份有限公司
香港中央结算有限公司(陆股通)
全国社保基金四一八组合
中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF)
中国建设银行股份有限公司-银华同力精选混合型证券投资基金",5.0
8,003031.SZ,003031,中瓷电子,元器件,True,0.0,22.28,,0.0
9,003032.SZ,003032,传智教育,文教休闲,True,0.0,8.6,,0.0
10,003035.SZ,003035,南网能源,环境保护,True,0.0,20.3,,0.0
11,605228.SH,605228,神通科技,汽车配件,True,0.0,8.21,,0.0
12,300935.SZ,300935,C盈建科,软件服务,True,0.0,21.35,,0.0
13,300932.SZ,300932,N三友,元器件,True,0.0,16.06,,0.0
14,300930.SZ,300930,C屹通,小金属,True,0.0,7.39,,0.0
15,605398.SH,605398,新炬网络,软件服务,True,0.0,8.86,,0.0
16,300931.SZ,300931,C通用,运输设备,True,0.0,7.9,,0.0
17,605005.SH,605005,合兴股份,汽车配件,True,0.0,4.9,,0.0
18,300933.SZ,300933,N中辰,电气设备,True,0.0,11.16,,0.0
19,300529.SZ,300529,健帆生物,医疗保健,True,0.0049999999999999906,390.44,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金",5.0
20,603127.SH,603127,昭衍新药,医疗保健,True,0.0155,331.91,"中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金
华夏未来资本管理有限公司-华夏未来欣耀1期私募证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金四零六组合",6.0
21,300687.SZ,300687,赛意信息,软件服务,True,0.02850000000000001,46.6,广州市玄元投资管理有限公司-玄元科新83号私募证券投资基金,1.0
22,002810.SZ,002810,山东赫达,化工原料,True,0.034399999999999986,95.56,"交通银行股份有限公司-工银瑞信互联网加股票型证券投资基金
中国工商银行股份有限公司-交银施罗德优势行业灵活配置混合型证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅任昊优选致福私募证券投资基金
中国农业银行股份有限公司-工银瑞信高质量成长混合型证券投资基金
中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金
中国工商银行股份有限公司-交银施罗德持续成长主题混合型证券投资基金",7.0
23,603565.SH,603565,中谷物流,仓储物流,True,0.0345,22.01,福建晋江红昌资产管理有限公司-红昌海丝2号私募证券投资基金,1.0
24,600259.SH,600259,广晟有色,小金属,True,0.039500000000000035,110.73,"中国东方资产管理股份有限公司海南省分公司
上海珺容投资管理有限公司-珺容战略资源1号基金
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金",4.0
25,603618.SH,603618,杭电股份,电气设备,True,0.04969999999999999,46.85,,0.0
26,002236.SZ,002236,大华股份,电器仪表,True,0.0577,460.48,"中央汇金资产管理有限责任公司
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
上海景林资产管理有限公司-景林全球基金
香港中央结算有限公司(陆股通)",4.0
27,601658.SH,601658,邮储银行,银行,True,0.05820000000000002,608.82,"全国社保基金一一四组合
香港中央结算有限公司(陆股通)",2.0
28,002402.SZ,002402,和而泰,元器件,True,0.0687,171.51,"交通银行股份有限公司-易方达高端制造混合型发起式证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-易方达新丝路灵活配置混合型证券投资基金
全国社保基金四零六组合
招商银行股份有限公司-易方达创新成长混合型证券投资基金
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金",6.0
29,600771.SH,600771,广誉远,中成药,True,0.06910000000000001,88.95,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
全国社保基金一零二组合",4.0
30,002539.SZ,002539,云图控股,农药化肥,True,0.0772,56.06,"全国社保基金四零一组合
全国社保基金六零四组合
全国社保基金一一六组合",3.0
31,002271.SZ,002271,东方雨虹,其他建材,True,0.0867,891.81,"中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-交银施罗德新成长混合型证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-交银施罗德精选混合型证券投资基金
中国建设银行股份有限公司-交银施罗德内核驱动混合型证券投资基金
挪威中央银行-自有资金
招商银行股份有限公司-睿远成长价值混合型证券投资基金",8.0
32,002158.SZ,002158,汉钟精机,工程机械,True,0.09000000000000002,102.67,"易方达基金-北京诚通金控投资有限公司-易方达基金-诚通金控1号单一资产管理计划
交通银行股份有限公司-易方达科瑞灵活配置混合型证券投资基金
全国社保基金五零二组合",3.0
33,300628.SZ,300628,亿联网络,通信设备,True,0.09090000000000001,400.99,"中国农业银行股份有限公司-大成创业板两年定期开放混合型证券投资基金
香港中央结算有限公司(陆股通)
上海浦东发展银行股份有限公司-易方达裕丰回报债券型证券投资基金
全国社保基金六零一组合
中国工商银行股份有限公司-泓德泓富灵活配置混合型证券投资基金
中国工商银行股份有限公司-易方达安心回报债券型证券投资基金
中国建设银行股份有限公司-宝盈先进制造灵活配置混合型证券投资基金
全国社保基金一零九组合
中国农业银行股份有限公司-富国互联科技股票型证券投资基金
中国农业银行股份有限公司-宝盈鸿利收益灵活配置混合型证券投资基金",10.0
34,002230.SZ,002230,科大讯飞,软件服务,True,0.10089999999999999,1050.32,"安徽省铁路发展基金股份有限公司
国新央企运营投资基金管理(广州)有限公司-国新央企运营(广州)投资基金(有限合伙)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",4.0
35,000680.SZ,000680,山推股份,工程机械,True,0.1016,43.12,中央汇金资产管理有限责任公司,1.0
36,000558.SZ,000558,莱茵体育,文教休闲,True,0.10859999999999997,41.49,,0.0
