,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_MONTHLY_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002723.SZ,002723,金莱特,家用电器,True,-0.19110000000000002,26.9,"华宝信托有限责任公司-“辉煌”22号单一资金信托
中央汇金资产管理有限责任公司",2.0
1,002876.SZ,002876,三利谱,元器件,True,-0.057300000000000004,51.32,"中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
中国建设银行股份有限公司-国泰大制造两年持有期混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金",3.0
2,603233.SH,603233,大参林,医药商业,True,-0.0087,670.78,香港中央结算有限公司(陆股通),1.0
3,300244.SZ,300244,迪安诊断,医疗保健,True,-0.001999999999999995,207.27,"中国建设银行股份有限公司-银华同力精选混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金四一八组合
中国华融资产管理股份有限公司
中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF)",5.0
4,605398.SH,605398,新炬网络,软件服务,True,0.0,10.72,,0.0
5,605228.SH,605228,神通科技,汽车配件,True,0.0,9.94,,0.0
6,605005.SH,605005,合兴股份,汽车配件,True,0.0,5.93,,0.0
7,300936.SZ,300936,中英科技,元器件,True,0.0,12.55,,0.0
8,003035.SZ,003035,南网能源,环境保护,True,0.0,24.62,,0.0
9,003031.SZ,003031,中瓷电子,元器件,True,0.0,23.76,,0.0
10,003030.SZ,003030,祖名股份,食品,True,0.0,13.53,,0.0
11,600235.SH,600235,民丰特纸,造纸,True,0.004399999999999994,19.67,,0.0
12,300529.SZ,300529,健帆生物,医疗保健,True,0.0049999999999999906,388.32,"中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金",5.0
13,002138.SZ,002138,顺络电子,元器件,True,0.006900000000000017,192.89,"深圳市投控资本有限公司-深圳投控共赢股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
全国社保基金四零六组合
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金",6.0
14,600588.SH,600588,用友网络,软件服务,True,0.015099999999999988,1624.57,"上海合道资产管理有限公司-合道科创1期私募证券投资基金
香港中央结算有限公司(陆股通)",2.0
15,603127.SH,603127,昭衍新药,医疗保健,True,0.0155,328.66,"中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金
香港中央结算有限公司(陆股通)
华夏未来资本管理有限公司-华夏未来欣耀1期私募证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
全国社保基金四零六组合
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金",6.0
16,300604.SZ,300604,长川科技,专用机械,True,0.025900000000000024,76.82,"中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
国家集成电路产业投资基金股份有限公司
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金",5.0
17,002331.SZ,002331,皖通科技,软件服务,True,0.032100000000000024,52.4,,0.0
18,603177.SH,603177,德创环保,环境保护,True,0.039400000000000004,19.76,中阅资本管理股份公司-中阅聚焦3号私募证券投资基金,1.0
19,603618.SH,603618,杭电股份,电气设备,True,0.04969999999999999,45.06,,0.0
20,002236.SZ,002236,大华股份,电器仪表,True,0.0577,490.03,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
上海景林资产管理有限公司-景林全球基金",4.0
21,600999.SH,600999,招商证券,证券,True,0.06620000000000001,1881.48,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
