,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300940.SZ,300940,南极光,元器件,True,730.956,29.77,,0.0
1,300712.SZ,300712,永福股份,建筑工程,True,14.4669,60.8,中国-比利时直接股权投资基金,1.0
2,601015.SH,601015,陕西黑猫,焦炭加工,True,10.0671,133.64,长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金,1.0
3,003036.SZ,003036,泰坦股份,纺织机械,True,10.0273,6.52,,0.0
4,003032.SZ,003032,传智教育,文教休闲,True,10.0193,11.49,,0.0
5,605055.SH,605055,迎丰股份,纺织,True,10.0119,7.38,,0.0
6,603260.SH,603260,合盛硅业,化工原料,True,10.0066,466.09,"香港中央结算有限公司(陆股通)
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金",2.0
7,002331.SZ,002331,皖通科技,软件服务,True,10.0061,68.64,,0.0
8,002677.SZ,002677,浙江美大,家用电器,True,10.0048,64.21,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-华安智能生活混合型证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金",4.0
9,003022.SZ,003022,联泓新科,化工原料,True,10.0,46.2,,0.0
10,600885.SH,600885,宏发股份,电气设备,True,9.9965,467.93,"中国农业银行股份有限公司-国泰智能汽车股票型证券投资基金
中央汇金资产管理有限责任公司
挪威中央银行-自有资金
中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划
全国社保基金四零六组合
香港中央结算有限公司(陆股通)
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金",8.0
11,600392.SH,600392,盛和资源,小金属,True,9.9942,334.18,香港中央结算有限公司(陆股通),1.0
12,002984.SZ,002984,森麒麟,汽车配件,True,9.9857,26.45,"中国工商银行股份有限公司-中信建投策略精选混合型证券投资基金
基本养老保险基金一零零三组合
招商银行股份有限公司-中信建投行业轮换混合型证券投资基金",3.0
13,603801.SH,603801,志邦家居,家居用品,True,9.9807,99.12,"香港中央结算有限公司(陆股通)
全国社保基金一一四组合",2.0
14,000708.SZ,000708,中信特钢,特种钢,True,9.9509,422.95,"香港中央结算有限公司(陆股通)
全国社保基金一零八组合
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)",3.0
15,003035.SZ,003035,南网能源,环境保护,True,9.9237,43.64,,0.0
16,002714.SZ,002714,牧原股份,农业综合,True,9.8092,2670.11,香港中央结算有限公司(陆股通),1.0
17,002472.SZ,002472,双环传动,机械基件,True,8.0645,52.14,,0.0
18,300415.SZ,300415,伊之密,专用机械,True,7.9952,73.51,"兴业银行股份有限公司-天弘永利债券型证券投资基金
施罗德投资管理(香港)有限公司-施罗德环球基金系列中国优势(交易所)
中国银行股份有限公司-东方红睿华沪港深灵活配置混合型证券投资基金(LOF)
中国建设银行股份有限公司-融通新能源汽车主题精选灵活配置混合型证券投资基金",4.0
19,300454.SZ,300454,深信服,软件服务,True,7.5697,692.33,"香港中央结算有限公司(陆股通)
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)",2.0
20,000001.SZ,000001,平安银行,银行,True,7.1735,4841.74,"香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华安聚优精选混合型证券投资基金
中央汇金资产管理有限责任公司
全国社保基金一一七组合",4.0
21,002078.SZ,002078,太阳纸业,造纸,True,7.1713,491.96,"基本养老保险基金一二零一组合
中国光大银行股份有限公司-国投瑞银创新动力混合型证券投资基金
基本养老保险基金一二零六组合
中国农业银行股份有限公司-中邮核心成长混合型证券投资基金
全国社保基金一零八组合
博时基金管理有限公司-社保基金16011组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-中欧消费主题股票型证券投资基金
全国社保基金一一八组合",9.0
