,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600916.SH,600916,中国黄金,黄金,True,44.0882,12.94,,0.0
1,601963.SH,601963,重庆银行,银行,True,44.0443,54.2,,0.0
2,300529.SZ,300529,健帆生物,医疗保健,True,16.5851,417.71,"中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金",5.0
3,600908.SH,600908,无锡银行,银行,True,10.0299,126.68,"华能贵诚信托有限公司-华能信托·鸿源锡诚1号集合资金信托计划
国联信托股份有限公司",2.0
4,003036.SZ,003036,泰坦股份,纺织机械,True,10.0151,7.89,,0.0
5,003037.SZ,003037,N三和,水泥,True,10.0109,6.87,,0.0
6,603786.SH,603786,科博达,汽车配件,True,9.9949,34.82,"中国工商银行-易方达价值成长混合型证券投资基金
全国社保基金五零一组合
全国社保基金一一六组合
招商银行股份有限公司-汇添富绝对收益策略定期开放混合型发起式证券投资基金
国泰基金管理有限公司-社保基金四二一组合
香港中央结算有限公司(陆股通)
招商银行股份有限公司-汇添富策略增长两年封闭运作灵活配置混合型证券投资基金
中国农业银行股份有限公司-国泰智能汽车股票型证券投资基金
中国建设银行股份有限公司-易方达信息产业混合型证券投资基金
大家资产-民生银行-大家资产-盛世精选2号集合资产管理产品(第二期)",10.0
7,603987.SH,603987,康德莱,医疗保健,True,9.9894,90.34,"中国建设银行股份有限公司-国泰医药健康股票型证券投资基金
交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
中国建设银行股份有限公司-国泰大健康股票型证券投资基金
中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
中国工商银行股份有限公司-海富通中小盘混合型证券投资基金
中国建设银行股份有限公司-国泰价值经典灵活配置混合型证券投资基金(LOF)
中国建设银行股份有限公司-国泰研究精选两年持有期混合型证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金",8.0
8,003035.SZ,003035,南网能源,环境保护,True,9.9369,52.8,,0.0
9,600315.SH,600315,上海家化,日用化工,True,8.2232,318.91,"上海重阳战略投资有限公司-重阳战略聚智基金
上海太富祥尔股权投资基金合伙企业(有限合伙)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
香港中央结算有限公司(陆股通)
上海重阳战略投资有限公司-重阳战略同智基金
全国社保基金一一七组合",7.0
