,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,601857.SH,601857,中国石油,石油开采,True,0.6742,9.80392156862746,7254.11,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中石油集团-中信建投证券-17中油E2担保及信托财产专户
中石油集团-中信建投证券-17中油EB担保及信托财产专户",4.0
1,600025.SH,600025,华能水电,水力发电,True,-1.2821,10.11764705882352,831.6,"香港中央结算有限公司(陆股通)
摩根士丹利投资管理公司-摩根士丹利中国A股基金
上海宁泉资产管理有限公司-宁泉致远39号私募证券投资基金",3.0
2,600282.SH,600282,南钢股份,普钢,True,-0.2874,14.473684210526304,154.35,"香港中央结算有限公司(陆股通)
基本养老保险基金一零零三组合
财通基金-广发证券-四川三新创业投资有限责任公司
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金",4.0
3,000825.SZ,000825,太钢不锈,特种钢,True,0.75,15.4727793696275,229.56,"香港中央结算有限公司(陆股通)
上海一村投资管理有限公司-一村启明星1号私募证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",4.0
4,600688.SH,600688,上海石化,石油加工,True,-0.2551,16.666666666666675,286.56,"易方达基金-农业银行-易方达中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
华夏基金-农业银行-华夏中证金融资产管理计划",12.0
5,600210.SH,600210,紫江企业,广告包装,True,5.2743,17.966903073286055,75.69,香港中央结算有限公司(陆股通),1.0
6,601939.SH,601939,建设银行,银行,True,1.2346,19.032258064516117,708.01,"香港中央结算有限公司(陆股通)
中央汇金投资有限责任公司
中央汇金资产管理有限责任公司",3.0
7,002860.SZ,002860,星帅尔,电气设备,True,0.0,19.06873614190687,21.68,"兴证全球基金-兴业银行-兴全兴盛集合资产管理计划
兴业银行股份有限公司-兴全汇享一年持有期混合型证券投资基金",2.0
8,600028.SH,600028,中国石化,石油加工,True,1.0753,19.289340101522857,4491.22,"香港中央结算有限公司(陆股通)
中国工商银行-上证50交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
9,300441.SZ,300441,鲍斯股份,机床制造,True,2.0251,20.227272727272716,66.72,"金鹰基金-浦发银行-金鹰穗盈定增243号资产管理计划
聚惠(深圳)基金管理有限公司-聚惠7号私募基金
聚惠(深圳)基金管理有限公司-聚惠3号私募基金
深圳前海粤资基金管理有限公司-粤资价值成长壹号证券投资私募基金
深圳前海粤资基金管理有限公司-粤资价值成长3号私募证券投资基金",5.0
10,600039.SH,600039,四川路桥,建筑工程,True,-2.0677,21.184510250569488,188.11,"易方达基金-农业银行-易方达中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中欧基金-农业银行-中欧中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
华夏基金-农业银行-华夏中证金融资产管理计划",14.0
11,600058.SH,600058,五矿发展,商贸代理,True,0.3861,21.495327102803728,83.61,"广发基金-农业银行-广发中证金融资产管理计划
华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
嘉实基金-农业银行-嘉实中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划",5.0
12,000898.SZ,000898,鞍钢股份,普钢,True,-0.59,21.942446043165486,267.62,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",4.0
13,600583.SH,600583,海油工程,石油开采,True,1.5748,21.98581560283688,228.14,"易方达基金-农业银行-易方达中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
华夏基金-农业银行-华夏中证金融资产管理计划",12.0
14,601208.SH,601208,东材科技,化工原料,True,-2.2617,22.090729783037478,74.23,中央汇金资产管理有限责任公司,1.0
15,601118.SH,601118,海南橡胶,橡胶,True,0.8741,23.02771855010659,246.92,"广东粤财信托有限公司-粤财信托·宏富10号集合资金信托计划
全国社保基金一一六组合
中央汇金资产管理有限责任公司
长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金",4.0
16,000928.SZ,000928,中钢国际,建筑工程,True,-1.004,23.573200992555844,61.95,"交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金
红土创新基金-银河证券-深圳市创新投资集团有限公司
中钢资产管理有限责任公司
中航证券-宁波银行-中航祥瑞集合资产管理计划",4.0
17,000426.SZ,000426,兴业矿业,铅锌,True,2.8369,24.108416547788856,128.35,"上海中汇金锐投资管理有限公司-中汇金锐定增2期私募投资基金
北信瑞丰基金-民生银行-四川信托-辰星2号证券投资集合资金信托计划",2.0
18,000069.SZ,000069,华侨城A,旅游景点,True,-1.5912,24.164133738601823,567.36,"香港中央结算有限公司(陆股通)
全国社保基金一一四组合
全国社保基金四一三组合
中央汇金资产管理有限责任公司
华夏基金-农业银行-华夏中证金融资产管理计划",5.0
19,600532.SH,600532,未来股份,商贸代理,True,-2.6008,24.333063864187565,77.31,,0.0
20,601111.SH,601111,中国国航,空运,True,4.6626,24.34402332361514,849.77,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-东方红中国优势灵活配置混合型证券投资基金
中国银行股份有限公司-招商行业精选股票型证券投资基金",3.0
21,601996.SH,601996,丰林集团,家居用品,True,2.4465,24.535315985130126,36.19,"上海富善投资有限公司-致远CTA十七期私募基金
锦绣中和(北京)资本管理有限公司-锦绣118号私募投资基金
长和(天津)投资管理有限公司-锦绣509号私募投资基金
深圳悟空投资管理有限公司-悟空蓝海源饶8号私募证券投资基金",4.0
22,601117.SH,601117,中国化学,建筑工程,True,-4.246,24.63503649635035,322.62,"中国化学工程集团-中信建投证券-18中化EB担保及信托财产专户
易方达基金-农业银行-易方达中证金融资产管理计划
香港中央结算有限公司(陆股通)
嘉实基金-农业银行-嘉实中证金融资产管理计划
中央汇金资产管理有限责任公司",5.0
23,002067.SZ,002067,景兴纸业,造纸,True,0.2392,24.702380952380977,40.79,,0.0
24,000657.SZ,000657,中钨高新,小金属,True,-2.293,25.399361022364218,72.69,香港中央结算有限公司(陆股通),1.0
