,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600916.SH,600916,中国黄金,黄金,112.2629582806574,30.22,,0.0
1,300312.SZ,300312,邦讯技术,通信设备,111.070110701107,11.99,深圳市鼎益丰基金投资管理有限公司-鼎益丰天河1号私募证券投资基金,1.0
2,603399.SH,603399,吉翔股份,小金属,83.38461538461539,30.28,"上海天倚道投资管理有限公司-天倚道昕弘成长7号私募证券投资基金
日照汇银股权投资基金管理合伙企业(有限合伙)
温州德裕资产管理有限公司-德裕价值7号私募证券投资基金
上海具力资产管理有限公司-具力进取6号私募证券投资基金
杭州太乙投资管理有限公司-太乙多策略1号私募证券投资基金
上海天倚道投资管理有限公司-天倚道昕弘成长5号私募证券投资基金
华融融达期货-陕国投·聚宝盆66号证券投资集合资金信托计划-华信金玉一号定向资产管理计划
温州德裕资产管理有限公司-德裕钱江一号证券私募投资基金",8.0
3,600714.SH,600714,金瑞矿业,化工原料,83.29809725158562,24.98,中央汇金资产管理有限责任公司,1.0
4,002998.SZ,002998,优彩资源,化纤,81.91841234840132,13.46,,0.0
5,300278.SZ,300278,华昌达,专用机械,74.90494296577945,18.67,陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划,1.0
6,603222.SH,603222,济民制药,化学制药,74.36781609195404,48.54,深圳前海正帆投资管理有限公司-正帆敏行4号私募证券投资基金,1.0
7,600722.SH,600722,金牛化工,化工原料,73.00469483568077,50.14,,0.0
8,000007.SZ,000007,全新好,酒店餐饮,72.6190476190476,13.44,,0.0
9,603032.SH,603032,德新交运,公路,72.57142857142857,19.33,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
10,688059.SH,688059,华锐精密,机械基件,69.80544747081711,9.77,,0.0
11,600295.SH,600295,鄂尔多斯,小金属,68.1194511702986,135.92,香港中央结算有限公司(陆股通),1.0
12,603655.SH,603655,朗博科技,汽车配件,63.251366120218556,25.33,"益家资本管理有限公司-益家聚美1号私募证券投资基金
益家资本管理有限公司-益家聚美3号私募证券投资基金",2.0
13,002647.SZ,002647,仁东控股,多元金融,62.69503546099293,64.22,,0.0
14,002274.SZ,002274,华昌化工,农药化肥,59.38144329896908,72.51,上海保港张家港保税区股权投资基金有限公司,1.0
15,000980.SZ,000980,*ST众泰,汽车配件,55.73770491803278,35.51,"长城(德阳)长富投资基金合伙企业(有限合伙)
烟台速源股权投资基金合伙企业(有限合伙)
中意资产-招商银行-中意资产-招商银行-定增精选6号资产管理产品",3.0
16,600230.SH,600230,沧州大化,农药化肥,55.162790697674424,68.7,"北京磐沣投资管理合伙企业(有限合伙)-磐沣嘉利私募证券投资基金
中央汇金资产管理有限责任公司",2.0
17,300140.SZ,300140,中环装备,环境保护,54.89260143198089,25.03,"中央汇金资产管理有限责任公司
中国华融资产管理股份有限公司",2.0
18,688308.SH,688308,欧科亿,机械基件,54.72340425531914,8.27,,0.0
19,600766.SH,600766,园城黄金,黄金,54.14012738853502,10.84,,0.0
20,300189.SZ,300189,神农科技,种植业,53.38983050847457,52.29,湖南省财信产业基金管理有限公司,1.0
21,002184.SZ,002184,海得控制,软件服务,53.119092627599265,38.15,上海证券-浦发银行-上海证券聚赢定增1号集合资产管理计划,1.0
22,688665.SH,688665,四方光电,电器仪表,52.751621678175354,10.5,,0.0
23,300503.SZ,300503,昊志机电,机械基件,52.034261241970015,26.7,"上海迎水投资管理有限公司-迎水和谐3号私募证券投资基金
上海迎水投资管理有限公司-迎水和谐4号私募证券投资基金
上海通怡投资管理有限公司-通怡海川12号私募证券投资基金
广州市玄元投资管理有限公司-玄元定增精选证券投资基金
上海通怡投资管理有限公司-通怡东风3号私募证券投资基金
上海通怡投资管理有限公司-通怡桃李2号私募证券投资基金",6.0
24,002960.SZ,002960,青鸟消防,专用机械,50.35971223021583,55.73,"中国工商银行股份有限公司-申万菱信新动力混合型证券投资基金
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金",2.0
25,002378.SZ,002378,章源钨业,小金属,50.10570824524309,64.97,,0.0
26,300421.SZ,300421,力星股份,机械基件,48.46266471449488,18.84,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
