,ts_code,symbol,name,industry,COL_JUMP_OFF_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002647.SZ,002647,仁东控股,多元金融,-82.14285714285714,64.22,,0.0
1,600086.SH,600086,退金钰,,-81.55339805825243,2.01,"博时基金-农业银行-博时中证金融资产管理计划
天风证券-湖北省国有资本运营有限公司-天风证券天权50号定向资产管理计划
上海国际信托有限公司-上信-浦银股益4号集合资金信托计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",7.0
2,603222.SH,603222,济民制药,化学制药,-79.41176470588236,48.54,深圳前海正帆投资管理有限公司-正帆敏行4号私募证券投资基金,1.0
3,603655.SH,603655,朗博科技,汽车配件,-76.50438946528332,25.33,"益家资本管理有限公司-益家聚美1号私募证券投资基金
益家资本管理有限公司-益家聚美3号私募证券投资基金",2.0
4,000007.SZ,000007,全新好,酒店餐饮,-73.44573234984195,13.44,,0.0
5,600687.SH,600687,退刚泰,,-72.11538461538463,4.47,"上海淮茂股权投资基金管理合伙企业(有限合伙)
华润深国投信托有限公司-华润信托·韶夏增利39号单一资金信托
浙江汇通刚泰股权投资基金合伙企业(有限合伙)",3.0
6,002781.SZ,002781,奇信股份,装修装饰,-70.99137931034483,20.15,"深圳市前海宏泰恒信基金管理有限公司-宏泰牛刀1号私募证券投资基金
深圳市旭达基金管理有限公司-旭达三角梅1号私募证券投资基金
深圳市旭达基金管理有限公司-旭达紫罗兰1号私募证券投资基金
深圳雪杉基金管理有限公司-雪杉潜渊2号私募证券投资基金
深圳市前海宏泰恒信基金管理有限公司-靖宣二号私募基金",5.0
7,002862.SZ,002862,实丰文化,文教休闲,-68.73272799052506,12.12,深圳安泰量子资产管理有限公司-安泰汉唐云界一号私募证券投资基金,1.0
8,300312.SZ,300312,邦讯技术,通信设备,-67.23095525997581,11.99,深圳市鼎益丰基金投资管理有限公司-鼎益丰天河1号私募证券投资基金,1.0
9,002071.SZ,002071,*ST长城,影视音像,-67.14285714285714,2.4,,0.0
10,300038.SZ,300038,ST数知,互联网,-65.45166402535656,32.39,"鹏华资产-工商银行-中建投信托-中建投信托·京杭单一资金信托
建信基金-兴业银行-中融国际信托-中融-宏金114号单一资金信托
华宝信托有限责任公司-华宝-平安前海1号单一资金信托
华创证券-证券行业支持民企发展系列之华创证券1号FOF单一资产管理计划-华创证券有限责任公司支持民企发展13号单一资产
国寿安保基金-渤海银行-民生信托-中国民生信托-至信349号集合资金信托计划",5.0
11,300325.SZ,300325,ST德威,塑料,-64.6376811594203,16.04,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
12,000662.SZ,000662,*ST天夏,软件服务,-64.56692913385827,4.92,,0.0
13,600191.SH,600191,华资实业,食品,-63.672391017173055,17.46,,0.0
14,603665.SH,603665,康隆达,纺织,-60.73637702503682,26.89,"华宝信托有限责任公司-辉煌1047号单一资金信托
金鹰基金-浦发银行-云南国际信托-云信富春12号单一资金信托",2.0
15,603332.SH,603332,苏州龙杰,化纤,-60.074527548575986,6.08,"上海翎巧资产管理有限公司-翎巧12号私募证券投资基金
上海翎巧资产管理有限公司-翎巧7号私募证券投资基金
上海翎巧资产管理有限公司-速赢二号私募证券投资基金
上海翎巧资产管理有限公司-翎巧4号私募证券投资基金
上海古骓投资管理合伙企业(有限合伙)-古骓十号私募证券投资基金
上海古骓投资管理合伙企业(有限合伙)-古骓六号私募证券投资基金",6.0
16,000667.SZ,000667,美好置业,全国地产,-60.049627791563275,46.5,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
17,600247.SH,600247,*ST成城,商贸代理,-59.62732919254658,2.19,,0.0
18,300530.SZ,300530,达志科技,化工原料,-59.38261575954509,18.79,"深圳市前海小龙资产管理有限公司-小龙趋势1号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如木兰1号私募证券投资基金",2.0
19,600695.SH,600695,绿庭投资,多元金融,-59.34640522875818,15.72,,0.0
20,300220.SZ,300220,金运激光,元器件,-59.21501706484642,23.79,,0.0
21,300807.SZ,300807,天迈科技,软件服务,-58.91800507185123,8.45,"中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
22,600198.SH,600198,大唐电信,通信设备,-58.804258804258815,58.11,"华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",2.0
23,600890.SH,600890,中房股份,区域地产,-58.64661654135339,21.89,上海迎水投资管理有限公司-迎水汇金8号私募证券投资基金,1.0
24,688607.SH,688607,康众医疗,医疗保健,-58.470588235294116,6.85,,0.0
25,300064.SZ,300064,ST金刚,矿物制品,-58.390410958904106,20.12,,0.0
26,688063.SH,688063,派能科技,电气设备,-57.50581395348837,56.19,,0.0
27,300940.SZ,300940,南极光,元器件,-57.115910591342065,13.18,,0.0
28,300939.SZ,300939,秋田微,元器件,-56.951688169091405,13.43,,0.0
29,002863.SZ,002863,今飞凯达,汽车配件,-56.88240656335461,21.57,,0.0
30,002168.SZ,002168,惠程科技,互联网,-55.75485799701047,30.53,"日照汇银股权投资基金管理合伙企业(有限合伙)
富兴投资基金(广州)有限公司-富兴沁园春1号私募证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",4.0
31,688628.SH,688628,优利德,电器仪表,-55.29329608938547,8.4,,0.0
32,600766.SH,600766,园城黄金,黄金,-55.14285714285714,10.84,,0.0
33,002096.SZ,002096,南岭民爆,化工原料,-54.52768729641693,28.33,中央汇金资产管理有限责任公司,1.0
34,603032.SH,603032,德新交运,公路,-54.44516547696301,19.33,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
35,300118.SZ,300118,东方日升,电气设备,-54.189582659333546,96.51,"交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金
红塔资产-中信银行-中信信托-中信·宏商金融投资项目1603期
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
交通银行股份有限公司-平安研究睿选混合型证券投资基金
交通银行股份有限公司-汇丰晋信智造先锋股票型证券投资基金
中国农业银行股份有限公司-平安低碳经济混合型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",8.0
36,000995.SZ,000995,皇台酒业,白酒,-54.12087912087913,38.34,甘肃西部资产管理股份有限公司,1.0
37,300278.SZ,300278,华昌达,专用机械,-54.10122164048866,18.67,陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划,1.0
38,300819.SZ,300819,聚杰微纤,化纤,-54.00268765598004,7.46,"广东润行投资管理有限公司-润行新周期8号私募证券投资基金
广东润行投资管理有限公司-润行新周期1号私募证券投资基金",2.0
39,002684.SZ,002684,ST猛狮,电气设备,-53.92953929539295,10.77,"深圳前海易德顺升股权投资基金合伙企业(有限合伙)
深圳前海易德资本优势股权投资基金合伙企业(有限合伙)
宁波致云股权投资基金管理有限公司",3.0
40,300946.SZ,300946,恒而达,机械基件,-53.8912429378531,11.02,,0.0
41,002366.SZ,002366,台海核电,专用机械,-53.53319057815846,18.64,香港中央结算有限公司(陆股通),1.0
42,300549.SZ,300549,优德精密,专用机械,-53.38983050847457,20.11,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
43,300713.SZ,300713,英可瑞,电气设备,-53.23629606689377,14.48,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
44,600978.SH,600978,*ST宜生,家居用品,-53.153153153153156,7.71,,0.0
45,600340.SH,600340,华夏幸福,区域地产,-52.64214046822742,313.42,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
华夏控股-光大证券-20华夏EB担保及信托财产专户
华夏控股-光大证券-20华EB02担保及信托财产专户",4.0
