,ts_code,symbol,name,industry,COL_CHG,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000980.SZ,000980,*ST众泰,汽车配件,63.387978142076506,4.9123,39.12,"中意资产-招商银行-中意资产-招商银行-定增精选6号资产管理产品
长城(德阳)长富投资基金合伙企业(有限合伙)
烟台速源股权投资基金合伙企业(有限合伙)",3.0
1,600734.SH,600734,*ST实达,IT设备,54.95495495495495,4.878,9.68,广西淳富传淇资产管理有限公司-淳富传淇1号私募证券投资基金,1.0
2,600112.SH,600112,ST天成,电气设备,52.222222222222236,5.3846,7.33,,0.0
3,600146.SH,600146,*ST环球,服饰,42.574257425742566,5.1095,7.1,,0.0
4,002356.SZ,002356,*ST赫美,其他商业,39.80582524271843,5.1095,7.95,,0.0
5,002766.SZ,002766,ST索菱,汽车配件,38.69047619047621,-4.3121,13.36,,0.0
6,002684.SZ,002684,ST猛狮,电气设备,37.64705882352941,-4.878,10.77,"深圳前海易德顺升股权投资基金合伙企业(有限合伙)
深圳前海易德资本优势股权投资基金合伙企业(有限合伙)
宁波致云股权投资基金管理有限公司",3.0
7,000820.SZ,000820,*ST节能,环境保护,36.03603603603602,4.8611,4.49,"陕西省国际信托股份有限公司-陕国投·持盈88号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆30号证券投资集合资金信托计划",2.0
8,000673.SZ,000673,*ST当代,影视音像,35.62499999999999,4.8309,18.0,南方资本-宁波银行-当代东方定向增发专项资产管理计划,1.0
9,002499.SZ,002499,*ST科林,环境保护,33.40040241448692,5.0713,13.15,,0.0
10,002280.SZ,002280,*ST联络,软件服务,33.33333333333335,2.3622,46.67,"香港中央结算有限公司(陆股通)
上海磐耀资产管理有限公司-磐耀源岳定制1号私募证券投资基金",2.0
11,600696.SH,600696,ST岩石,区域地产,32.13058419243986,4.9829,54.02,"五牛股权投资基金管理有限公司
华宝信托有限责任公司-天高资本20号单一资金信托",2.0
12,600515.SH,600515,*ST基础,全国地产,31.733746130030948,5.0617,148.25,"大业信托有限责任公司-大业信托·海航基础定增项目投资集合资金信托计划
长信基金-浦发银行-兴业国际信托-兴业信托·兴津浦鑫6号集合资金信托计划
泰达宏利基金-浦发银行-兴业国际信托-兴业信托·锦馨八号集合资金信托计划
重庆信三威投资咨询中心(有限合伙)-润泽京渝1号私募基金
长江财富资产-浦发银行-兴业信托-兴津浦鑫7号集合资金信托计划",5.0
13,600280.SH,600280,*ST中商,百货,29.761904761904766,-0.3049,36.88,,0.0
14,603996.SH,603996,*ST中新,家用电器,28.32369942196533,-5.1282,6.33,,0.0
15,000737.SZ,000737,ST南风,日用化工,27.602905569007262,-5.045,30.35,,0.0
16,300325.SZ,300325,ST德威,塑料,27.04918032786885,-3.7267,15.45,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
17,603157.SH,603157,*ST拉夏,服饰,26.66666666666666,3.012,2.49,,0.0
18,000422.SZ,000422,ST宜化,农药化肥,26.101694915254225,-5.102,33.85,,0.0
19,600225.SH,600225,*ST松江,区域地产,25.46583850931676,-1.9417,18.47,,0.0
20,002147.SZ,002147,*ST新光,区域地产,24.50980392156863,4.9587,6.82,"泰达宏利基金-平安银行-龚品忠
申万菱信基金-工商银行-创盈定增71号资产管理计划
光大保德信资管-浦发银行-光大保德信耀财富富增6号分级专项资产管理计划
光大保德信资管-浦发银行-光大保德信耀财富富增4号专项资产管理计划
信诚基金-中信银行-信诚基金定众1号分级资产管理计划",5.0
21,600255.SH,600255,*ST鑫科,铜,23.728813559322038,3.3019,40.52,财通基金-李绍君-财通基金玉泉916号单一资产管理计划,1.0
22,600892.SH,600892,*ST大晟,影视音像,23.397435897435905,-0.5168,20.97,深圳市大晟资产管理有限公司,1.0
23,000587.SZ,000587,*ST金洲,批发业,23.2,4.7619,18.92,,0.0
