,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300950.SZ,300950,N德固特,专用机械,True,18.9119,18.911874898191883,1.0000013273040484,17.31,,0.0
1,600483.SH,600483,福能股份,火力发电,True,10.0358,22.80000000000002,0.4401666666666663,142.92,方正富邦基金-包商银行-紫金亿丰(北京)投资管理有限公司,1.0
2,000970.SZ,000970,中科三环,元器件,True,9.962,31.555051078320083,0.3157022302158274,123.46,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金",3.0
3,603177.SH,603177,德创环保,环境保护,True,10.0,33.694344163658215,0.29678571428571454,22.44,中阅资本管理股份公司-中阅聚焦3号私募证券投资基金,1.0
4,003033.SZ,003033,征和工业,机械基件,True,10.0087,36.304816678648464,0.27568518217821775,7.75,,0.0
5,600782.SH,600782,新钢股份,普钢,True,10.0791,40.65656565656566,0.24790829813664594,177.61,"建信基金-工商银行-华润深国投信托-华润信托·兴晟2号集合资金信托计划
香港中央结算有限公司(陆股通)
新钢集团-华泰联合证券-19新钢EB担保及信托财产专户
建信基金-工商银行-华润深国投信托-华润信托·兴晟3号集合资金信托计划
全国社保基金一零六组合",5.0
6,000898.SZ,000898,鞍钢股份,普钢,True,9.9448,43.1654676258993,0.23038786666666655,316.06,"中央汇金资产管理有限责任公司
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",4.0
7,600507.SH,600507,方大特钢,特种钢,True,7.1788,34.015748031496074,0.21104342592592584,183.47,"汇添富基金管理股份有限公司-社保基金四二三组合
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
方大钢铁-中信建投证券-18方钢EB担保及信托财产专户
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",6.0
8,603725.SH,603725,天安新材,塑料,True,9.9891,48.316251830161065,0.20674409999999996,20.8,,0.0
9,300234.SZ,300234,开尔新材,陶瓷,True,20.0483,106.65280665280665,0.18797723781676415,31.45,上海漓沁资产管理合伙企业(有限合伙),1.0
