,ts_code,symbol,name,industry,COL_CHG,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300848.SZ,300848,美瑞新材,化工原料,62.81407035175879,3.7663,13.5,,0.0
1,003039.SZ,003039,顺控发展,水务,61.214574898785436,10.0,12.34,,0.0
2,600526.SH,600526,菲达环保,环境保护,55.42986425339367,6.0185,37.61,,0.0
3,002900.SZ,002900,哈三联,化学制药,50.12658227848099,10.0186,20.26,,0.0
4,605005.SH,605005,合兴股份,汽车配件,46.61654135338345,9.9831,7.82,,0.0
5,002996.SZ,002996,顺博合金,铝,46.40095181439621,10.0134,13.04,,0.0
6,300417.SZ,300417,南华仪器,电器仪表,42.99772899318697,-3.277,14.29,,0.0
7,002269.SZ,002269,美邦服饰,服饰,42.02898550724639,-2.9703,49.24,,0.0
8,003035.SZ,003035,南网能源,环境保护,39.41520467836257,9.9631,90.3,,0.0
9,002665.SZ,002665,首航高科,电气设备,39.23444976076558,-4.902,67.87,,0.0
10,600744.SH,600744,华银电力,火力发电,36.15702479338842,10.0167,54.54,,0.0
11,300812.SZ,300812,易天股份,专用机械,34.863314208572405,-4.8571,13.44,,0.0
12,600212.SH,600212,江泉实业,综合类,33.15363881401618,10.0223,25.28,,0.0
13,300140.SZ,300140,中环装备,环境保护,31.428571428571427,1.2953,30.16,,0.0
14,000565.SZ,000565,渝三峡A,染料涂料,31.390134529147986,9.9437,25.41,,0.0
15,002366.SZ,002366,台海核电,专用机械,29.75000000000001,1.7647,31.3,,0.0
16,000011.SZ,000011,深物业A,区域地产,28.742514970059887,-7.3846,79.23,,0.0
17,300881.SZ,300881,盛德鑫泰,钢加工,28.683693516699414,20.0,9.82,,0.0
18,300820.SZ,300820,英杰电气,电气设备,28.612716763005785,0.7471,13.19,,0.0
19,003038.SZ,003038,鑫铂股份,铝,27.383592017738366,9.9872,9.17,,0.0
20,300922.SZ,300922,天秦装备,机械基件,27.290969899665573,19.9874,10.11,,0.0
21,600766.SH,600766,园城黄金,黄金,27.27272727272725,9.9788,11.6,,0.0
22,002988.SZ,002988,豪美新材,铝,26.150474799123447,10.0,10.05,,0.0
23,300827.SZ,300827,上能电气,电气设备,25.765095119933832,20.0079,11.15,,0.0
24,300324.SZ,300324,旋极信息,软件服务,25.239616613418537,10.4225,43.63,,0.0
25,300940.SZ,300940,南极光,元器件,25.210398354217322,-5.0355,18.8,,0.0
26,600505.SH,600505,西昌电力,水力发电,25.114155251141558,10.0402,29.97,,0.0
27,603439.SH,603439,贵州三力,中成药,24.869451697127932,10.0058,7.79,,0.0
28,600773.SH,600773,西藏城投,区域地产,24.53653217011995,1.2411,85.21,,0.0
29,000806.SZ,000806,*ST银河,生物制药,24.50000000000001,5.0633,17.41,,0.0
30,300563.SZ,300563,神宇股份,通信设备,24.061635717107865,3.2555,20.38,"东海基金-郑如恒-东海基金-金龙122号单一资产管理计划
上海含德股权投资基金管理有限公司-含德盛世6号定增投资私募基金",2.0
31,003016.SZ,003016,欣贺股份,服饰,23.953488372093034,10.0103,11.37,,0.0
32,300901.SZ,300901,中胤时尚,服饰,23.743718592964825,-2.812,11.21,,0.0
33,003036.SZ,003036,泰坦股份,纺织机械,23.715415019762844,10.0176,6.76,,0.0
34,688051.SH,688051,佳华科技,软件服务,23.59110832811522,1.0883,14.64,,0.0
