,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,003039.SZ,003039,顺控发展,水务,35.28,3.0,19.0,119.0,21.87,,0.0
1,003040.SZ,003040,楚天龙,元器件,10.73,3.0,9.0,109.0,8.41,,0.0
2,605286.SH,605286,同力日升,运输设备,34.98,3.0,9.0,109.0,14.69,,0.0
3,688661.SH,688661,N和林,元器件,33.1,1.0,8.0,108.0,5.39,,0.0
4,688329.SH,688329,N艾隆,专用机械,28.3,1.0,6.0,106.0,4.44,,0.0
5,600956.SH,600956,新天绿能,供气供热,15.13,2.0,6.0,106.0,20.39,,0.0
6,603778.SH,603778,乾景园林,建筑工程,7.12,3.0,5.0,105.0,35.6,"富诚海富资管-海通证券-证券行业支持民企发展系列之富诚海富通海富五号集合资产管理计划
北京燕赵汇金国际投资有限责任公司-汇金壹号私募证券投资基金",2.0
7,603759.SH,603759,海天股份,水务,17.75,2.0,5.0,105.0,13.85,,0.0
8,000027.SZ,000027,深圳能源,火力发电,12.12,2.0,5.0,105.0,576.6,,0.0
9,600917.SH,600917,重庆燃气,供气供热,10.74,3.0,4.0,104.0,167.11,,0.0
10,002177.SZ,002177,御银股份,IT设备,7.06,2.0,3.0,103.0,53.74,,0.0
11,605199.SH,605199,葫芦娃,中成药,26.94,3.0,3.0,103.0,10.8,,0.0
12,600540.SH,600540,新赛股份,种植业,6.29,3.0,3.0,103.0,29.62,,0.0
13,002269.SZ,002269,美邦服饰,服饰,2.12,3.0,3.0,103.0,53.27,,0.0
14,601798.SH,601798,蓝科高新,化工机械,7.85,2.0,3.0,103.0,27.83,,0.0
15,603196.SH,603196,日播时尚,服饰,7.14,3.0,3.0,103.0,17.14,,0.0
16,002658.SZ,002658,雪迪龙,环境保护,11.3,3.0,3.0,103.0,34.61,,0.0
17,605055.SH,605055,迎丰股份,纺织,10.79,3.0,3.0,103.0,8.63,,0.0
18,000809.SZ,000809,铁岭新城,区域地产,2.19,2.0,2.0,102.0,18.06,,0.0
19,003003.SZ,003003,天元股份,广告包装,19.31,2.0,2.0,102.0,8.54,,0.0
20,603976.SH,603976,正川股份,医疗保健,45.02,2.0,2.0,102.0,68.07,,0.0
21,600780.SH,600780,通宝能源,火力发电,4.21,2.0,2.0,102.0,48.27,,0.0
22,605169.SH,605169,洪通燃气,供气供热,24.18,2.0,2.0,102.0,9.67,,0.0
23,002060.SZ,002060,粤水电,建筑工程,4.09,2.0,2.0,102.0,49.16,,0.0
24,603080.SH,603080,新疆火炬,供气供热,13.44,2.0,2.0,102.0,19.02,,0.0
25,002941.SZ,002941,新疆交建,建筑工程,13.39,2.0,2.0,102.0,25.86,,0.0
26,002846.SZ,002846,英联股份,广告包装,17.78,2.0,2.0,102.0,24.75,,0.0
27,002907.SZ,002907,华森制药,化学制药,13.51,2.0,2.0,102.0,38.23,,0.0
28,605389.SH,605389,长龄液压,机械基件,85.89,2.0,8.0,8.0,20.9,,0.0
29,688195.SH,688195,腾景科技,元器件,19.46,1.0,5.0,5.0,5.72,,0.0
30,000606.SZ,000606,顺利办,互联网,4.41,2.0,4.0,4.0,31.19,,0.0
31,603919.SH,603919,金徽酒,白酒,37.4,1.0,4.0,4.0,183.75,,0.0
32,605303.SH,605303,园林股份,建筑工程,28.25,1.0,4.0,4.0,11.39,,0.0
33,003022.SZ,003022,联泓新科,化工原料,29.73,1.0,2.0,2.0,43.81,,0.0
34,002378.SZ,002378,章源钨业,小金属,8.69,2.0,2.0,2.0,79.52,,0.0
35,002503.SZ,002503,搜于特,服饰,2.15,2.0,2.0,2.0,51.81,,0.0
