,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002654.SZ,002654,万润科技,互联网,3.82,1.0,1.0,25.41,,0.0
1,000790.SZ,000790,华神科技,中成药,4.8,1.0,1.0,29.59,,0.0
2,600257.SH,600257,大湖股份,渔业,5.17,1.0,1.0,24.88,,0.0
3,002285.SZ,002285,世联行,房产服务,5.23,1.0,1.0,105.32,"易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
香港中央结算有限公司(陆股通)",2.0
4,603366.SH,603366,日出东方,家用电器,5.29,1.0,1.0,42.32,,0.0
5,600769.SH,600769,祥龙电业,建筑工程,5.63,1.0,1.0,21.11,,0.0
6,000883.SZ,000883,湖北能源,火力发电,6.08,1.0,1.0,395.47,,0.0
7,600735.SH,600735,新华锦,商贸代理,6.16,1.0,1.0,23.16,,0.0
8,000503.SZ,000503,国新健康,医疗保健,8.37,1.0,1.0,75.23,,0.0
9,603126.SH,603126,中材节能,环境保护,11.11,1.0,1.0,67.83,,0.0
10,002286.SZ,002286,保龄宝,食品,11.88,1.0,1.0,43.87,,0.0
11,603598.SH,603598,引力传媒,影视音像,12.06,1.0,1.0,32.3,,0.0
12,002677.SZ,002677,浙江美大,家用电器,20.57,1.0,1.0,85.37,,0.0
13,002955.SZ,002955,鸿合科技,IT设备,21.3,1.0,1.0,20.71,,0.0
14,603990.SH,603990,麦迪科技,软件服务,24.1,1.0,1.0,35.09,"中国银行股份有限公司-富国创新趋势股票型证券投资基金
重若(苏州)资产管理有限公司
全国社保基金一零三组合",3.0
15,605136.SH,605136,丽人丽妆,其他商业,32.96,1.0,1.0,13.19,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中信里昂资产管理有限公司-客户资金",2.0
16,003025.SZ,003025,思进智能,机械基件,41.8,1.0,1.0,8.4,,0.0
17,002179.SZ,002179,中航光电,元器件,75.27,1.0,1.0,803.87,"中央汇金资产管理有限责任公司
全国社保基金一零七组合
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-易方达国防军工混合型证券投资基金
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金",6.0
