,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT,COL_CONTINUOUS_LIMIT_COUNT,COL_MA_20_SLOPE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000065.SZ,000065,北方国际,建筑工程,8.4,2.0,1.0,0.81,56.54,,0.0
1,600297.SH,600297,广汇汽车,汽车服务,3.02,2.0,1.0,0.73,244.93,"泰达宏利基金-招商银行-大业信托-大业信托·增利1号集合资金信托计划
北信瑞丰基金-招商银行-华鑫国际信托-华鑫信托·慧智投资110号集合资金信托计划
深圳市银天使资产管理有限公司-银天使2号私募证券投资基金",3.0
2,600231.SH,600231,凌钢股份,普钢,3.16,2.0,2.0,1.08,89.31,,0.0
3,600228.SH,600228,昌九生化,化工原料,11.77,2.0,1.0,0.26,28.4,,0.0
4,600117.SH,600117,西宁特钢,特种钢,4.26,2.0,1.0,0.79,44.52,,0.0
5,600052.SH,600052,浙江广厦,影视音像,3.33,2.0,1.0,0.69,28.11,,0.0
6,300933.SZ,300933,中辰股份,电气设备,12.72,2.0,1.0,0.08,10.95,,0.0
7,300694.SZ,300694,蠡湖股份,汽车配件,9.94,2.0,1.0,0.32,12.92,,0.0
8,300471.SZ,300471,厚普股份,专用机械,11.1,2.0,1.0,0.77,37.43,,0.0
9,300437.SZ,300437,清水源,化工原料,9.73,2.0,2.0,0.72,13.29,广东金百合财富管理有限公司-金百合八号证券投资基金,1.0
10,300228.SZ,300228,富瑞特装,化工机械,7.06,2.0,1.0,0.44,29.66,,0.0
11,300172.SZ,300172,中电环保,环境保护,7.04,2.0,1.0,0.48,26.47,,0.0
12,300098.SZ,300098,高新兴,通信设备,4.11,2.0,2.0,1.13,56.69,,0.0
13,003038.SZ,003038,鑫铂股份,铝,38.33,2.0,1.0,1.41,10.2,,0.0
14,605337.SH,605337,李子园,乳制品,48.47,2.0,1.0,2.33,18.76,,0.0
15,003029.SZ,003029,吉大正元,软件服务,28.2,2.0,2.0,1.67,12.72,,0.0
16,600393.SH,600393,粤泰股份,全国地产,2.26,2.0,2.0,1.1,22.33,,0.0
17,600403.SH,600403,大有能源,煤炭开采,4.47,2.0,1.0,0.51,106.87,,0.0
18,600405.SH,600405,动力源,电气设备,6.2,2.0,1.0,0.72,34.3,,0.0
19,600460.SH,600460,士兰微,半导体,28.24,2.0,2.0,0.93,370.53,"招商银行股份有限公司-银河创新成长混合型证券投资基金
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",6.0
20,605333.SH,605333,沪光股份,汽车配件,17.36,2.0,1.0,0.86,6.96,,0.0
