,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_MA_20_SLOPE,COL_PASS,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600733.SH,600733,北汽蓝谷,汽车整车,12.51,1.0,1.0,2.18,True,251.07,上海中平国瑀并购股权投资基金合伙企业(有限合伙),1.0
1,600197.SH,600197,伊力特,白酒,24.84,1.0,1.0,1.54,True,128.27,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
招商银行股份有限公司-汇添富绝对收益策略定期开放混合型发起式证券投资基金
中国银行股份有限公司-易方达均衡成长股票型证券投资基金
香港中央结算有限公司(陆股通)",4.0
2,002152.SZ,002152,广电运通,IT设备,12.27,1.0,1.0,1.49,True,309.34,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
全国社保基金四一三组合
香港中央结算有限公司(陆股通)",4.0
3,600088.SH,600088,中视传媒,影视音像,12.91,1.0,1.0,1.45,True,52.89,"中央电视台无锡太湖影视城
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划
中央汇金资产管理有限责任公司",3.0
4,000691.SZ,000691,亚太实业,化工原料,5.96,1.0,1.0,1.09,True,17.17,芜湖长元股权投资基金(有限合伙),1.0
5,002813.SZ,002813,路畅科技,汽车配件,35.09,1.0,1.0,1.02,True,13.34,,0.0
6,300282.SZ,300282,三盛教育,文教休闲,4.97,1.0,1.0,1.0,True,17.04,"天弘基金-民生银行-天津信托-天津信托-弘盈30号集合资金信托计划
前海开源基金-浦发银行-渤海国际信托-渤海富盈6号单一资金信托
中央汇金资产管理有限责任公司",3.0
7,002284.SZ,002284,亚太股份,汽车配件,6.22,1.0,1.0,0.96,True,46.92,宁波梅山保税港区智石资产管理有限公司-智石私募证券投资基金,1.0
8,002621.SZ,002621,美吉姆,文教休闲,5.91,1.0,1.0,0.94,True,45.39,,0.0
9,002524.SZ,002524,光正眼科,医疗保健,12.56,1.0,1.0,0.93,True,61.44,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国邮政储蓄银行股份有限公司-创金合信医疗保健行业股票型证券投资基金",2.0
10,002011.SZ,002011,盾安环境,工程机械,4.87,1.0,1.0,0.93,True,43.22,"北京风炎投资管理有限公司-风炎投资102号私募证券投资基金
银华基金-农业银行-银华中证金融资产管理计划",2.0
11,603035.SH,603035,常熟汽饰,汽车配件,13.12,1.0,1.0,0.88,True,49.57,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
深圳菁英时代资本管理有限公司-菁英时代常盈1号私募基金",2.0
12,600237.SH,600237,铜峰电子,元器件,6.69,1.0,1.0,0.85,True,37.53,铜陵市铜鑫先进结构材料产业纾困发展基金合伙企业(有限合伙),1.0
13,603297.SH,603297,永新光学,电器仪表,47.67,1.0,1.0,0.84,True,25.96,"宁兴(宁波)资产管理有限公司
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
中国工商银行股份有限公司-博时成长优选两年封闭运作灵活配置混合型证券投资基金
上海塔基资产管理有限公司-塔基综合策略私募证券投资基金
招商基金-国新投资有限公司-招商基金-国新1号单一资产管理计划
全国社保基金六零四组合",6.0
14,000560.SZ,000560,我爱我家,房产服务,4.26,1.0,1.0,0.8,True,90.54,,0.0
15,300620.SZ,300620,光库科技,元器件,40.37,1.0,1.0,0.76,True,36.09,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.0
16,600559.SH,600559,老白干酒,白酒,22.83,1.0,1.0,0.72,True,214.9,"汇添富基金-工商银行-汇添富-定增盛世添富牛37号资产管理计划
鹏华基金-工商银行-鹏华基金增发精选1号资产管理计划
北京航天产业投资基金(有限合伙)
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金",5.0
17,300902.SZ,300902,国安达,专用机械,31.71,1.0,1.0,0.67,True,9.62,,0.0
18,000419.SZ,000419,通程控股,百货,5.05,1.0,1.0,0.66,True,27.44,,0.0
19,600213.SH,600213,亚星客车,汽车整车,7.15,1.0,1.0,0.63,True,15.97,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
20,605006.SH,605006,山东玻纤,玻璃,13.31,1.0,1.0,0.6,True,13.8,,0.0
21,002906.SZ,002906,华阳集团,汽车配件,30.93,1.0,1.0,0.58,True,159.93,"广州农村商业银行股份有限公司-金鹰信息产业股票型证券投资基金
华润深国投信托有限公司-朱雀合伙专项证券投资信托
中国工商银行-宝盈泛沿海区域增长混合型证券投资基金
交通银行股份有限公司-宝盈创新驱动股票型证券投资基金
珠海横琴中科白云股权投资基金合伙企业(有限合伙)
上海少薮派投资管理有限公司-称心如意8号证券投资基金
中国工商银行股份有限公司-宝盈人工智能主题股票型证券投资基金
中国建设银行股份有限公司-博时产业新趋势灵活配置混合型证券投资基金",8.0
22,601890.SH,601890,亚星锚链,船舶,6.0,1.0,1.0,0.57,True,58.43,,0.0
23,601579.SH,601579,会稽山,红黄酒,10.32,1.0,1.0,0.53,True,55.6,"浙商金汇信托股份有限公司-浙金·汇利36号证券投资集合资金信托计划
上海大丰资产管理有限公司",2.0
24,601999.SH,601999,出版传媒,出版业,6.4,1.0,1.0,0.52,True,35.2,中央汇金资产管理有限责任公司,1.0
25,603390.SH,603390,通达电气,汽车配件,10.65,1.0,1.0,0.51,True,14.5,,0.0
26,002642.SZ,002642,荣联科技,软件服务,4.63,1.0,1.0,0.43,True,25.62,深圳平安大华汇通财富-平安银行-中融国际信托-中融-财富骐骥定增31号集合资金信托计划,1.0
27,002055.SZ,002055,得润电子,元器件,11.33,1.0,1.0,0.38,True,54.03,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
深圳市得胜资产管理有限公司
深圳市投控资本有限公司-深圳投控中证信赢股权投资基金合伙企业(有限合伙)",3.0
28,300248.SZ,300248,新开普,软件服务,9.08,1.0,1.0,0.35,True,32.51,,0.0
29,002786.SZ,002786,银宝山新,专用机械,6.66,1.0,1.0,0.32,True,27.3,"邦信资产管理有限公司
招商基金-建设银行-招商信诺人寿-招商基金-招商信诺量化多策略委托投资资产
兴业证券-兴业-兴业证券金麒麟5号集合资产管理计划",3.0
30,600758.SH,600758,辽宁能源,煤炭开采,3.36,1.0,1.0,0.31,True,48.87,"中国信达资产管理股份有限公司
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金",2.0
31,300184.SZ,300184,力源信息,元器件,3.99,1.0,1.0,0.27,True,40.71,"北京海厚泰资本管理有限公司-海厚泰契约型私募基金陆号
九泰基金-中信证券-九泰基金-锐源定增资产管理计划",2.0
32,000625.SZ,000625,长安汽车,汽车整车,15.81,1.0,1.0,0.27,True,678.32,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
33,002084.SZ,002084,海鸥住工,家居用品,7.16,1.0,1.0,0.15,True,40.81,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
中信证券-中信银行-中信证券卓越成长两年持有期混合型集合资产管理计划
金元顺安基金-民生银行-天津信托-天津信托·美克优选定增10号集合资金信托计划
全国社保基金四一八组合",5.0
34,603069.SH,603069,海汽集团,公路,20.11,1.0,1.0,0.1,True,63.04,浙江九章资产管理有限公司-九章幻方中证500量化进取4号私募基金,1.0
