,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LIMIT_COUNT,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300971.SZ,300971,N博亚,机械基件,True,1.0,0.1105,0.11047282368539246,1340.9270719997685,9.02,,0.0
1,300973.SZ,300973,N立高,食品,True,1.0,4.1262,4.126213592233019,64.03328235294103,38.75,,0.0
2,300968.SZ,300968,N格林,元器件,True,1.0,8.6199,8.619899128840004,25.228485478723343,20.69,,0.0
3,601279.SH,601279,N英利,汽车配件,True,2.0,10.0671,10.067114093959727,4.366832400000002,4.9,,0.0
4,300962.SZ,300962,C中金辐,综合类,True,0.0,-8.7143,9.546165884194057,0.6348726885245899,20.0,,0.0
5,300543.SZ,300543,朗科智能,电气设备,True,1.0,2.6623,24.68454258675079,0.6116054185303514,24.98,,0.0
6,603390.SH,603390,通达电气,汽车配件,True,1.0,10.0207,17.03296703296704,0.5883120645161288,13.69,,0.0
7,601512.SH,601512,中新集团,园区开发,True,0.0,3.9088,7.166853303471443,0.5453997500000001,76.31,,0.0
8,300282.SZ,300282,三盛教育,文教休闲,True,1.0,20.0483,40.793201133144485,0.491461798611111,18.57,,0.0
9,603998.SH,603998,方盛制药,中成药,True,1.0,-1.8803,21.36929460580912,0.46620163106796136,24.64,,0.0
10,002659.SZ,002659,凯文教育,文教休闲,True,1.0,1.3423,22.10242587601079,0.4568955487804876,26.65,,0.0
11,601999.SH,601999,出版传媒,出版业,True,1.0,9.9656,22.60536398467434,0.44085111864406756,35.26,,0.0
12,300329.SZ,300329,海伦钢琴,文教休闲,True,1.0,0.0,30.741410488245926,0.42186743529411774,18.25,,0.0
13,600527.SH,600527,江南高纤,化纤,True,0.0,8.5185,20.576131687242793,0.41399910000000006,50.74,,0.0
14,002284.SZ,002284,亚太股份,汽车配件,True,1.0,10.0885,24.64929859719438,0.40928142276422774,42.67,,0.0
15,603035.SH,603035,常熟汽饰,汽车配件,True,1.0,9.9749,25.55023923444977,0.3904033895131085,45.07,,0.0
16,603681.SH,603681,永冠新材,化工原料,True,0.0,7.1017,18.345705196182394,0.3871042254335261,13.76,,0.0
17,000419.SZ,000419,通程控股,百货,True,1.0,10.0218,25.935162094763097,0.3864174807692307,27.44,,0.0
18,002786.SZ,002786,银宝山新,专用机械,True,1.0,10.0826,26.375711574952575,0.38226835971223,25.29,,0.0
19,600279.SH,600279,重庆港九,港口,True,0.0,5.3073,13.897280966767367,0.38189484782608707,32.8,,0.0
