,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_MA_20_SLOPE,COL_PASS_1,COL_PASS_2,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002738.SZ,002738,中矿资源,小金属,28.47,1.0,1.0,0.22,True,True,10.0077,72.67,"上海并购股权投资基金合伙企业(有限合伙)
东方富海(芜湖)股权投资基金管理企业(有限合伙)
中央汇金资产管理有限责任公司",3.0
1,002875.SZ,002875,安奈儿,服饰,11.51,1.0,1.0,0.89,True,True,4.5413,9.13,杭州威曼投资管理有限公司-威曼新申稳健1号私募证券投资基金,1.0
2,300516.SZ,300516,久之洋,电器仪表,30.2,1.0,1.0,0.44,True,True,3.0717,54.36,,0.0
3,002646.SZ,002646,青青稞酒,白酒,15.95,1.0,1.0,0.15,True,True,2.7044,71.75,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
嘉实基金-农业银行-嘉实中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
中央汇金资产管理有限责任公司",8.0
4,300543.SZ,300543,朗科智能,电气设备,16.23,1.0,1.0,0.43,True,True,2.6565,25.64,,0.0
5,002824.SZ,002824,和胜股份,铝,21.88,1.0,1.0,1.32,True,True,2.4345,23.53,,0.0
6,002382.SZ,002382,蓝帆医疗,医疗保健,20.71,1.0,1.0,0.26,True,True,0.6317,163.2,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
蓝帆投资-国都证券-蓝帆EB担保及信托财产专户
中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
江苏疌泉毅达融京股权并购投资基金(有限合伙)",6.0
7,002662.SZ,002662,京威股份,汽车配件,3.59,1.0,1.0,0.31,True,True,0.0,53.85,,0.0
8,002235.SZ,002235,安妮股份,互联网,4.85,1.0,1.0,0.21,True,True,-3.1936,25.72,,0.0
9,002659.SZ,002659,凯文教育,文教休闲,4.38,1.0,1.0,0.49,True,True,-3.3113,25.77,"华轩(上海)股权投资基金有限公司
上海通怡投资管理有限公司-通怡百合10号私募基金
上海通怡投资管理有限公司-通怡麒麟9号私募证券投资基金",3.0
10,300061.SZ,300061,旗天科技,互联网,4.59,1.0,1.0,0.55,True,True,-3.5714,24.98,"博时资本-宁波银行-博时资本康耐特1号专项资产管理计划
博时资本-宁波银行-博时资本康耐特2号专项资产管理计划
珠海安赐共创投资基金管理企业(有限合伙)",3.0
11,002699.SZ,002699,美盛文化,服饰,5.65,1.0,1.0,1.03,True,True,-5.2013,51.39,"浙商产融融乐资产管理(上海)有限公司
香港中央结算有限公司(陆股通)",2.0
12,000616.SZ,000616,海航投资,全国地产,2.81,1.0,1.0,0.82,True,True,-6.0201,40.19,,0.0
