,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_HISTORY_BREAK_INDEX,COL_MA_20_SLOPE,COL_PASS,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300573.SZ,300573,兴齐眼药,化学制药,126.92,1.0,1.0,0.0,1.99,True,77.14,,0.0
1,600882.SH,600882,妙可蓝多,乳制品,71.2,1.0,1.0,0.0,1.45,True,291.43,,0.0
2,300302.SZ,300302,同有科技,软件服务,11.02,1.0,1.0,0.0,1.39,True,37.76,国新融智基金管理(北京)有限公司-北京海国合创共享股权投资基金管理中心(有限合伙),1.0
3,605369.SH,605369,拱东医疗,医疗保健,64.26,1.0,1.0,0.0,1.29,True,17.99,,0.0
4,605179.SH,605179,一鸣食品,乳制品,22.1,1.0,1.0,0.0,1.2,True,13.48,,0.0
5,300910.SZ,300910,瑞丰新材,化工原料,87.7,1.0,1.0,0.0,1.11,True,31.19,,0.0
6,603518.SH,603518,锦泓集团,服饰,6.62,1.0,1.0,0.0,1.06,True,16.55,,0.0
7,002645.SZ,002645,华宏科技,专用机械,14.56,1.0,1.0,0.0,0.9,True,64.07,,0.0
8,601949.SH,601949,中国出版,出版业,8.77,1.0,1.0,0.0,0.9,True,159.83,,0.0
9,300908.SZ,300908,仲景食品,食品,73.29,1.0,1.0,0.0,0.88,True,17.38,,0.0
10,002435.SZ,002435,长江健康,化学制药,5.32,1.0,1.0,0.0,0.86,True,63.82,,0.0
11,000409.SZ,000409,山东地矿,综合类,5.05,1.0,1.0,0.0,0.86,True,20.48,北京志开投资管理有限公司-志开汇融2号私募证券投资基金,1.0
12,002413.SZ,002413,雷科防务,通信设备,7.24,1.0,1.0,0.0,0.81,True,78.77,,0.0
13,002852.SZ,002852,道道全,食品,15.57,1.0,1.0,0.0,0.74,True,31.98,,0.0
14,600616.SH,600616,金枫酒业,红黄酒,7.85,1.0,1.0,0.0,0.73,True,52.52,,0.0
15,000995.SZ,000995,皇台酒业,白酒,20.21,1.0,1.0,0.0,0.71,True,35.85,甘肃西部资产管理股份有限公司,1.0
16,000158.SZ,000158,常山北明,纺织,5.87,1.0,1.0,0.0,0.6,True,92.36,,0.0
17,600149.SH,600149,廊坊发展,综合类,5.57,1.0,1.0,0.0,0.6,True,21.17,,0.0
18,600178.SH,600178,东安动力,汽车配件,8.01,1.0,1.0,0.0,0.58,True,37.01,,0.0
19,002054.SZ,002054,德美化工,化工原料,10.34,1.0,1.0,0.0,0.55,True,32.11,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,1.0
20,300116.SZ,300116,保力新,电气设备,2.11,1.0,1.0,0.0,0.53,True,79.27,,0.0
21,002063.SZ,002063,远光软件,软件服务,9.6,1.0,1.0,0.0,0.11,True,97.37,,0.0
22,605005.SH,605005,合兴股份,汽车配件,21.59,1.0,1.0,0.0,0.05,True,8.66,,0.0
