,ts_code,symbol,name,industry,COL_LIMIT_COUNT,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600750.SH,600750,江中药业,中成药,0.0,1.8779,3.629417382999045,0.5174108684210525,68.36,"香港中央结算有限公司(陆股通)
招商财富资管-招商银行-招商财富-致远2号集合资产管理计划
中央汇金资产管理有限责任公司",3.0
1,600381.SH,600381,青海春天,医疗保健,1.0,10.0324,21.212121212121193,0.4729560000000005,40.21,,0.0
2,000995.SZ,000995,皇台酒业,白酒,2.0,9.9951,29.019152640742885,0.345161698,38.83,甘肃西部资产管理股份有限公司,1.0
3,600809.SH,600809,山西汾酒,白酒,0.0,6.4291,20.201257861635224,0.31825245952677456,3402.35,"中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
交通银行股份有限公司-汇添富中盘价值精选混合型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金",7.0
4,603025.SH,603025,大豪科技,IT设备,0.0,6.0306,20.696721311475397,0.291379485148515,211.48,香港中央结算有限公司(陆股通),1.0
5,600382.SH,600382,广东明珠,商贸代理,0.0,2.2688,7.9189686924493685,0.28650195348837165,45.52,,0.0
6,600771.SH,600771,广誉远,中成药,0.0,3.9401,14.416615760537566,0.27330269915254246,90.43,"全国社保基金一零二组合
国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托",4.0
7,603076.SH,603076,乐惠国际,专用机械,1.0,0.9024,30.99041533546325,0.2584637835051547,50.18,"深圳市前海进化论资产管理有限公司-进化论一平精选私募证券投资基金
上海通怡投资管理有限公司-通怡向阳6号私募证券投资基金
上海天戈投资管理有限公司-天戈紫旭私募基金",3.0
8,002183.SZ,002183,怡亚通,仓储物流,0.0,-0.8081,12.756264236902059,0.22817024999999985,104.19,"香港中央结算有限公司(陆股通)
金鹰基金-工商银行-金鹰穗通26号资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
9,603198.SH,603198,迎驾贡酒,白酒,1.0,9.9952,45.05703422053233,0.22183439662447255,382.4,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
安徽六安市迎驾慈善基金会",4.0
10,002342.SZ,002342,巨力索具,机械基件,0.0,2.7335,12.749999999999995,0.21439215686274518,38.86,中央汇金资产管理有限责任公司,1.0
11,600655.SH,600655,豫园股份,百货,0.0,-1.3481,18.403755868544593,0.21036466836734705,196.97,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
12,600600.SH,600600,青岛啤酒,啤酒,0.0,3.6444,18.15072830905635,0.2007853314724356,649.15,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中央汇金资产管理有限责任公司",3.0
13,603299.SH,603299,苏盐井神,化工原料,0.0,2.5926,14.227086183310544,0.18222986538461525,46.04,,0.0
14,000929.SZ,000929,兰州黄河,啤酒,0.0,2.1924,17.17877094972067,0.1752919349593496,15.44,,0.0
15,603589.SH,603589,口子窖,白酒,0.0,1.7268,10.769230769230775,0.16034571428571417,390.0,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-中欧消费主题股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金",3.0
