,ts_code,symbol,name,industry,COL_LIMIT_COUNT,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300858.SZ,300858,科拓生物,食品,0.0,8.2564,14.650047938638554,0.5635749476439785,12.33,,0.0
1,002991.SZ,002991,甘源食品,食品,1.0,10.0066,19.162246702026398,0.522203902058197,19.32,,0.0
2,300892.SZ,300892,品渥食品,乳制品,1.0,17.8512,39.276315789473685,0.4545029145728643,15.88,,0.0
3,603697.SH,603697,有友食品,食品,0.0,3.9136,9.074187614960149,0.43128929729729726,15.99,,0.0
4,603886.SH,603886,元祖股份,食品,0.0,7.4292,17.819460726846437,0.4169149736842102,48.24,,0.0
5,300915.SZ,300915,海融科技,食品,0.0,6.1057,14.721804511278203,0.4147385597548517,11.44,,0.0
6,000639.SZ,000639,西王食品,食品,0.0,1.9763,4.878048780487809,0.40514149999999965,55.49,,0.0
7,300791.SZ,300791,仙乐健康,医疗保健,0.0,2.1059,5.430183356840623,0.38781379220779205,30.76,,0.0
8,603719.SH,603719,良品铺子,食品,0.0,8.5213,22.13061401605554,0.38504580098039226,125.92,"挪威中央银行-自有资金
中国邮政储蓄银行有限责任公司-中欧中小盘股票型证券投资基金(LOF)
中国工商银行股份有限公司-诺安积极配置混合型证券投资基金
中国银行股份有限公司-广发中证养老产业指数型发起式证券投资基金
全国社保基金五零三组合
兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
中欧基金-农业银行-中国太平洋人寿保险-中国太平洋人寿股票主动管理型产品(个分红)委托投资
中信银行股份有限公司-鹏扬景沃六个月持有期混合型证券投资基金",8.0
9,603020.SH,603020,爱普股份,食品,0.0,2.589,7.3363431151241665,0.35290061538461476,30.43,,0.0
10,300973.SZ,300973,立高食品,食品,0.0,5.85,23.320388349514552,0.3393468359700252,45.9,,0.0
11,601515.SH,601515,东风股份,广告包装,0.0,4.7619,14.748201438848918,0.32288004878048787,85.14,,0.0
12,603536.SH,603536,惠发食品,食品,0.0,2.7839,8.947432133886156,0.31113954912903746,23.57,"中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金
中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
中国工商银行股份有限公司-华安安信消费服务混合型证券投资基金
中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金",4.0
13,603027.SH,603027,千禾味业,食品,0.0,-5.4551,14.439461883408056,0.31089108695652207,221.49,,0.0
14,300783.SZ,300783,三只松鼠,食品,2.0,19.9647,68.02309595820732,0.29349884357316086,138.71,"香港中央结算有限公司(陆股通)
全国社保基金一一一组合
摩根资产管理(亚太)有限公司-摩根中国先驱A股基金
摩根资产管理(新加坡)有限公司-摩根中国A股市场机会基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金",5.0
15,300898.SZ,300898,熊猫乳品,乳制品,0.0,7.5714,25.849582172701947,0.29290221982758624,14.01,,0.0
16,002956.SZ,002956,西麦食品,食品,0.0,3.2503,12.382386149792989,0.262493832826748,20.85,"中国银行股份有限公司-嘉实瑞和两年持有期混合型证券投资基金
招商银行股份有限公司-嘉实远见精选两年持有期混合型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
山东铁路发展基金有限公司",6.0
17,605338.SH,605338,巴比食品,食品,0.0,3.9629,15.377417342482836,0.25770907505071006,22.93,,0.0
18,600597.SH,600597,光明乳业,乳制品,0.0,2.7912,10.963646855164466,0.2545868210526313,234.45,"香港中央结算有限公司(陆股通)
全国社保基金四一三组合
全国社保基金一零五组合
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-嘉实产业先锋混合型证券投资基金
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金",6.0
19,300908.SZ,300908,仲景食品,食品,1.0,7.2001,29.38186587965239,0.24505251060267866,18.71,,0.0
20,603317.SH,603317,天味食品,食品,0.0,0.3049,16.465863453815267,0.24347948780487796,57.67,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-景顺长城鼎益混合型证券投资基金(LOF)
中国工商银行-广发聚丰混合型证券投资基金
招商银行股份有限公司-广发新经济混合型发起式证券投资基金
中国建设银行股份有限公司-诺德价值优势混合型证券投资基金
中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
中国农业银行股份有限公司-长信内需成长混合型证券投资基金",7.0
21,603696.SH,603696,安记食品,食品,0.0,2.1784,9.201773835920179,0.23673696385542164,23.17,,0.0
22,300106.SZ,300106,西部牧业,农业综合,0.0,-1.4159,11.660447761194037,0.2099319039999999,23.54,,0.0
23,003000.SZ,003000,华文食品,食品,0.0,4.2228,20.609065155807382,0.20490012371134006,6.81,"中信里昂资产管理有限公司-客户资金
西藏信托有限公司",2.0
24,600785.SH,600785,新华百货,百货,0.0,-3.2086,18.034265103697035,0.2019544449999999,28.59,"上海宝银创赢投资管理有限公司-上海宝银创赢最具巴菲特潜力对冲基金3期
上海宝银创赢投资管理有限公司-上海宝银创赢最具巴菲特潜力对冲基金16期",2.0
25,603777.SH,603777,来伊份,食品,0.0,3.1797,15.798611111111116,0.2012645274725274,43.69,,0.0
26,002515.SZ,002515,金字火腿,食品,0.0,1.7893,8.958333333333357,0.19973581395348783,44.94,,0.0
27,300741.SZ,300741,华宝股份,食品,0.0,1.6287,12.955779674166013,0.19895367664670668,50.62,"香港中央结算有限公司(陆股通)
盈峰资本管理有限公司-顺荣成长基金
招商银行股份有限公司-东方红恒阳五年定期开放混合型证券投资基金
中国工商银行股份有限公司—东方红启元三年持有期混合型证券投资基金",4.0
28,002570.SZ,002570,贝因美,乳制品,3.0,-4.5662,50.68807339449541,0.1982774117647059,64.11,,0.0
29,002329.SZ,002329,皇氏集团,乳制品,0.0,-0.5837,25.98039215686274,0.1885267924528302,27.24,,0.0
30,002330.SZ,002330,得利斯,食品,0.0,0.3401,2.7874564459930307,0.18396700000000005,29.61,,0.0
31,002582.SZ,002582,好想你,食品,0.0,0.9213,5.604203152364273,0.16439446875,49.68,,0.0
32,002847.SZ,002847,盐津铺子,食品,0.0,2.2302,13.97451705713111,0.15959048823529418,146.66,"中国工商银行-汇添富成长焦点混合型证券投资基金
中国工商银行股份有限公司-汇添富蓝筹稳健灵活配置混合型证券投资基金
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
汇添富基金管理股份有限公司-社保基金四二三组合
中国建设银行股份有限公司-南方景气驱动混合型证券投资基金
中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金",6.0
33,000716.SZ,000716,黑芝麻,食品,0.0,0.6061,7.792207792207795,0.15746499999999997,22.21,,0.0
34,002695.SZ,002695,煌上煌,食品,0.0,-0.4627,8.306878306878307,0.1567496178343949,89.3,"中国工商银行股份有限公司-汇添富民营活力混合型证券投资基金
中信证券-建设银行-中信证券臻选价值成长混合型集合资产管理计划
中信证券股份有限公司-社保基金17051组合
全国社保基金四一八组合
中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金",5.0
35,002910.SZ,002910,庄园牧场,乳制品,0.0,0.4,10.572687224669597,0.15379250000000008,12.86,"香港中央结算有限公司(陆股通)
天津创东方富弘股权投资基金合伙企业(有限合伙)",2.0
36,002557.SZ,002557,洽洽食品,食品,0.0,-1.9555,15.713387806411072,0.1449591919999999,274.54,,0.0
37,600887.SH,600887,伊利股份,乳制品,0.0,0.7814,5.565575882504503,0.14039876851851868,2370.91,,0.0
38,600882.SH,600882,妙可蓝多,乳制品,1.0,-1.4804,38.110149198747465,0.13930672305461578,302.36,,0.0
39,002726.SZ,002726,龙大肉食,食品,0.0,2.3894,17.700915564598162,0.13498736781609202,114.42,"成都正骐投资管理有限公司-正骐消费一号私募证券投资基金
兴业银行股份有限公司-广发稳健优选六个月持有期混合型证券投资基金
成都正骐投资管理有限公司-正骐消费三号私募证券投资基金",3.0
40,003030.SZ,003030,祖名股份,食品,0.0,2.3291,17.4992338338952,0.13309725569176872,10.42,,0.0
41,600300.SH,600300,维维股份,软饮料,0.0,-0.9975,9.562841530054644,0.1320318857142857,66.38,,0.0
42,000895.SZ,000895,双汇发展,食品,0.0,0.252,12.744090441932165,0.13068017741935486,592.25,"香港中央结算有限公司(陆股通)
全国社保基金一一一组合
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
中央汇金资产管理有限责任公司
全国社保基金五零三组合
中国工商银行-广发稳健增长证券投资基金
全国社保基金一一五组合
全国社保基金一零一组合",8.0
43,600186.SH,600186,莲花健康,食品,0.0,1.0753,8.461538461538453,0.12708090909090922,38.91,,0.0
44,002505.SZ,002505,鹏都农牧,农业综合,0.0,-1.6667,7.327586206896575,0.11467623529411729,129.45,,0.0
45,603866.SH,603866,桃李面包,食品,0.0,-2.2041,12.059329320722266,0.10504730124777185,334.98,香港中央结算有限公司(陆股通),1.0
