,ts_code,symbol,name,industry,COL_MAX_CONTINUOUS_LIMIT_COUNT,COL_LAST_IF_LIMIT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000820.SZ,000820,*ST节能,环境保护,6.0,False,13.66,"陕西省国际信托股份有限公司-陕国投·持盈88号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆30号证券投资集合资金信托计划",2.0
1,000980.SZ,000980,*ST众泰,汽车配件,4.0,False,70.77,"深圳市恒泰华盛资产管理有限公司-宁波梅山保税港区西投珅城投资合伙企业(有限合伙)
长城(德阳)长富投资基金合伙企业(有限合伙)
烟台速源股权投资基金合伙企业(有限合伙)",3.0
2,600816.SH,600816,ST安信,多元金融,4.0,False,133.71,"上海方圆达创投资合伙企业(有限合伙)-方圆-东方8号私募投资基金
上海方圆达创投资合伙企业(有限合伙)-方圆-东方43号私募投资基金",2.0
3,603157.SH,603157,*ST拉夏,服饰,4.0,False,4.02,,0.0
4,002356.SZ,002356,*ST赫美,其他商业,3.0,False,10.27,,0.0
5,002684.SZ,002684,*ST猛狮,电气设备,3.0,False,15.04,"深圳前海易德顺升股权投资基金合伙企业(有限合伙)
宁波致云股权投资基金管理有限公司
深圳前海易德资本优势股权投资基金合伙企业(有限合伙)",3.0
6,600091.SH,600091,*ST明科,化工原料,3.0,False,10.15,,0.0
7,600615.SH,600615,*ST丰华,小金属,3.0,False,13.32,"重庆国际信托股份有限公司-鸿睿一号集合资金信托计划
重庆国际信托股份有限公司-兴国1号集合资金信托计划",2.0
8,600696.SH,600696,ST岩石,区域地产,3.0,False,86.23,"华宝信托有限责任公司-天高资本20号单一资金信托
五牛股权投资基金管理有限公司",2.0
9,601020.SH,601020,ST华钰,铅锌,3.0,False,38.27,中国国际金融香港资产管理有限公司-客户资金2,1.0
