,ts_code,symbol,name,industry,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300845.SZ,300845,捷安高科,软件服务,0.0,5.13,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
1,300839.SZ,300839,博汇股份,石油加工,0.0,5.48,"上海明汯投资管理有限公司-明汯多策略对冲1号基金
上海明汯投资管理有限公司--明汯多策略对冲1号基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司--明汯价值成长1期私募投资基金
中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金
上海明汯投资管理有限公司--明汯股票中性专享1号私募证券投资基金
中国国际金融香港资产管理有限公司--客户资金2",8.0
2,300849.SZ,300849,锦盛新材,塑料,0.0,5.54,"上海明汯投资管理有限公司-明汯多策略对冲1号基金
新湖期货-国金证券盈享1号单一资产管理计划-新湖期货致义单一资产管理计划
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯信仪中证500指数增强1号私募证券投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",5.0
3,300927.SZ,300927,江天化学,化工原料,0.0,5.75,,0.0
4,300930.SZ,300930,屹通新材,小金属,0.0,5.88,,0.0
5,300929.SZ,300929,华骐环保,环境保护,0.0,5.88,,0.0
6,300838.SZ,300838,浙江力诺,电器仪表,0.0,5.88,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
7,300897.SZ,300897,山科智能,电器仪表,0.0,5.89,,0.0
8,300923.SZ,300923,研奥股份,运输设备,0.0,6.05,,0.0
9,300899.SZ,300899,上海凯鑫,环境保护,0.0,6.29,,0.0
10,300960.SZ,300960,通业科技,电气设备,0.0,6.56,,0.0
11,300943.SZ,300943,春晖智控,机械基件,0.0,6.65,,0.0
12,300886.SZ,300886,华业香料,化工原料,0.0,6.69,,0.0
13,300808.SZ,300808,久量股份,家用电器,0.0,6.78,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
14,300972.SZ,300972,万辰生物,种植业,0.0,6.88,,0.0
15,300907.SZ,300907,康平科技,电气设备,0.0,6.93,,0.0
16,300668.SZ,300668,杰恩设计,装修装饰,0.0,6.94,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
