,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300268.SZ,300268,佳沃股份,农业综合,122.95081967213117,30.94,,0.0
1,002622.SZ,002622,融钰集团,综合类,90.50632911392402,50.57,"创隆资产管理有限公司
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划",2.0
2,300339.SZ,300339,润和软件,软件服务,75.56109725685786,162.93,"南京国资混改基金有限公司
香港中央结算有限公司(陆股通)
服务贸易创新发展引导基金(有限合伙)",3.0
3,002386.SZ,002386,天原股份,化工原料,71.36627906976743,92.03,"中国建设银行股份有限公司-万家科创主题3年封闭运作灵活配置混合型证券投资基金
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-万家科创板2年定期开放混合型证券投资基金
中国东方资产管理股份有限公司",4.0
4,300079.SZ,300079,数码视讯,通信设备,67.32186732186729,86.26,"中国工商银行股份有限公司-易方达中证人工智能主题交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",2.0
5,300077.SZ,300077,国民技术,半导体,47.04225352112677,56.9,上海广文投资管理有限公司-广文价值发现1期证券投资基金,1.0
6,002536.SZ,002536,飞龙股份,汽车配件,45.512820512820504,42.78,北京厚毅资本管理有限公司-厚毅辰酉二号私募证券投资基金,1.0
7,300736.SZ,300736,百邦科技,通信设备,43.92638036809815,14.94,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
8,300096.SZ,300096,易联众,软件服务,43.17880794701987,40.7,西藏五维资产管理有限公司,1.0
9,300223.SZ,300223,北京君正,半导体,40.01616814874696,280.7,"交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国工商银行股份有限公司-万家自主创新混合型证券投资基金
中国工商银行股份有限公司-诺安成长混合型证券投资基金
中央汇金资产管理有限责任公司
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金",5.0
10,000158.SZ,000158,常山北明,纺织,39.153439153439166,165.53,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",2.0
11,300546.SZ,300546,雄帝科技,元器件,36.38313080771978,16.31,深圳市远致富海投资管理有限公司-深圳远致富海并购股权投资基金合伙企业(有限合伙),1.0
12,002269.SZ,002269,美邦服饰,服饰,35.58718861209964,95.73,"博时基金-农业银行-博时中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划",8.0
13,300382.SZ,300382,斯莱克,专用机械,26.167209554831693,65.6,"中央汇金资产管理有限责任公司
深圳市恒泰华盛资产管理有限公司-盛世37号私募基金",2.0
14,300510.SZ,300510,金冠股份,电气设备,23.847695390781553,50.81,"前海大唐英加(深圳)基金管理有限公司-英加黑马八十一号私募证券投资基金
洛阳古都资产管理有限公司
国联证券-孙延-国联汇睿11号单一资产管理计划
国融基金-国泰君安证券-国融天鑫1号资产管理计划",4.0
15,002316.SZ,002316,亚联发展,软件服务,23.717948717948723,16.99,上海创奥投资管理合伙企业(有限合伙)-奥凯盛鑫7号私募证券投资基金,1.0
16,002235.SZ,002235,安妮股份,互联网,22.245322245322253,31.99,,0.0
17,000793.SZ,000793,华闻集团,出版业,22.173913043478265,55.1,"前海开源基金-浦发银行-渤海国际信托-渤海信托·煦沁聚和1号集合资金信托计划
四川信托有限公司-四川信托·星光5号单一资金信托
四川信托有限公司-四川信托·星光3号单一资金信托
国广环球资产管理有限公司
长信基金-浦发银行-长信-浦发-粤信2号资产管理计划
方正东亚信托有限责任公司-腾翼投资1号单一资金信托
前海开源基金-浦发银行-前海开源聚和资产管理计划
云南国际信托有限公司-峻茂15号单一资金信托",8.0
18,603383.SH,603383,顶点软件,软件服务,21.681247622670206,53.82,,0.0
19,300352.SZ,300352,北信源,软件服务,21.085594989561574,68.46,"中国银行股份有限公司-嘉实逆向策略股票型证券投资基金
北信瑞丰基金-南京银行-中航信托-中航信托·天启(2016)163号南京高科华睿集合资金信托计划
中国银行股份有限公司-华夏行业精选混合型证券投资基金(LOF)
中国工商银行股份有限公司-嘉实主题新动力混合型证券投资基金
华夏基金华益5号定向股票型养老金产品-中国工商银行股份有限公司
华夏基金管理有限公司-社保基金四二二组合",6.0
20,002268.SZ,002268,卫士通,软件服务,20.438388625592417,170.11,"东海基金-浦发银行-云南国际信托-云南信托锦瑟年华3号集合资金信托计划
中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
建信基金-工商银行-中航信托-中航信托·天启(2016)293号建信基金定增投资集合资金信托计划
香港中央结算有限公司(陆股通)",5.0
21,300663.SZ,300663,科蓝软件,软件服务,18.410462776659962,56.53,"中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
交通银行股份有限公司-富安达优势成长股票型证券投资基金",2.0
22,300541.SZ,300541,先进数通,软件服务,15.839243498817957,36.4,,0.0
23,300532.SZ,300532,今天国际,软件服务,15.056461731493108,15.0,交通银行股份有限公司-长信量化先锋混合型证券投资基金,1.0
24,002585.SZ,002585,双星新材,塑料,14.896755162241892,137.07,"深圳德海资本管理有限公司-深圳德海国企混改价值1号私募证券投资基金
中央汇金资产管理有限责任公司
鹏华基金-招商银行-中山证券有限责任公司
皓熙股权投资管理(上海)有限公司-南京高科皓熙定增私募证券投资基金",4.0
25,002279.SZ,002279,久其软件,软件服务,14.380530973451332,33.16,,0.0
26,300466.SZ,300466,赛摩智能,电器仪表,13.963039014373702,20.95,"徐州经济技术开发区金龙湖城市投资有限公司-证券行业支持民企发展系列之兴业证券1号单一资产管理计划
兴证证券资管-徐州经济技术开发区金龙湖城市投资有限公司-证券行业支持民企发展系列之兴业证券1号单一资产管理计划",2.0
27,002589.SZ,002589,瑞康医药,医药商业,13.793103448275868,56.77,"汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划",2.0
28,002474.SZ,002474,榕基软件,软件服务,13.122896971639154,33.76,"上海般胜投资管理有限公司-般胜进取2号私募证券投资基金
磐厚动量(上海)资本管理有限公司-磐厚动量-汇鑫1号私募证券投资基金",2.0
29,002642.SZ,002642,荣联科技,软件服务,12.619047619047619,27.65,深圳平安大华汇通财富-平安银行-中融国际信托-中融-财富骐骥定增31号集合资金信托计划,1.0
