,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002386.SZ,002386,天原股份,化工原料,71.36627906976743,92.03,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-万家科创主题3年封闭运作灵活配置混合型证券投资基金
中国工商银行股份有限公司-万家科创板2年定期开放混合型证券投资基金
中国东方资产管理股份有限公司",4.0
1,300340.SZ,300340,科恒股份,元器件,62.272240085744926,26.45,"中央汇金资产管理有限责任公司
深圳创富兆业金融管理有限公司-创富福星五号私募证券投资基金
深圳创富兆业金融管理有限公司-创富福星一号私募证券投资基金
深圳创富兆业金融管理有限公司-创富福星二号私募证券投资基金",4.0
2,300568.SZ,300568,星源材质,化工原料,52.30414746543781,170.69,"中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
财通基金-广东温氏投资有限公司-财通基金玉泉903号单一资产管理计划
深圳市远致富海投资管理有限公司-深圳远致富海并购股权投资基金合伙企业(有限合伙)
江苏疌泉毅达融京股权并购投资基金(有限合伙)",5.0
3,300919.SZ,300919,中伟股份,化工原料,49.787979351032455,69.61,,0.0
4,300953.SZ,300953,震裕科技,机械基件,49.070573408947695,18.79,,0.0
5,300035.SZ,300035,中科电气,电气设备,48.82506527415145,90.29,"广州农村商业银行股份有限公司-金鹰信息产业股票型证券投资基金
中国农业银行股份有限公司-国泰智能汽车股票型证券投资基金",2.0
6,300477.SZ,300477,合纵科技,电气设备,45.129224652087466,44.02,,0.0
7,000762.SZ,000762,西藏矿业,小金属,43.2241813602015,148.06,中央汇金资产管理有限责任公司,1.0
8,002824.SZ,002824,和胜股份,铝,42.724588781105034,36.39,,0.0
9,000993.SZ,000993,闽东电力,水力发电,41.7370325693607,51.67,中央汇金资产管理有限责任公司,1.0
10,300207.SZ,300207,欣旺达,元器件,41.36622390891842,419.2,"招商银行股份有限公司-兴全合泰混合型证券投资基金
北信瑞丰基金-招商银行-北信瑞丰基金丰悦45号资产管理计划
陕西省国际信托股份有限公司-陕国投·欣旺达第2期员工持股集合资金信托计划
招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF)
广发基金管理有限公司-社保基金四二零组合
香港中央结算有限公司(陆股通)",6.0
11,300537.SZ,300537,广信材料,染料涂料,39.56133225020309,21.54,,0.0
