,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002622.SZ,002622,融钰集团,综合类,90.22988505747126,55.61,"创隆资产管理有限公司
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划",2.0
1,002386.SZ,002386,天原股份,化工原料,65.55232558139537,88.91,"中国对外经济贸易信托有限公司-外贸信托·华资1号单一资金信托
中央汇金资产管理有限责任公司
浙江银万斯特投资管理有限公司-银万全盈9号私募证券投资基金
中国东方资产管理股份有限公司
浙江银万斯特投资管理有限公司-银万全盈7号私募证券投资基金",5.0
2,000650.SZ,000650,仁和药业,中成药,40.30196400265316,167.48,"基本养老保险基金一二零五组合
上海浦东发展银行股份有限公司-易方达创新未来18个月封闭运作混合型证券投资基金
全国社保基金四零三组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-易方达科翔混合型证券投资基金
中国银行-易方达平稳增长证券投资基金
中国银行股份有限公司-易方达均衡成长股票型证券投资基金
易方达基金-建设银行-易方达研究精选1号股票型资产管理计划
交通银行股份有限公司-易方达科讯混合型证券投资基金",9.0
3,002802.SZ,002802,洪汇新材,化工原料,39.99999999999999,36.49,,0.0
4,002900.SZ,002900,哈三联,化学制药,38.253546099290794,53.27,"中合供销一期(上海)股权投资基金合伙企业(有限合伙)
中瑞国信资产管理有限公司",2.0
5,003020.SZ,003020,立方制药,化学制药,37.72543006060409,15.64,,0.0
6,600738.SH,600738,丽尚国潮,百货,34.38395415472779,72.49,"杭州乐信投资管理有限公司-乐信稳赢1号私募证券投资基金
香港中央结算有限公司(陆股通)
翼敦(上海)投资管理有限公司-翼敦龙腾一号私募证券投资基金",3.0
7,000718.SZ,000718,苏宁环球,区域地产,34.30749682337992,241.97,"中国建设银行股份有限公司-大成中证红利指数证券投资基金
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
安徽省铁路发展基金股份有限公司
香港中央结算有限公司(陆股通)",4.0
8,603987.SH,603987,康德莱,医疗保健,33.679204496325134,135.42,"中国银行股份有限公司-海富通股票混合型证券投资基金
中国工商银行股份有限公司-海富通改革驱动灵活配置混合型证券投资基金
中国建设银行股份有限公司-国泰大健康股票型证券投资基金
中国建设银行股份有限公司-国泰价值经典灵活配置混合型证券投资基金(LOF)
中国建设银行股份有限公司-国泰研究精选两年持有期混合型证券投资基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
中国工商银行股份有限公司-海富通均衡甄选混合型证券投资基金
中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
中国建设银行股份有限公司-国泰医药健康股票型证券投资基金",10.0
9,002762.SZ,002762,金发拉比,服饰,33.42157511581733,38.84,,0.0
