,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605186.SH,605186,健麾信息,专用机械,97.25953788285868,12.48,,0.0
1,002940.SZ,002940,昂利康,化学制药,35.97074468085106,20.38,"中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
广发证券股份有限公司-长信睿进灵活配置混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
中国光大银行股份有限公司-长信企业精选两年定期开放灵活配置混合型证券投资基金
中国民生银行股份有限公司-长信增利动态策略混合型证券投资基金",5.0
2,605369.SH,605369,拱东医疗,医疗保健,35.35872200827272,26.57,"广州天盈资产管理有限公司-天盈能胜一号私募证券投资基金
深圳德威资本投资管理有限公司-德威资本劲松1号私募基金",2.0
3,002900.SZ,002900,哈三联,化学制药,34.308510638297875,51.75,"中瑞国信资产管理有限公司
中合供销一期(上海)股权投资基金合伙企业(有限合伙)",2.0
4,300966.SZ,300966,共同药业,化学制药,31.228565664716545,17.89,,0.0
5,603722.SH,603722,阿科力,化工原料,31.06562311860326,37.84,"中国农业银行股份有限公司-中邮核心成长混合型证券投资基金
中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金",2.0
6,603168.SH,603168,莎普爱思,化学制药,29.807692307692314,34.84,,0.0
7,003020.SZ,003020,立方制药,化学制药,28.4879974551179,14.59,,0.0
8,002581.SZ,002581,未名医药,生物制药,27.959413754227747,90.98,,0.0
9,603987.SH,603987,康德莱,医疗保健,26.45914396887159,128.1,"中国建设银行股份有限公司-国泰价值经典灵活配置混合型证券投资基金(LOF)
中国建设银行股份有限公司-国泰大健康股票型证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
中国工商银行股份有限公司-海富通中小盘混合型证券投资基金
中国建设银行股份有限公司-国泰医药健康股票型证券投资基金
中国建设银行股份有限公司-国泰研究精选两年持有期混合型证券投资基金",8.0
10,000650.SZ,000650,仁和药业,中成药,24.00382873920477,154.73,香港中央结算有限公司(陆股通),1.0
11,300158.SZ,300158,振东制药,化学制药,23.64620938628159,69.3,国通信托有限责任公司-国通信托·紫金11号集合资金信托计划,1.0
12,002957.SZ,002957,科瑞技术,专用机械,23.63335173937051,34.46,"深圳市中航永邦并购基金企业(有限合伙)
中投长春创业投资基金管理有限公司-深圳市中投金瑞新兴产业股权投资合伙企业(有限合伙)
宁波梅山保税港区三维同创股权投资基金合伙企业(有限合伙)",3.0
13,300119.SZ,300119,瑞普生物,农业综合,21.740506329113906,97.07,"全国社保基金五零二组合
中国建设银行股份有限公司-交银施罗德启明混合型证券投资基金
中国农业银行股份有限公司-工银瑞信农业产业股票型证券投资基金
中国农业银行股份有限公司-交银施罗德先进制造混合型证券投资基金",4.0
14,600222.SH,600222,太龙药业,中成药,20.847457627118636,40.92,,0.0
15,600713.SH,600713,南京医药,医药商业,19.82667138309162,56.46,,0.0
16,300151.SZ,300151,昌红科技,机械基件,19.326397929246752,96.9,"广州市玄元投资管理有限公司-玄元科新6号私募证券投资基金
深圳德威资本投资管理有限公司-德威资本优盛私募基金
中国银行股份有限公司-博时宏观回报债券型证券投资基金",3.0
17,600771.SH,600771,广誉远,中成药,18.10613943808532,111.68,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
全国社保基金一零二组合
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托",4.0
18,300501.SZ,300501,海顺新材,广告包装,18.026565464895626,16.27,"上海聚鸣投资管理有限公司-聚鸣医药创新私募证券投资基金
中国建设银行股份有限公司-富国生物医药科技混合型证券投资基金
中国银行股份有限公司-华泰柏瑞积极成长混合型证券投资基金",3.0
19,002411.SZ,002411,延安必康,化学制药,17.67241379310345,83.66,,0.0
20,002923.SZ,002923,润都股份,化学制药,17.437722419928825,32.8,广东中科白云新兴产业创业投资基金有限公司,1.0
21,000668.SZ,000668,荣丰控股,区域地产,16.96793002915453,29.43,,0.0
22,002773.SZ,002773,康弘药业,化学制药,16.448959845186263,164.07,"中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
香港中央结算有限公司(陆股通)
兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国建设银行股份有限公司-兴全社会责任混合型证券投资基金",5.0
23,002688.SZ,002688,金河生物,化学制药,15.771812080536929,43.09,上银基金-浦发银行-上银基金财富51号资产管理计划,1.0
24,002556.SZ,002556,辉隆股份,其他商业,15.29294935451837,95.49,"北京和聚投资管理有限公司-和聚平台证券投资基金
中国对外经济贸易信托有限公司-睿远和聚招享证券投资集合资金信托计划",2.0
25,000516.SZ,000516,国际医学,医疗保健,15.267605633802827,394.66,"中国工商银行-南方绩优成长股票型证券投资基金
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划
香港中央结算有限公司(陆股通)",3.0
26,600129.SH,600129,太极集团,中成药,15.157232704402501,101.97,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
申万宏源证券-重庆太极实业(集团)股份有限公司-申万宏源太极实业1号员工持股计划单一资产管理计划
财通基金-招商银行-深圳市招商国协壹号股权投资基金管理有限公司",3.0
27,600055.SH,600055,万东医疗,医疗保健,15.091463414634143,81.66,,0.0
28,600851.SH,600851,海欣股份,化学制药,14.890885750962756,66.07,"中央汇金资产管理有限责任公司
重庆国际信托股份有限公司-兴国1号集合资金信托计划
深圳市惠和投资基金管理有限公司-深圳市惠和基金惠和2号证券投资基金
重庆国际信托股份有限公司-兴国2号集合资金信托",4.0
29,300636.SZ,300636,同和药业,化学制药,14.675984752223648,31.89,"国泰基金管理有限公司-社保基金四二一组合
中国-比利时直接股权投资基金
中国工商银行股份有限公司-汇添富医疗积极成长一年持有期混合型证券投资基金
中国建设银行股份有限公司-宝盈新兴产业灵活配置混合型证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金",5.0
30,300314.SZ,300314,戴维医疗,医疗保健,14.600000000000012,32.55,"中国工商银行股份有限公司-汇添富医疗积极成长一年持有期混合型证券投资基金
深圳市上善若水资产管理有限公司-上善若水远正证券投资私募基金
中国银行股份有限公司-工银瑞信医药健康行业股票型证券投资基金
中国银行股份有限公司-工银瑞信健康生活混合型证券投资基金",4.0
31,600774.SH,600774,汉商集团,百货,14.439324116743467,33.79,,0.0
32,600381.SH,600381,青海春天,医疗保健,14.371257485029943,44.85,,0.0
33,603222.SH,603222,济民制药,化学制药,14.34948979591837,57.38,深圳前海正帆投资管理有限公司-正帆敏行4号私募证券投资基金,1.0
34,300260.SZ,300260,新莱应材,机械基件,13.972055888223544,26.01,"中央汇金资产管理有限责任公司
临沂润商资产管理中心(有限合伙)",2.0
35,603538.SH,603538,美诺华,化学制药,13.841807909604519,59.57,服务贸易创新发展引导基金(有限合伙),1.0
36,300143.SZ,300143,盈康生命,医疗保健,13.509933774834447,133.79,"上海申九资产管理有限公司-申九股票精选1号私募证券投资基金
寻常(上海)投资管理有限公司-汇玖3号私募证券投资基金
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)",3.0
37,300453.SZ,300453,三鑫医疗,医疗保健,13.313161875945534,40.14,"中航信托股份有限公司-中航信托·天顺【2019】113号江西国资支持民营企业专项单一资金信托
沈阳森木投资管理有限公司-森木价值发现1号证券投资基金
中国人保资产管理股份有限公司-安心增值投资产品",3.0
38,603567.SH,603567,珍宝岛,中成药,13.242280285035623,161.93,,0.0
39,600085.SH,600085,同仁堂,中成药,13.215488215488215,553.39,"香港中央结算有限公司(陆股通)
全国社保基金一零三组合
中国农业银行股份有限公司-工银瑞信高质量成长混合型证券投资基金
中央汇金资产管理有限责任公司
兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",6.0
40,002675.SZ,002675,东诚药业,化学制药,13.208556149732642,144.43,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-嘉实远见精选两年持有期混合型证券投资基金
全国社保基金六零二组合
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金",5.0
41,300888.SZ,300888,稳健医疗,医疗保健,13.197290290206576,64.0,"中国银行股份有限公司-招商医药健康产业股票型证券投资基金
中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
中国建设银行股份有限公司-交银施罗德内核驱动混合型证券投资基金
中国银行股份有限公司-招商创新增长混合型证券投资基金
中国银行股份有限公司-招商丰盈积极配置混合型证券投资基金
中国农业银行股份有限公司-交银施罗德定期支付双息平衡混合型证券投资基金",6.0
42,300871.SZ,300871,回盛生物,农业综合,13.18206374932467,17.41,,0.0
43,000638.SZ,000638,万方发展,软件服务,13.011152416356886,18.81,,0.0
44,300086.SZ,300086,康芝药业,化学制药,12.82051282051282,28.75,云南国际信托有限公司-聚鑫2026号集合资金信托计划,1.0
45,300181.SZ,300181,佐力药业,中成药,12.737341772151911,37.01,,0.0
46,002644.SZ,002644,佛慈制药,中成药,12.515964240102173,44.99,中央汇金资产管理有限责任公司,1.0
47,300813.SZ,300813,泰林生物,医疗保健,12.488839910184101,7.54,,0.0
48,002030.SZ,002030,达安基因,生物制药,12.275594371664255,317.28,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中信银行股份有限公司-建信中证500指数增强型证券投资基金
中国银行股份有限公司-国泰中证生物医药交易型开放式指数证券投资基金",6.0
49,000538.SZ,000538,云南白药,中成药,12.183784750156423,755.72,"全国社保基金一一八组合
中央汇金资产管理有限责任公司
瑞银资产管理(新加坡)有限公司-瑞银卢森堡投资SICAV
香港中央结算有限公司(陆股通)",4.0
50,002893.SZ,002893,华通热力,供气供热,12.108013937282225,13.28,克拉玛依昆仑朝阳创业投资基金合伙企业(有限合伙),1.0
51,000661.SZ,000661,长春高新,生物制药,11.30500000000001,1691.49,"中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一一八组合
中央汇金资产管理有限责任公司
全国社保基金一零一组合
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
全国社保基金一一六组合
全国社保基金一零四组合",8.0
52,002390.SZ,002390,信邦制药,中成药,11.176470588235299,176.38,香港中央结算有限公司(陆股通),1.0
53,002370.SZ,002370,亚太药业,化学制药,10.88607594936708,20.29,上海华富利得资产-民生银行-富鼎6号专项资产管理计划,1.0
54,600645.SH,600645,中源协和,生物制药,10.871440897325279,105.62,"建信(北京)投资基金管理有限责任公司
柳州柳东引导基金有限公司",2.0
55,000153.SZ,000153,丰原药业,化学制药,10.863874345549762,26.42,,0.0
56,002198.SZ,002198,嘉应制药,中成药,10.757575757575765,37.1,深圳市老虎汇资产管理有限公司,1.0
57,002880.SZ,002880,卫光生物,生物制药,10.609676719461913,82.59,"中国银行股份有限公司-国泰中证生物医药交易型开放式指数证券投资基金
全国社会保障基金理事会转持一户",2.0
58,002184.SZ,002184,海得控制,软件服务,10.594795539033463,28.02,上海证券-浦发银行-上海证券聚赢定增1号集合资产管理计划,1.0
59,002365.SZ,002365,永安药业,化学制药,10.494450050454084,26.63,中央汇金资产管理有限责任公司,1.0
60,603566.SH,603566,普莱柯,生物制药,10.460069444444443,81.82,"中国建设银行股份有限公司-嘉实农业产业股票型证券投资基金
全国社保基金六零二组合",2.0
61,002584.SZ,002584,西陇科学,化工原料,10.412926391382404,24.23,上海国药圣礼股权投资基金合伙企业(有限合伙),1.0
62,603939.SH,603939,益丰药房,医药商业,10.345675974904655,481.26,"香港中央结算有限公司(陆股通)
全国社保基金一一六组合
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
全国社保基金一一五组合
中国工商银行-广发稳健增长证券投资基金",5.0
63,300233.SZ,300233,金城医药,化学制药,10.316301703163022,83.14,"中央汇金资产管理有限责任公司
光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品
上海睿亿投资发展中心(有限合伙)-睿亿投资攀山六期大宗交易私募证券投资基金
香港中央结算有限公司(陆股通)",4.0
64,603259.SH,603259,药明康德,化学制药,10.231829573934847,3718.03,"高瓴资本管理有限公司-HCM基金二期(QFII)
中国银行股份有限公司-招商国证生物医药指数分级证券投资基金
香港中央结算有限公司(陆股通)",3.0
65,000004.SZ,000004,国华网安,软件服务,9.807819748177593,19.08,"中科汇通(厦门)股权投资基金有限公司
中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金",2.0
66,600521.SH,600521,华海药业,化学制药,9.65133906013138,315.65,"国开装备产业投资基金(天津)合伙企业(有限合伙)
全国社保基金一一一组合
香港中央结算有限公司(陆股通)
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
中央汇金资产管理有限责任公司",6.0
67,300015.SZ,300015,爱尔眼科,医疗保健,9.580221478238471,2922.74,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金
高瓴资本管理有限公司-HCM中国基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
中央汇金资产管理有限责任公司",5.0
68,002636.SZ,002636,金安国纪,元器件,9.556574923547402,103.62,香港中央结算有限公司(陆股通),1.0
69,300326.SZ,300326,凯利泰,医疗保健,9.41271118262268,97.35,"招商银行股份有限公司-睿远成长价值混合型证券投资基金
高瓴资本管理有限公司-HCM中国基金
香港中央结算有限公司(陆股通)",3.0
70,002728.SZ,002728,特一药业,中成药,9.380982769623492,21.79,,0.0
71,300443.SZ,300443,金雷股份,专用机械,9.346534653465355,50.57,"中国建设银行股份有限公司-信达澳银领先增长混合型证券投资基金
中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金
中国农业银行股份有限公司-申万菱信创业板量化精选股票型证券投资基金
全国社保基金五零二组合
中国工商银行股份有限公司-南方大数据100指数证券投资基金
中央汇金资产管理有限责任公司
全国社保基金四一三组合",7.0
72,300328.SZ,300328,宜安科技,铝,9.31987533420875,47.04,"中国建设银行股份有限公司-国泰国证有色金属行业指数分级证券投资基金
香港中央结算有限公司(陆股通)",2.0
73,000530.SZ,000530,冰山冷热,机械基件,9.259259259259256,24.72,,0.0
74,003023.SZ,003023,彩虹集团,家用电器,9.131788308543754,6.4,,0.0
75,300639.SZ,300639,凯普生物,医疗保健,9.115338132884542,90.96,"中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金
北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
中国建设银行股份有限公司-富国天博创新主题混合型证券投资基金
中国农业银行股份有限公司-新华优选分红混合型证券投资基金
武汉比邻之家股权投资基金管理中心(有限合伙)",6.0
76,300534.SZ,300534,陇神戎发,中成药,8.843537414965997,19.22,"兰州天域资产管理有限公司
甘肃生物产业创业投资基金有限公司
甘肃省循环经济产业投资基金合伙企业(有限合伙)",3.0
77,300363.SZ,300363,博腾股份,化学制药,8.81678138315307,296.78,"重庆慧林股权投资基金合伙企业(有限合伙)
中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金
中国工商银行-广发聚丰混合型证券投资基金
华泰瑞联基金管理有限公司-南京华泰瑞联并购基金三号(有限合伙)
华泰瑞联基金管理有限公司-南京华泰瑞联并购基金二号(有限合伙)
中国银行股份有限公司-广发医疗保健股票型证券投资基金",6.0
78,603351.SH,603351,威尔药业,化学制药,8.76923311837372,12.75,"中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
江苏人才创新创业投资二期基金(有限合伙)",2.0
79,300485.SZ,300485,赛升药业,生物制药,8.733974358974361,34.39,,0.0
80,600993.SH,600993,马应龙,中成药,8.406219630709423,96.0,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-景顺长城精选蓝筹混合型证券投资基金
中央汇金资产管理有限责任公司
摩根士丹利投资管理公司-摩根士丹利中国A股基金
景顺长城基金-建设银行-中国人寿-中国人寿委托景顺长城基金股票型组合",6.0
81,603998.SH,603998,方盛制药,中成药,8.399366085578453,29.37,,0.0
82,605199.SH,605199,葫芦娃,中成药,8.396421197522375,12.63,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
83,000821.SZ,000821,京山轻机,轻工机械,7.8636959370904425,39.36,"京山京源-华创证券-19京源E1担保及信托财产专户
天风证券-光大银行-证券行业支持民企发展系列之天风证券1号集合资产管理计划",2.0
84,002603.SZ,002603,以岭药业,中成药,7.838827838827833,292.4,香港中央结算有限公司(陆股通),1.0
85,300246.SZ,300246,宝莱特,医疗保健,7.831325301204828,21.56,"中央汇金资产管理有限责任公司
中国工商银行股份有限公司-南方大数据100指数证券投资基金",2.0
86,002932.SZ,002932,明德生物,医疗保健,7.67312705428993,28.52,中国银行股份有限公司-国泰中证生物医药交易型开放式指数证券投资基金,1.0
87,601515.SH,601515,东风股份,广告包装,7.667210440456773,88.07,,0.0
88,600196.SH,600196,复星医药,化学制药,7.630906768837797,1355.79,"中央汇金资产管理有限责任公司
中国工商银行-上证50交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
89,600538.SH,600538,国发股份,医药商业,7.617504051863855,30.84,上海小叮当投资管理有限公司-小叮当稳健成长6号私募证券投资基金,1.0
90,000739.SZ,000739,普洛药业,化学制药,7.615230460921851,316.4,"招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
招商银行股份有限公司-兴全合润分级混合型证券投资基金
香港中央结算有限公司(陆股通)",4.0
91,300558.SZ,300558,贝达药业,化学制药,7.536922343973318,453.31,"中国建设银行股份有限公司-银华同力精选混合型证券投资基金
香港中央结算有限公司(陆股通)",2.0
92,605177.SH,605177,东亚药业,化学制药,7.512165450121655,10.04,,0.0
93,600420.SH,600420,国药现代,化学制药,7.43879472693032,117.18,,0.0
94,300653.SZ,300653,正海生物,医疗保健,7.379289401761313,84.86,"中国光大银行股份有限公司-诺德量化优选6个月持有期混合型证券投资基金
香港中央结算有限公司(陆股通)",2.0
95,300254.SZ,300254,仟源医药,化学制药,7.324364723467847,15.24,中央汇金资产管理有限责任公司,1.0
96,002727.SZ,002727,一心堂,医药商业,7.270233196159115,154.55,"中国工商银行-广发稳健增长证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行-广发聚丰混合型证券投资基金
中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
中国工商银行股份有限公司-景顺长城竞争优势混合型证券投资基金
中国银行股份有限公司-广发医疗保健股票型证券投资基金",6.0
97,603858.SH,603858,步长制药,中成药,7.011915673693858,266.56,"蓝色经济区产业投资基金(有限合伙)
香港中央结算有限公司(陆股通)",2.0
98,300942.SZ,300942,易瑞生物,生物制药,6.912002906492676,10.84,,0.0
99,300108.SZ,300108,吉药控股,中成药,6.857142857142873,16.51,"汇安基金-浦发银行-江海证券有限公司
吉林省现代农业和新兴产业投资基金有限公司",2.0
