,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000995.SZ,000995,皇台酒业,白酒,47.30225248821374,49.89,甘肃西部资产管理股份有限公司,1.0
1,600238.SH,600238,海南椰岛,红黄酒,41.458184417441025,88.07,,0.0
2,603025.SH,603025,大豪科技,IT设备,36.48380700594842,380.74,香港中央结算有限公司(陆股通),1.0
3,600616.SH,600616,金枫酒业,红黄酒,30.41722745625841,64.83,,0.0
4,002646.SZ,002646,青青稞酒,白酒,28.540065861690465,105.37,"易方达基金-农业银行-易方达中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
广发基金-农业银行-广发中证金融资产管理计划",8.0
5,600559.SH,600559,老白干酒,白酒,28.10690423162585,258.06,"鹏华基金-工商银行-鹏华基金增发精选1号资产管理计划
北京航天产业投资基金(有限合伙)
香港中央结算有限公司(陆股通)
汇添富基金-工商银行-汇添富-定增盛世添富牛37号资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金",5.0
6,600702.SH,600702,舍得酒业,白酒,25.09173510396645,712.0,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
云南卓晔投资管理有限公司-卓晔1号基金",3.0
7,600059.SH,600059,古越龙山,红黄酒,20.58823529411764,119.34,"中国农业银行股份有限公司-富兰克林国海弹性市值混合型证券投资基金
中国对外经济贸易信托有限公司-外贸信托·锐进16期中欧瑞博证券投资集合资金信托计划
中央汇金资产管理有限责任公司
招商银行股份有限公司-富兰克林国海基本面优选混合型证券投资基金
中国银行股份有限公司-富兰克林国海中小盘股票型证券投资基金
中国对外经济贸易信托有限公司-外贸信托-中欧瑞博成长智投证券投资集合资金信托计划",6.0
8,600543.SH,600543,莫高股份,红黄酒,19.944211994421202,27.62,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划,1.0
9,600199.SH,600199,金种子酒,白酒,19.581881533101054,104.07,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金",2.0
10,002304.SZ,002304,洋河股份,白酒,19.494933247547053,2780.34,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金
中央汇金资产管理有限责任公司
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金",5.0
11,000929.SZ,000929,兰州黄河,啤酒,18.482490272373543,22.62,,0.0
12,603919.SH,603919,金徽酒,白酒,18.115429917550063,246.34,"光大兴陇信托有限责任公司-光大-融金1号证券投资集合资金信托计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央企业贫困地区产业投资基金股份有限公司
贫困地区产业发展基金有限公司",4.0
13,600771.SH,600771,广誉远,中成药,18.10613943808532,111.68,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
全国社保基金一零二组合
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托",4.0
14,600257.SH,600257,大湖股份,渔业,14.692653673163413,36.81,,0.0
15,002342.SZ,002342,巨力索具,机械基件,14.42542787286063,41.24,中央汇金资产管理有限责任公司,1.0
