,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605339.SH,605339,南侨食品,食品,135.82291314633324,44.33,,0.0
1,300268.SZ,300268,佳沃股份,农业综合,100.1857010213556,28.85,,0.0
2,605499.SH,605499,东鹏饮料,软饮料,46.40552303767072,39.03,,0.0
3,605337.SH,605337,李子园,乳制品,35.59497288100544,31.26,"招商银行股份有限公司-东方红睿丰灵活配置混合型证券投资基金(LOF)
睿远基金-兴业国信资产管理有限公司-睿远基金-兴业国信资管单一资产管理计划
华安财保资管-浦发银行-华安财保资管安源11号定向资产管理产品
睿远基金-兴业国际信托有限公司-睿远基金-兴业信托单一资产管理计划
中国工商银行股份有限公司-东方红中国优势灵活配置混合型证券投资基金
招商银行股份有限公司-东方红睿元三年定期开放灵活配置混合型发起式证券投资基金",6.0
4,000848.SZ,000848,承德露露,软饮料,25.48866845671196,97.09,"中央汇金资产管理有限责任公司
全国社保基金六零四组合
全国社保基金四一三组合
香港中央结算有限公司(陆股通)
基本养老保险基金一零零六组合
基本养老保险基金一零零三组合",6.0
5,002570.SZ,002570,贝因美,乳制品,23.092369477911625,62.68,"香港中央结算有限公司(陆股通)
长城(德阳)长弘投资基金合伙企业(有限合伙)",2.0
6,605179.SH,605179,一鸣食品,乳制品,20.883534136546178,12.85,"杭州沁源投资管理有限公司-沁源新产业私募证券投资基金
杭州沁源投资管理有限公司-沁源精选私募投资基金
深圳九旭资产管理有限公司-九旭5号证券投资基金
深圳九旭资产管理有限公司-九旭卓越证券投资基金",4.0
7,605300.SH,605300,佳禾食品,食品,20.233139050791003,11.55,,0.0
8,600543.SH,600543,莫高股份,红黄酒,19.944211994421202,27.62,"中金汇理资产管理有限公司
中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划",2.0
9,600095.SH,600095,湘财股份,证券,14.73132254739391,59.87,"财通基金-长沙中盈先导一号股权投资合伙企业(有限合伙)-财通基金安吉117号单一资产管理计划
中国银行股份有限公司-南方中证全指证券公司交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金
安信证券-兴业银行-安信证券定发宝3号集合资产管理计划
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
财通基金-中信建投龙兴662号定向资产管理计划-财通基金安吉91号单一资产管理计划",6.0
10,600257.SH,600257,大湖股份,渔业,14.692653673163413,36.81,"安徽明泽投资管理有限公司-明泽泰达科创优选3号私募证券投资基金
宁波幻方量化投资管理合伙企业(有限合伙)-九章幻方量化定制11号私募证券投资基金",2.0
11,603020.SH,603020,爱普股份,食品,14.349999999999996,73.18,,0.0
