,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605339.SH,605339,南侨食品,食品,135.82291314633324,44.33,,0.0
1,002280.SZ,002280,联络互动,软件服务,114.6666666666667,113.43,"上海磐耀资产管理有限公司-磐耀源岳定制1号私募证券投资基金
香港中央结算有限公司(陆股通)",2.0
2,300268.SZ,300268,佳沃股份,农业综合,100.1857010213556,28.85,,0.0
3,605186.SH,605186,健麾信息,专用机械,97.25953788285868,12.48,,0.0
4,002679.SZ,002679,福建金森,林业,87.49022673964035,56.53,,0.0
5,600032.SH,600032,浙江新能,新型电力,77.22772277227723,18.62,,0.0
6,300339.SZ,300339,润和软件,软件服务,75.64422277639235,163.01,"香港中央结算有限公司(陆股通)
南京国资混改基金有限公司
服务贸易创新发展引导基金(有限合伙)",3.0
7,688316.SH,688316,青云科技-U,软件服务,74.77081041437476,10.33,,0.0
8,002622.SZ,002622,融钰集团,综合类,68.40731070496085,54.18,"创隆资产管理有限公司
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划",2.0
9,688097.SH,688097,博众精工,专用机械,66.87782805429865,13.66,,0.0
10,600963.SH,600963,岳阳林纸,造纸,65.3277247181326,173.1,"宁波宁聚资产管理中心(有限合伙)-宁聚量化多策略证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚多策略3号私募证券投资基金",2.0
11,300079.SZ,300079,数码视讯,通信设备,64.86486486486484,84.99,"中国工商银行股份有限公司-易方达中证人工智能主题交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",2.0
12,688078.SH,688078,龙软科技,软件服务,64.29223744292236,12.27,九坤投资(北京)有限公司-九坤私享23号私募证券投资基金,1.0
13,300096.SZ,300096,易联众,软件服务,63.3112582781457,46.42,西藏五维资产管理有限公司,1.0
14,002536.SZ,002536,飞龙股份,汽车配件,60.629921259842526,48.05,北京厚毅资本管理有限公司-厚毅辰酉二号私募证券投资基金,1.0
15,600704.SH,600704,物产中大,商贸代理,57.39299610894941,409.53,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
16,002269.SZ,002269,美邦服饰,服饰,57.337883959044376,115.83,"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划",8.0
17,002341.SZ,002341,新纶科技,化工原料,56.36942675159236,46.98,,0.0
