,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600032.SH,600032,浙江新能,新型电力,95.04950495049505,20.49,,0.0
1,300614.SZ,300614,百川畅银,环境保护,75.6267409470752,23.98,,0.0
2,002679.SZ,002679,福建金森,林业,74.84008528784649,58.0,,0.0
3,002341.SZ,002341,新纶科技,化工原料,46.34920634920636,44.11,,0.0
4,600963.SH,600963,岳阳林纸,造纸,44.700576296667506,166.79,"宁波宁聚资产管理中心(有限合伙)-宁聚量化多策略证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚多策略3号私募证券投资基金",2.0
5,600076.SH,600076,康欣新材,其他建材,29.792746113989633,51.82,,0.0
6,600579.SH,600579,克劳斯,化工机械,27.701375245579563,26.62,"中国银行股份有限公司-泰达宏利增利灵活配置定期开放混合型证券投资基金
安信乾盛财富-平安银行-安信乾盛稳定信心专项资产管理计划",2.0
7,300887.SZ,300887,谱尼测试,综合类,25.725677830940974,24.27,"中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
易方达基金-北京诚通金控投资有限公司-易方达基金-诚通金控1号单一资产管理计划
浮石(北京)投资有限公司-浮石投资-招享股票中性1号私募证券投资基金
招商银行股份有限公司-交银施罗德创新领航混合型证券投资基金
全国社保基金五零二组合",5.0
8,300982.SZ,300982,苏文电能,建筑工程,21.832814122533726,15.61,,0.0
9,000993.SZ,000993,闽东电力,水力发电,21.495327102803728,45.73,中央汇金资产管理有限责任公司,1.0
10,600321.SH,600321,正源股份,其他建材,21.182266009852224,37.16,,0.0
11,003039.SZ,003039,顺控发展,水务,20.957943925233668,32.1,,0.0
12,600189.SH,600189,泉阳泉,软饮料,20.761245674740493,96.08,"吉林省吉盛资产管理有限责任公司
中国华融资产管理股份有限公司",2.0
13,002591.SZ,002591,恒大高新,化工原料,20.344827586206904,15.01,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC互联网金融产业投资基金,1.0
14,601377.SH,601377,兴业证券,证券,19.782870928829933,664.98,"国泰中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",3.0
15,600121.SH,600121,郑州煤电,煤炭开采,17.584369449378336,80.66,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
16,601996.SH,601996,丰林集团,家居用品,17.431192660550444,41.49,"锦绣中和(北京)资本管理有限公司-锦绣118号私募投资基金
长和(天津)投资管理有限公司-锦绣509号私募投资基金
上海富善投资有限公司-致远CTA十七期私募基金
深圳悟空投资管理有限公司-悟空蓝海源饶8号私募证券投资基金",4.0
17,300385.SZ,300385,雪浪环境,环境保护,17.40890688259109,20.99,"中央汇金资产管理有限责任公司
中国工商银行股份有限公司-兴全恒益债券型证券投资基金",2.0
18,000966.SZ,000966,长源电力,火力发电,15.732368896925863,141.86,,0.0
19,603822.SH,603822,嘉澳环保,环境保护,15.721530659290007,18.41,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,1.0
20,000695.SZ,000695,滨海能源,广告包装,12.477064220183486,13.59,天津仕澜文化资产管理中心(有限合伙),1.0
21,603383.SH,603383,顶点软件,软件服务,11.941444831876602,49.05,,0.0
22,600744.SH,600744,华银电力,火力发电,11.798396334478811,80.78,创金合信基金-招商银行-湖南轻盐创投定增资产管理计划,1.0
23,002642.SZ,002642,荣联科技,软件服务,11.190476190476195,27.3,深圳平安大华汇通财富-平安银行-中融国际信托-中融-财富骐骥定增31号集合资金信托计划,1.0
24,000530.SZ,000530,冰山冷热,机械基件,10.9375,25.5,,0.0
25,002178.SZ,002178,延华智能,建筑工程,10.601719197707716,27.45,,0.0
26,002212.SZ,002212,天融信,软件服务,10.415512465373954,229.95,"深圳前海珞珈方圆资产管理有限公司-珠海朴真股权投资管理合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
招商银行股份有限公司—睿远成长价值混合型证券投资基金
前海开源基金-广发银行-前海开源华佳源鑫资产管理计划",5.0
27,300641.SZ,300641,正丹股份,化工原料,9.561128526645767,34.22,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国国际金融香港资产管理有限公司-客户资金2",2.0
28,300864.SZ,300864,南大环境,环境保护,9.482233502538072,12.29,"深圳坤钰资产管理有限公司-坤钰进化者私募证券投资基金
深圳市允泰投资管理有限公司-允泰铭汇私募证券投资基金",2.0
29,002658.SZ,002658,雪迪龙,环境保护,9.46341463414635,37.33,中央汇金资产管理有限责任公司,1.0
30,605117.SH,605117,德业股份,家用电器,9.297580880209843,32.0,,0.0
31,002015.SZ,002015,协鑫能科,新型电力,8.522114347357078,40.31,,0.0
32,600103.SH,600103,青山纸业,造纸,8.467741935483875,62.03,中信建投基金-中信证券-中信建投基金定增10号资产管理计划,1.0
33,600310.SH,600310,桂东电力,水力发电,8.293838862559255,37.83,香港中央结算有限公司(陆股通),1.0
34,002893.SZ,002893,华通热力,供气供热,8.188153310104518,12.82,克拉玛依昆仑朝阳创业投资基金合伙企业(有限合伙),1.0
35,000601.SZ,000601,韶能股份,水力发电,8.014571948998173,64.03,"香港中央结算有限公司(陆股通)
深圳日昇创沅资产管理有限公司",2.0
36,600917.SH,600917,重庆燃气,供气供热,7.845084409136049,168.98,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
宁波宁聚资产管理中心(有限合伙)-宁聚博逸1号私募证券投资基金",4.0
37,001896.SZ,001896,豫能控股,火力发电,7.711138310893517,101.25,,0.0
38,600710.SH,600710,苏美达,工程机械,7.0769230769230695,90.95,"江苏沿海产业投资基金(有限合伙)
国机资产管理有限公司",2.0
39,603090.SH,603090,宏盛股份,专用机械,6.6720911310008235,13.11,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
40,000027.SZ,000027,深圳能源,火力发电,6.25,525.69,"香港中央结算有限公司(陆股通)
建信中证500指数增强型证券投资基金
中央汇金资产管理有限责任公司
中证500交易型开放式指数证券投资基金",4.0
41,600644.SH,600644,乐山电力,水力发电,6.104129263913816,31.82,天津渤海信息产业结构调整股权投资基金有限公司,1.0
42,002549.SZ,002549,凯美特气,环境保护,5.903187721369529,55.64,"中国工商银行-东吴嘉禾优势精选混合型开放式证券投资基金
湖南省财信资产管理有限公司
湖南省财信常勤基金管理有限公司-湖南省财信常勤壹号基金合伙企业(有限合伙)",3.0
43,600758.SH,600758,辽宁能源,煤炭开采,5.882352941176472,45.17,"中国信达资产管理股份有限公司
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金",2.0
44,603316.SH,603316,诚邦股份,建筑工程,5.81560283687943,15.16,,0.0
45,300716.SZ,300716,国立科技,塑料,5.744431418522855,14.43,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
46,002060.SZ,002060,粤水电,建筑工程,5.5393586005830775,43.51,,0.0
47,002554.SZ,002554,惠博普,石油开采,5.498281786941561,26.32,,0.0
48,600483.SH,600483,福能股份,火力发电,5.42713567839197,165.39,方正富邦基金-包商银行-紫金亿丰(北京)投资管理有限公司,1.0
