,ts_code,symbol,name,industry,COL_CHG,COL_ODDS,COL_CIRC_MV
0,300993.SZ,300993,玉马遮阳,化工原料,0.39,15.95,8.06
1,002280.SZ,002280,联络互动,软件服务,101.21,7.89,117.31
2,605339.SH,605339,南侨食品,食品,67.41,6.55,38.09
3,300268.SZ,300268,佳沃股份,农业综合,58.77,6.41,25.56
4,605186.SH,605186,健麾信息,专用机械,79.14,6.34,11.47
5,002679.SZ,002679,福建金森,林业,54.97,5.7,56.56
6,603196.SH,603196,日播时尚,服饰,72.41,5.43,26.4
7,600238.SH,600238,海南椰岛,红黄酒,50.89,5.26,102.13
8,000995.SZ,000995,皇台酒业,白酒,56.36,5.25,56.01
9,300096.SZ,300096,易联众,软件服务,36.45,5.07,45.67
10,600696.SH,600696,ST岩石,区域地产,54.93,4.99,115.56
11,600112.SH,600112,*ST天成,电气设备,55.19,4.98,12.17
12,600751.SH,600751,海航科技,软件服务,60.08,4.91,102.16
13,002341.SZ,002341,新纶科技,化工原料,57.23,4.88,47.84
14,600704.SH,600704,物产中大,商贸代理,56.47,4.58,396.88
15,002386.SZ,002386,天原股份,化工原料,39.07,4.51,83.91
16,300390.SZ,300390,天华超净,元器件,53.67,4.46,172.86
17,002464.SZ,002464,*ST众应,互联网,46.75,4.41,11.79
18,600963.SH,600963,岳阳林纸,造纸,35.18,4.22,171.3
19,002759.SZ,002759,天际股份,家用电器,53.62,4.1,132.27
20,300464.SZ,300464,星徽股份,机械基件,44.76,4.09,49.51
21,300340.SZ,300340,科恒股份,元器件,50.66,4.07,28.11
22,300077.SZ,300077,国民技术,半导体,36.97,4.06,56.14
23,300604.SZ,300604,长川科技,专用机械,45.4,4.05,108.4
24,603650.SH,603650,彤程新材,化工原料,43.73,4.03,58.48
25,002622.SZ,002622,融钰集团,综合类,31.32,3.99,51.07
26,300339.SZ,300339,润和软件,软件服务,24.02,3.95,141.79
27,300223.SZ,300223,北京君正,半导体,30.29,3.89,286.96
28,300079.SZ,300079,数码视讯,通信设备,19.38,3.88,72.58
29,300537.SZ,300537,广信材料,染料涂料,39.35,3.81,22.07
30,300035.SZ,300035,中科电气,电气设备,44.33,3.81,99.53
31,603876.SH,603876,鼎胜新材,铝,49.54,3.8,84.3
32,605305.SH,605305,中际联合,专用机械,39.57,3.77,15.49
33,002407.SZ,002407,多氟多,化工原料,42.83,3.59,208.11
34,605369.SH,605369,拱东医疗,医疗保健,29.52,3.54,30.28
35,300530.SZ,300530,*ST达志,化工原料,36.06,3.54,27.41
36,002536.SZ,002536,飞龙股份,汽车配件,37.62,3.52,41.36
37,600327.SH,600327,大东方,汽车服务,25.44,3.52,71.22
38,002256.SZ,002256,*ST兆新,新型电力,45.24,3.5,42.43
39,300279.SZ,300279,和晶科技,元器件,36.21,3.48,31.25
40,002646.SZ,002646,青青稞酒,白酒,29.58,3.46,114.33
41,600663.SH,600663,陆家嘴,园区开发,35.75,3.42,427.7
42,600518.SH,600518,*ST康美,中成药,32.52,3.42,143.73
43,300220.SZ,300220,金运激光,元器件,39.17,3.41,23.57
44,002900.SZ,002900,哈三联,化学制药,40.6,3.38,54.18
45,002617.SZ,002617,露笑科技,电气设备,37.72,3.37,133.03
46,300582.SZ,300582,英飞特,半导体,45.14,3.34,41.49
47,300023.SZ,300023,*ST宝德,专用机械,39.89,3.31,26.08
