,ts_code,symbol,name,industry,COL_CHG,COL_ODDS,COL_DELTA_ODDS,COL_MA_20_SLOPE,COL_CIRC_MV
0,300268.SZ,300268,佳沃股份,农业综合,30.81,-2.5,-16.254562337662335,2.64,23.63
1,600095.SH,600095,湘财股份,证券,-5.75,-3.63,-10.590825194805195,1.7,52.9
2,002622.SZ,002622,融钰集团,综合类,16.63,-1.85,-9.614717922077922,3.95,46.53
3,002379.SZ,002379,宏创控股,铝,3.51,-2.38,-8.845812467532465,0.28,32.79
4,002536.SZ,002536,飞龙股份,汽车配件,36.52,-0.46,-8.719554285714283,2.06,41.03
5,003039.SZ,003039,顺控发展,水务,16.79,-1.67,-8.638736883116882,0.24,31.01
6,002679.SZ,002679,福建金森,林业,42.28,1.13,-8.318395844155845,3.88,57.12
7,000718.SZ,000718,苏宁环球,区域地产,-4.53,-2.83,-7.682562337662336,1.61,207.63
8,300464.SZ,300464,星徽股份,机械基件,36.43,0.56,-7.578855844155841,1.64,47.33
9,000615.SZ,000615,奥园美谷,化纤,-4.07,-3.41,-7.225436103896103,0.43,182.11
10,002591.SZ,002591,恒大高新,化工原料,4.0,-2.12,-6.777613506493506,0.32,13.42
11,002280.SZ,002280,联络互动,软件服务,76.65,3.14,-6.771637922077922,3.85,113.26
12,002612.SZ,002612,朗姿股份,服饰,-6.5,-3.4,-6.759645974025973,0.33,149.73
13,002762.SZ,002762,金发拉比,服饰,11.81,-1.43,-6.694649090909091,0.12,33.71
14,601996.SH,601996,丰林集团,家居用品,10.09,-1.36,-6.280651948051947,0.59,38.89
15,603630.SH,603630,拉芳家化,日用化工,8.96,-1.08,-5.878391168831168,1.32,60.6
16,603615.SH,603615,茶花股份,家居用品,3.27,-1.35,-5.842504415584415,0.62,27.18
17,600085.SH,600085,同仁堂,中成药,2.65,-1.28,-5.7934841558441565,1.34,530.76
18,600173.SH,600173,卧龙地产,全国地产,17.46,-0.29,-5.780737402597402,1.28,43.36
19,600704.SH,600704,物产中大,商贸代理,48.04,1.5,-5.505868571428572,2.64,379.16
