,ts_code,symbol,name,industry,COL_CHG,COL_ODDS,COL_DELTA_ODDS,COL_CIRC_MV
0,002536.SZ,002536,飞龙股份,汽车配件,19.79,-2.37,-10.631729610389609,38.49
1,600751.SH,600751,海航科技,软件服务,45.06,1.74,-6.403394545454545,94.44
2,603650.SH,603650,彤程新材,化工原料,32.5,1.27,-5.781944415584414,56.81
3,603787.SH,603787,新日股份,摩托车,30.2,0.73,-5.729577662337662,54.06
4,300724.SZ,300724,捷佳伟创,专用机械,13.92,-1.11,-5.444372207792208,181.38
5,300655.SZ,300655,晶瑞股份,化工原料,27.61,-0.01,-5.224794545454545,75.32
6,300457.SZ,300457,赢合科技,专用机械,11.31,-0.62,-4.851175584415584,88.37
7,603026.SH,603026,石大胜华,化工原料,22.11,0.47,-4.490924935064934,212.08
8,002158.SZ,002158,汉钟精机,工程机械,7.55,-1.32,-4.3237135064935055,130.77
9,002341.SZ,002341,新纶科技,化工原料,36.15,1.0,-4.0175106493506485,44.68
10,600753.SH,600753,东方银星,商贸代理,37.55,1.31,-4.0105685714285695,83.36
11,600381.SH,600381,青海春天,医疗保健,25.89,2.27,-4.003064415584415,51.66
12,000962.SZ,000962,东方钽业,小金属,14.77,0.3,-3.9858810389610393,44.52
13,000818.SZ,000818,航锦科技,化工原料,25.64,0.59,-3.927055324675324,182.85
14,600779.SH,600779,水井坊,白酒,0.8,-0.95,-3.8999711688311676,623.91
15,600702.SH,600702,舍得酒业,白酒,29.23,1.65,-3.851181818181818,760.47
16,600771.SH,600771,广誉远,中成药,14.33,-0.13,-3.7927314285714284,111.88
17,600199.SH,600199,金种子酒,白酒,21.63,1.53,-3.7752257142857135,112.86
18,603306.SH,603306,华懋科技,汽车配件,19.84,0.02,-3.756170649350649,93.64
19,300014.SZ,300014,亿纬锂能,电气设备,-1.41,-1.66,-3.7420366233766233,1786.56
20,300576.SZ,300576,容大感光,染料涂料,23.67,0.66,-3.705170649350648,34.16
21,600616.SH,600616,金枫酒业,红黄酒,23.7,0.89,-3.682246493506494,67.03
22,600143.SH,600143,金发科技,塑料,-2.5,-1.08,-3.660058701298702,541.23
23,002646.SZ,002646,青青稞酒,白酒,29.78,1.92,-3.608610129870131,114.51
24,600257.SH,600257,大湖股份,渔业,13.19,0.61,-3.5730981818181817,39.22
25,601311.SH,601311,骆驼股份,电气设备,-4.09,-1.75,-3.4960779220779212,126.42
26,600197.SH,600197,伊力特,白酒,10.34,0.72,-3.4553979220779207,153.25
27,600559.SH,600559,老白干酒,白酒,17.73,0.18,-3.44768961038961,262.82
28,300236.SZ,300236,上海新阳,半导体,14.39,-0.08,-3.3431688311688306,120.46
29,002342.SZ,002342,巨力索具,机械基件,14.81,0.95,-3.3401490909090894,44.42
30,603919.SH,603919,金徽酒,白酒,8.61,-0.23,-3.2892766233766224,236.02
31,600059.SH,600059,古越龙山,红黄酒,10.78,-0.45,-3.2844049350649343,116.35
32,002617.SZ,002617,露笑科技,电气设备,29.8,0.49,-3.2811649350649352,126.32
33,603025.SH,603025,大豪科技,IT设备,6.14,-0.13,-3.2767233766233765,387.01
34,600543.SH,600543,莫高股份,红黄酒,8.42,0.44,-3.2670493506493505,28.13
35,002407.SZ,002407,多氟多,化工原料,37.63,2.51,-3.2546857142857144,200.52
36,300432.SZ,300432,富临精工,汽车配件,31.64,2.84,-3.246371168831169,99.3
37,600834.SH,600834,申通地铁,公共交通,12.7,0.58,-3.223172727272726,53.8
38,603826.SH,603826,坤彩科技,染料涂料,-3.19,-1.54,-3.214493506493506,187.67
39,603198.SH,603198,迎驾贡酒,白酒,6.14,-0.44,-3.2122038961038957,352.72
40,000860.SZ,000860,顺鑫农业,白酒,4.6,-0.72,-3.1971215584415584,389.43
41,002759.SZ,002759,天际股份,家用电器,48.11,3.23,-3.165369610389612,132.71
42,300207.SZ,300207,欣旺达,元器件,19.15,1.55,-3.136760519480519,464.21
43,300755.SZ,300755,华致酒行,其他商业,7.26,-0.52,-3.1360238961038958,54.52
44,601579.SH,601579,会稽山,红黄酒,2.99,-0.61,-3.118560779220779,65.0
45,002386.SZ,002386,天原股份,化工原料,9.3,-1.62,-3.0881392207792207,79.77
46,300390.SZ,300390,天华超净,元器件,52.32,3.16,-3.0781062337662335,171.35
47,002497.SZ,002497,雅化集团,化工原料,9.17,-0.43,-3.0775618181818185,230.43
48,000929.SZ,000929,兰州黄河,啤酒,10.94,0.08,-3.029417922077922,22.03
49,000799.SZ,000799,酒鬼酒,白酒,1.67,-0.99,-3.009517662337662,760.07
50,600711.SH,600711,盛屯矿业,小金属,0.26,-1.38,-3.007369090909091,187.72
51,000869.SZ,000869,张裕A,红黄酒,-0.2,-1.11,-3.0013236363636366,179.16
52,603589.SH,603589,口子窖,白酒,-4.25,-1.69,-2.928676103896104,382.2
53,002421.SZ,002421,达实智能,软件服务,15.46,1.08,-2.8737503896103895,69.62
54,000596.SZ,000596,古井贡酒,白酒,-5.3,-1.75,-2.7080223376623374,882.4
55,002885.SZ,002885,京泉华,元器件,12.44,0.89,-2.6871083116883114,17.35
56,002240.SZ,002240,盛新锂能,小金属,10.64,0.42,-2.68354961038961,217.9
57,300035.SZ,300035,中科电气,电气设备,39.66,1.69,-2.6735522077922074,96.31
58,002108.SZ,002108,沧州明珠,塑料,13.58,0.43,-2.6547228571428576,78.27
59,603369.SH,603369,今世缘,白酒,-5.35,-1.82,-2.5910467532467525,698.76
60,000995.SZ,000995,皇台酒业,白酒,63.54,5.39,-2.5336628571428568,60.09
61,300083.SZ,300083,创世纪,元器件,0.87,-0.84,-2.5161683116883116,151.21
62,300831.SZ,300831,派瑞股份,元器件,40.72,1.98,-2.514692987012988,26.71
63,002709.SZ,002709,天赐材料,化工原料,23.75,0.51,-2.5120425974025977,603.67
64,002316.SZ,002316,亚联发展,软件服务,1.82,-0.69,-2.4858096103896097,16.43
65,002080.SZ,002080,中材科技,化纤,8.73,-0.17,-2.4618628571428567,373.72
66,300537.SZ,300537,广信材料,染料涂料,32.4,0.17,-2.4543394805194803,21.31
67,603799.SH,603799,华友钴业,小金属,5.94,-1.13,-2.434974025974026,1097.89
68,002660.SZ,002660,茂硕电源,电气设备,10.07,0.56,-2.410952207792208,15.7
69,002460.SZ,002460,赣锋锂业,小金属,4.1,-1.37,-2.39961922077922,1027.48
70,603876.SH,603876,鼎胜新材,铝,54.23,4.62,-2.3030368831168815,86.94
71,300096.SZ,300096,易联众,软件服务,21.95,1.31,-2.2619854545454534,46.65
72,000925.SZ,000925,众合科技,专用机械,30.95,2.98,-2.2508701298701292,46.16
73,000831.SZ,000831,五矿稀土,小金属,0.17,-0.83,-2.2091903896103897,173.62
74,300477.SZ,300477,合纵科技,电气设备,25.08,1.46,-2.1467433766233768,44.5
75,002967.SZ,002967,广电计量,综合类,11.34,0.57,-2.1438794805194803,74.05
76,300438.SZ,300438,鹏辉能源,电气设备,29.15,1.61,-2.128767272727272,74.11
77,002461.SZ,002461,珠江啤酒,啤酒,2.94,0.23,-2.116902857142857,271.13
78,300073.SZ,300073,当升科技,矿物制品,17.57,0.34,-2.105256623376623,249.63
79,000568.SZ,000568,泸州老窖,白酒,-4.54,-1.46,-2.0654677922077918,3836.78
80,002411.SZ,002411,延安必康,化学制药,37.2,3.29,-2.0253571428571426,97.76
81,002091.SZ,002091,江苏国泰,商贸代理,39.59,3.45,-1.9838698701298707,143.06
82,600655.SH,600655,豫园股份,百货,-3.44,-1.35,-1.9728503896103895,211.74
83,002466.SZ,002466,天齐锂业,小金属,0.42,-0.85,-1.966775584415584,802.74
84,300037.SZ,300037,新宙邦,化工原料,10.83,0.12,-1.9463807792207792,266.13
85,603659.SH,603659,璞泰来,化工原料,25.39,1.75,-1.9335483116883112,767.28
86,300221.SZ,300221,银禧科技,塑料,2.87,-0.5,-1.9007646753246752,32.98
87,300631.SZ,300631,久吾高科,环境保护,8.7,0.23,-1.8720877922077928,25.02
