,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_ACCUMULATE_PROBABILITY,COL_CIRC_MV
0,600702.SH,600702,舍得酒业,白酒,29.23,0.33,27.78,760.47
1,300919.SZ,300919,中伟股份,化工原料,10.37,0.33,20.89,60.29
2,601127.SH,601127,小康股份,汽车配件,4.77,0.11,19.78,565.46
3,603518.SH,603518,锦泓集团,服饰,5.8,0.11,17.44,58.96
4,605178.SH,605178,时空科技,装修装饰,11.85,0.33,15.89,9.36
5,603025.SH,603025,大豪科技,IT设备,6.14,0.33,15.56,387.01
6,605376.SH,605376,博迁新材,小金属,18.63,0.33,15.11,45.22
7,000663.SZ,000663,*ST永林,林业,36.94,0.56,14.89,27.63
8,300595.SZ,300595,欧普康视,医疗保健,7.39,0.11,14.56,643.29
9,601636.SH,601636,旗滨集团,玻璃,8.81,0.33,13.33,464.72
10,002049.SZ,002049,紫光国微,元器件,4.13,0.11,12.78,834.8
11,002667.SZ,002667,鞍重股份,工程机械,24.6,0.11,12.67,37.8
12,600084.SH,600084,*ST中葡,红黄酒,19.53,0.56,12.22,46.07
13,002622.SZ,002622,融钰集团,综合类,23.16,0.33,11.78,49.14
14,002445.SZ,002445,*ST中南,影视音像,15.6,0.33,11.22,66.93
15,600479.SH,600479,千金药业,中成药,1.56,0.11,11.11,40.8
16,000762.SZ,000762,西藏矿业,小金属,-4.39,0.11,11.0,116.71
17,600711.SH,600711,盛屯矿业,小金属,0.26,0.11,10.89,187.72
18,300871.SZ,300871,回盛生物,农业综合,20.76,0.33,10.78,21.02
19,600518.SH,600518,*ST康美,中成药,27.24,0.56,10.78,144.17
20,002679.SZ,002679,福建金森,林业,42.29,0.56,10.67,62.83
21,600776.SH,600776,东方通信,通信设备,14.36,0.78,10.56,128.68
22,600704.SH,600704,物产中大,商贸代理,34.98,0.33,10.56,367.01
23,002629.SZ,002629,ST仁智,石油开采,12.0,0.11,10.44,8.68
24,002418.SZ,002418,*ST康盛,机械基件,15.35,0.11,10.22,31.57
25,603565.SH,603565,中谷物流,仓储物流,15.31,0.33,10.22,29.25
26,002684.SZ,002684,*ST猛狮,电气设备,21.54,0.11,10.11,16.72
27,002326.SZ,002326,永太科技,化工原料,35.21,0.33,10.0,98.3
28,300893.SZ,300893,松原股份,汽车配件,3.88,0.33,9.89,8.84
29,002529.SZ,002529,*ST海源,专用机械,11.0,0.56,9.89,19.68
30,300736.SZ,300736,百邦科技,通信设备,18.26,0.33,9.67,15.92
31,600112.SH,600112,*ST天成,电气设备,55.29,1.0,9.67,13.44
32,002497.SZ,002497,雅化集团,化工原料,9.17,0.33,9.56,230.43
33,300270.SZ,300270,中威电子,通信设备,9.84,0.33,9.56,11.05
34,000572.SZ,000572,海马汽车,汽车整车,26.63,0.33,9.44,105.43
35,603706.SH,603706,东方环宇,供气供热,3.08,0.11,9.44,8.6
36,600696.SH,600696,ST岩石,区域地产,54.9,1.0,9.44,127.4
37,002254.SZ,002254,泰和新材,化纤,7.64,0.56,9.44,82.24
38,000906.SZ,000906,浙商中拓,批发业,26.06,0.56,9.33,84.47
39,600241.SH,600241,ST时万,商贸代理,38.1,1.0,9.22,17.07
40,002513.SZ,002513,*ST蓝丰,农药化肥,16.13,0.56,9.22,16.98
41,605369.SH,605369,拱东医疗,医疗保健,26.11,0.56,9.11,29.98
42,000803.SZ,000803,北清环能,环境保护,18.52,0.56,9.0,17.65
43,600600.SH,600600,青岛啤酒,啤酒,9.75,0.11,9.0,766.83
44,300079.SZ,300079,数码视讯,通信设备,30.48,0.33,9.0,92.72
45,600753.SH,600753,东方银星,商贸代理,37.55,0.56,8.89,83.36
46,300034.SZ,300034,钢研高纳,小金属,15.38,0.56,8.89,129.41
47,601689.SH,601689,拓普集团,汽车配件,11.51,0.33,8.89,397.62
48,603608.SH,603608,天创时尚,服饰,11.63,0.33,8.78,32.51
49,002256.SZ,002256,*ST兆新,新型电力,52.04,1.0,8.56,46.74
50,600615.SH,600615,*ST丰华,小金属,8.5,0.78,8.56,14.37
51,300093.SZ,300093,金刚玻璃,玻璃,5.32,0.33,8.33,38.75
52,002729.SZ,002729,好利来,元器件,6.04,0.11,8.11,31.84
53,002851.SZ,002851,麦格米特,电气设备,4.68,0.33,8.11,124.63
54,300571.SZ,300571,平治信息,互联网,6.46,0.56,8.11,34.16
55,000999.SZ,000999,华润三九,中成药,1.15,0.33,8.11,257.81
56,300619.SZ,300619,金银河,专用机械,15.07,0.33,8.0,12.45
57,001872.SZ,001872,招商港口,港口,1.11,0.33,8.0,92.22
58,300568.SZ,300568,星源材质,化工原料,15.81,0.11,8.0,168.35
59,002801.SZ,002801,微光股份,电气设备,3.28,0.56,7.89,29.94
60,300399.SZ,300399,天利科技,互联网,4.93,0.33,7.89,22.37
61,002900.SZ,002900,哈三联,化学制药,23.37,0.11,7.78,50.22
62,002247.SZ,002247,聚力文化,造纸,45.09,0.78,7.78,19.21
63,002660.SZ,002660,茂硕电源,电气设备,10.07,0.11,7.78,15.7
64,600933.SH,600933,爱柯迪,汽车配件,12.54,0.78,7.67,125.89
65,300618.SZ,300618,寒锐钴业,小金属,9.57,0.33,7.67,179.19
66,002079.SZ,002079,苏州固锝,半导体,11.14,0.56,7.67,82.61
67,603299.SH,603299,苏盐井神,化工原料,5.84,0.33,7.67,45.65
68,600698.SH,600698,湖南天雁,汽车配件,23.53,0.78,7.67,26.33
69,002125.SZ,002125,湘潭电化,化工原料,4.54,0.33,7.56,46.45
70,002638.SZ,002638,*ST勤上,文教休闲,28.86,0.78,7.44,25.8
71,002957.SZ,002957,科瑞技术,专用机械,25.55,0.56,7.44,35.32
72,300827.SZ,300827,上能电气,电气设备,3.2,0.33,7.44,16.93
73,300620.SZ,300620,光库科技,元器件,4.81,0.11,7.33,37.6
74,003033.SZ,003033,征和工业,机械基件,14.45,0.33,7.33,7.9
75,600287.SH,600287,江苏舜天,商贸代理,4.21,0.33,7.33,23.76
76,300652.SZ,300652,雷迪克,汽车配件,7.15,0.78,7.33,15.89
77,603505.SH,603505,金石资源,矿物制品,4.28,0.11,7.33,62.72
78,300169.SZ,300169,天晟新材,塑料,6.91,0.78,7.33,24.44
79,605318.SH,605318,法狮龙,装修装饰,0.94,0.56,7.33,4.86
80,002091.SZ,002091,江苏国泰,商贸代理,39.59,0.78,7.33,143.06
