,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_CIRC_MV
0,605499.SH,605499,东鹏饮料,软饮料,135.78,1.0,62.86
1,600112.SH,600112,*ST天成,电气设备,54.75,1.0,14.1
2,600032.SH,600032,浙江新能,新型电力,119.77,1.0,27.98
3,600306.SH,600306,*ST商城,百货,50.74,0.89,16.29
4,600238.SH,600238,海南椰岛,红黄酒,69.95,0.78,130.61
5,600241.SH,600241,ST时万,商贸代理,42.96,0.78,17.92
6,002256.SZ,002256,*ST兆新,新型电力,37.5,0.78,44.38
7,600696.SH,600696,ST岩石,区域地产,42.75,0.78,123.08
8,000663.SZ,000663,*ST永林,林业,43.75,0.78,29.0
9,603196.SH,603196,日播时尚,服饰,73.82,0.67,26.62
10,002640.SZ,002640,*ST跨境,互联网,41.75,0.67,34.42
11,300023.SZ,300023,*ST宝德,专用机械,43.58,0.67,29.44
12,300530.SZ,300530,*ST达志,化工原料,66.35,0.56,36.2
13,000995.SZ,000995,皇台酒业,白酒,76.34,0.56,66.1
14,002247.SZ,002247,聚力文化,造纸,55.65,0.56,21.16
15,600663.SH,600663,陆家嘴,园区开发,35.77,0.56,440.9
16,002346.SZ,002346,柘中股份,电气设备,80.47,0.56,72.93
17,603822.SH,603822,嘉澳环保,环境保护,38.36,0.56,22.01
18,002464.SZ,002464,*ST众应,互联网,33.52,0.56,12.47
19,600145.SH,600145,*ST新亿,陶瓷,26.72,0.56,21.92
20,002617.SZ,002617,露笑科技,电气设备,25.87,0.56,134.71
21,600608.SH,600608,ST沪科,钢加工,30.34,0.56,24.07
22,300432.SZ,300432,富临精工,汽车配件,37.01,0.56,103.35
23,600751.SH,600751,海航科技,软件服务,38.34,0.56,90.06
24,300390.SZ,300390,天华超净,元器件,49.74,0.56,177.57
25,002638.SZ,002638,*ST勤上,文教休闲,24.64,0.44,25.7
26,603157.SH,603157,*ST拉夏,服饰,24.28,0.44,11.41
27,002646.SZ,002646,青青稞酒,白酒,31.79,0.44,116.4
28,603026.SH,603026,石大胜华,化工原料,22.29,0.44,212.39
29,002091.SZ,002091,江苏国泰,商贸代理,30.36,0.44,135.19
30,603223.SH,603223,恒通股份,供气供热,24.65,0.44,80.92
31,600698.SH,600698,湖南天雁,汽车配件,18.09,0.44,25.52
32,603348.SH,603348,文灿股份,汽车配件,23.81,0.44,82.21
33,600767.SH,600767,ST运盛,医疗保健,22.56,0.44,16.67
34,600714.SH,600714,金瑞矿业,化工原料,35.13,0.44,26.05
35,002274.SZ,002274,华昌化工,农药化肥,24.8,0.44,90.05
36,300220.SZ,300220,金运激光,元器件,80.07,0.44,31.66
37,300615.SZ,300615,欣天科技,元器件,49.95,0.44,14.42
38,300604.SZ,300604,长川科技,专用机械,29.43,0.44,117.98
39,600311.SH,600311,ST荣华,黄金,34.09,0.44,15.71
40,000595.SZ,000595,*ST宝实,机械基件,22.36,0.44,32.98
41,000752.SZ,000752,*ST西发,啤酒,27.16,0.44,13.58
42,600291.SH,600291,*ST西水,保险,36.15,0.44,31.7
43,002055.SZ,002055,得润电子,元器件,16.81,0.33,51.66
44,300202.SZ,300202,*ST聚龙,IT设备,15.8,0.33,24.87
45,600091.SH,600091,*ST明科,化工原料,21.12,0.33,12.29
46,002445.SZ,002445,*ST中南,影视音像,13.9,0.33,68.32
47,605376.SH,605376,博迁新材,小金属,22.12,0.33,47.92
48,600367.SH,600367,红星发展,化工原料,15.23,0.33,30.84
49,002496.SZ,002496,*ST辉丰,农药化肥,20.36,0.33,34.54
50,600191.SH,600191,*ST华资,食品,20.0,0.33,15.42
51,300495.SZ,300495,*ST美尚,环境保护,20.98,0.33,17.07
52,000523.SZ,000523,*ST浪奇,日用化工,21.45,0.33,22.01
53,000525.SZ,000525,ST红太阳,农药化肥,29.01,0.33,24.01
54,600766.SH,600766,*ST园城,黄金,17.63,0.33,9.11
55,300471.SZ,300471,厚普股份,专用机械,16.54,0.33,45.86
