,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_CIRC_MV
0,600112.SH,600112,*ST天成,电气设备,54.75,1.0,14.1
1,600306.SH,600306,*ST商城,百货,50.74,0.9,16.29
2,600696.SH,600696,ST岩石,区域地产,42.75,0.8,123.08
3,002640.SZ,002640,*ST跨境,互联网,41.75,0.7,34.42
4,002256.SZ,002256,*ST兆新,新型电力,37.5,0.7,44.38
5,600241.SH,600241,ST时万,商贸代理,42.96,0.7,17.92
6,002464.SZ,002464,*ST众应,互联网,33.52,0.6,12.47
7,600608.SH,600608,ST沪科,钢加工,30.34,0.5,24.07
8,000663.SZ,000663,*ST永林,林业,43.75,0.5,29.0
9,300530.SZ,300530,*ST达志,化工原料,66.35,0.4,36.2
10,000523.SZ,000523,*ST浪奇,日用化工,21.45,0.4,22.01
11,600518.SH,600518,*ST康美,中成药,15.19,0.4,137.11
12,600311.SH,600311,ST荣华,黄金,34.09,0.4,15.71
13,600291.SH,600291,*ST西水,保险,36.15,0.4,31.7
14,600145.SH,600145,*ST新亿,陶瓷,26.72,0.3,21.92
15,300023.SZ,300023,*ST宝德,专用机械,43.58,0.3,29.44
16,603157.SH,603157,*ST拉夏,服饰,24.28,0.3,11.41
17,000525.SZ,000525,ST红太阳,农药化肥,29.01,0.3,24.01
18,000752.SZ,000752,*ST西发,啤酒,27.16,0.3,13.58
19,002650.SZ,002650,ST加加,食品,22.7,0.2,82.83
20,600191.SH,600191,*ST华资,食品,20.0,0.2,15.42
21,600767.SH,600767,ST运盛,医疗保健,22.56,0.2,16.67
22,600695.SH,600695,*ST绿庭,多元金融,17.56,0.2,12.02
23,600666.SH,600666,ST瑞德,元器件,19.46,0.2,14.31
24,600652.SH,600652,*ST游久,互联网,21.21,0.2,16.65
25,000595.SZ,000595,*ST宝实,机械基件,22.36,0.2,32.98
26,600290.SH,600290,ST华仪,电气设备,22.11,0.2,18.47
27,000017.SZ,000017,*ST中华A,文教休闲,21.96,0.2,10.94
28,300202.SZ,300202,*ST聚龙,IT设备,15.8,0.2,24.87
29,600091.SH,600091,*ST明科,化工原料,21.12,0.2,12.29
30,000422.SZ,000422,ST宜化,农药化肥,24.25,0.2,56.11
31,002618.SZ,002618,*ST丹邦,元器件,23.79,0.2,15.4
32,002499.SZ,002499,*ST科林,环境保护,12.31,0.1,11.38
33,000585.SZ,000585,*ST东电,电气设备,10.83,0.1,10.6
34,300178.SZ,300178,*ST腾邦,旅游服务,22.12,0.1,15.5
35,600734.SH,600734,*ST实达,IT设备,23.27,0.1,13.32
36,300370.SZ,300370,ST安控,电器仪表,23.46,0.1,18.84
37,300495.SZ,300495,*ST美尚,环境保护,20.98,0.1,17.07
38,600365.SH,600365,ST通葡,红黄酒,11.82,0.1,14.0
39,600078.SH,600078,*ST澄星,化工原料,13.14,0.1,17.69
40,600084.SH,600084,*ST中葡,红黄酒,18.55,0.1,45.96
41,000972.SZ,000972,*ST中基,食品,10.0,0.1,17.82
42,002356.SZ,002356,*ST赫美,其他商业,20.21,0.1,12.21
43,002638.SZ,002638,*ST勤上,文教休闲,24.64,0.1,25.7
44,600198.SH,600198,*ST大唐,通信设备,22.87,0.1,57.23
45,600193.SH,600193,ST创兴,装修装饰,15.18,0.1,37.77
46,002445.SZ,002445,*ST中南,影视音像,13.9,0.1,68.32
