,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_RECENT_HALF_PROBABILITY,COL_PROBABILITY_DIFFER,COL_CIRC_MV
0,300479.SZ,300479,神思电子,软件服务,126.36,8.19,8.74,0.55,46.51
1,300631.SZ,300631,久吾高科,环境保护,97.52,6.8,12.79,5.99,46.53
2,300343.SZ,300343,联创股份,互联网,79.88,5.97,11.33,5.36,52.13
3,300712.SZ,300712,永福股份,建筑工程,54.32,4.68,6.58,1.9,108.75
4,300591.SZ,300591,万里马,服饰,47.85,4.05,4.75,0.7,20.55
5,300490.SZ,300490,华自科技,电气设备,29.13,3.99,4.4,0.41,48.46
6,603738.SH,603738,泰晶科技,元器件,46.79,3.84,5.24,1.4,75.45
7,300432.SZ,300432,富临精工,汽车配件,47.08,3.79,7.93,4.14,145.95
8,002192.SZ,002192,融捷股份,小金属,46.09,3.66,7.4,3.74,253.63
9,300982.SZ,300982,苏文电能,建筑工程,36.49,3.58,4.04,0.47,22.62
10,603324.SH,603324,盛剑环境,环境保护,47.42,3.58,5.46,1.88,14.59
11,000935.SZ,000935,四川双马,水泥,38.81,3.54,5.41,1.87,134.9
12,300748.SZ,300748,金力永磁,元器件,37.92,3.44,3.7,0.25,154.64
13,002176.SZ,002176,江特电机,电气设备,42.74,3.26,6.38,3.12,177.72
14,300790.SZ,300790,宇瞳光学,电器仪表,33.33,3.22,5.42,2.2,47.53
15,605186.SH,605186,健麾信息,医疗保健,33.84,3.2,6.08,2.88,15.6
16,600428.SH,600428,中远海特,水运,32.21,3.04,3.18,0.14,142.75
17,603379.SH,603379,三美股份,化工原料,35.83,3.03,4.16,1.12,44.06
18,000831.SZ,000831,五矿稀土,小金属,34.58,2.99,5.23,2.24,242.77
19,002127.SZ,002127,南极电商,互联网,32.79,2.99,3.25,0.26,224.68
20,600619.SH,600619,海立股份,机械基件,30.52,2.9,3.11,0.21,71.95
21,002529.SZ,002529,海源复材,专用机械,49.73,2.86,4.66,1.8,29.28
22,000762.SZ,000762,西藏矿业,小金属,32.91,2.84,3.37,0.53,161.97
23,000657.SZ,000657,中钨高新,小金属,29.18,2.84,3.32,0.48,112.87
24,002442.SZ,002442,龙星化工,化工原料,33.56,2.73,4.88,2.16,37.54
25,301010.SZ,301010,晶雪节能,其他建材,45.49,2.71,7.57,4.87,8.6
26,603937.SH,603937,丽岛新材,铝,33.14,2.7,5.59,2.89,34.4
27,300850.SZ,300850,新强联,机械基件,34.9,2.69,5.55,2.86,51.35
28,300400.SZ,300400,劲拓股份,专用机械,43.84,2.64,6.09,3.45,42.37
29,600172.SH,600172,黄河旋风,矿物制品,34.8,2.64,3.46,0.81,97.2
30,300802.SZ,300802,矩子科技,IT设备,34.06,2.58,5.08,2.5,35.94
31,300491.SZ,300491,通合科技,电气设备,32.2,2.56,5.45,2.88,22.11
32,300460.SZ,300460,惠伦晶体,元器件,26.5,2.52,2.8,0.28,63.65
33,300390.SZ,300390,天华超净,元器件,29.56,2.41,4.87,2.45,233.44
34,300334.SZ,300334,津膜科技,专用机械,34.85,2.41,5.99,3.58,24.69
35,002280.SZ,002280,联络互动,软件服务,28.24,2.38,5.13,2.75,118.37
36,600769.SH,600769,祥龙电业,建筑工程,23.85,2.36,3.81,1.45,24.34
37,601828.SH,601828,美凯龙,其他商业,26.03,2.34,2.88,0.54,436.59
38,300035.SZ,300035,中科电气,电气设备,29.33,2.34,3.8,1.46,154.82
39,600111.SH,600111,北方稀土,小金属,25.96,2.32,4.06,1.74,912.99
40,603155.SH,603155,新亚强,化工原料,30.58,2.31,3.2,0.89,20.62
41,300618.SZ,300618,寒锐钴业,小金属,23.41,2.3,3.17,0.86,203.62
42,300582.SZ,300582,英飞特,半导体,37.58,2.27,5.44,3.18,56.25
43,002895.SZ,002895,川恒股份,化工原料,34.67,2.26,4.2,1.94,89.26
44,300108.SZ,300108,吉药控股,中成药,23.44,2.25,2.79,0.54,18.36
45,300095.SZ,300095,华伍股份,机械基件,26.35,2.25,4.09,1.84,32.5
46,300820.SZ,300820,英杰电气,电气设备,31.45,2.23,4.83,2.59,20.46
47,002738.SZ,002738,中矿资源,小金属,31.2,2.2,3.86,1.67,138.48
48,000811.SZ,000811,冰轮环境,工程机械,22.04,2.17,2.69,0.52,89.2
49,300087.SZ,300087,荃银高科,种植业,29.61,2.17,5.4,3.23,114.33
50,600392.SH,600392,盛和资源,小金属,23.78,2.15,3.75,1.6,364.55
51,300079.SZ,300079,数码视讯,通信设备,31.48,2.13,4.48,2.34,119.57
52,601339.SH,601339,百隆东方,纺织,23.23,2.11,3.08,0.97,93.6
53,600549.SH,600549,厦门钨业,小金属,23.73,2.1,2.88,0.78,336.47
54,002805.SZ,002805,丰元股份,化工原料,22.68,2.09,2.29,0.2,25.24
55,603629.SH,603629,利通电子,元器件,25.49,2.06,2.87,0.81,7.46
56,300543.SZ,300543,朗科智能,电气设备,24.35,2.04,2.39,0.36,35.3
57,002506.SZ,002506,协鑫集成,电气设备,25.85,2.03,3.35,1.32,207.57
58,002407.SZ,002407,多氟多,化工原料,27.83,2.03,2.56,0.53,236.69
59,002312.SZ,002312,川发龙蟒,化工原料,27.71,2.03,4.1,2.07,137.34
60,600779.SH,600779,水井坊,白酒,21.78,2.03,3.4,1.38,724.35
61,603659.SH,603659,璞泰来,化工原料,24.1,2.02,2.74,0.72,1079.26
62,300224.SZ,300224,正海磁材,元器件,23.83,2.01,3.36,1.35,103.35
63,300077.SZ,300077,国民技术,半导体,30.04,1.97,2.93,0.96,99.8
64,002724.SZ,002724,海洋王,半导体,20.92,1.94,2.3,0.36,55.39
65,300620.SZ,300620,光库科技,元器件,25.91,1.94,2.44,0.5,56.27
66,300604.SZ,300604,长川科技,专用机械,27.66,1.93,2.26,0.33,165.26
67,603993.SH,603993,洛阳钼业,小金属,23.18,1.93,3.94,2.02,1095.28
68,002240.SZ,002240,盛新锂能,小金属,28.6,1.92,4.82,2.9,250.49
69,300997.SZ,300997,欢乐家,软饮料,23.88,1.89,4.77,2.88,19.64
70,300037.SZ,300037,新宙邦,化工原料,22.85,1.89,2.14,0.25,328.15
71,002274.SZ,002274,华昌化工,农药化肥,20.69,1.85,2.21,0.36,104.49
72,300073.SZ,300073,当升科技,电气设备,28.52,1.84,5.04,3.21,308.35
73,603306.SH,603306,华懋科技,汽车配件,15.6,1.83,2.31,0.48,124.65
74,600499.SH,600499,科达制造,专用机械,23.26,1.81,3.13,1.33,263.24
75,603613.SH,603613,国联股份,互联网,18.41,1.78,2.46,0.68,249.34
76,603229.SH,603229,奥翔药业,化学制药,20.46,1.78,3.9,2.12,94.85
77,002574.SZ,002574,明牌珠宝,服饰,17.2,1.75,2.89,1.15,26.98
78,603195.SH,603195,公牛集团,电气设备,18.36,1.75,2.19,0.44,169.59
79,000408.SZ,000408,藏格控股,农药化肥,19.34,1.74,2.03,0.29,116.29
80,300276.SZ,300276,三丰智能,专用机械,21.98,1.72,2.43,0.71,41.87
81,603055.SH,603055,台华新材,纺织,22.63,1.71,2.81,1.1,60.0
82,002355.SZ,002355,兴民智通,汽车配件,20.47,1.7,3.5,1.81,44.31
83,002765.SZ,002765,蓝黛科技,汽车配件,19.23,1.7,1.98,0.28,33.96
84,002416.SZ,002416,爱施德,电器连锁,18.39,1.68,3.04,1.36,141.71
85,002662.SZ,002662,京威股份,汽车配件,18.4,1.67,2.18,0.51,57.9
86,000683.SZ,000683,远兴能源,化工原料,18.47,1.67,2.47,0.8,175.06
87,600110.SH,600110,诺德股份,电气设备,20.37,1.64,2.37,0.73,180.61
88,600845.SH,600845,宝信软件,软件服务,17.9,1.63,2.52,0.9,627.52
89,600018.SH,600018,上港集团,港口,15.58,1.63,2.84,1.21,1235.16
90,002756.SZ,002756,永兴材料,特种钢,28.12,1.62,5.17,3.54,201.43
91,603039.SH,603039,泛微网络,软件服务,24.22,1.62,3.76,2.14,204.2
92,002094.SZ,002094,青岛金王,日用化工,20.3,1.62,3.04,1.42,33.14
93,600161.SH,600161,天坛生物,生物制药,16.51,1.59,2.34,0.75,481.2
94,300181.SZ,300181,佐力药业,中成药,19.6,1.59,2.04,0.45,41.33
95,002108.SZ,002108,沧州明珠,塑料,21.6,1.59,2.75,1.16,88.62
96,605377.SH,605377,华旺科技,造纸,15.49,1.54,2.31,0.77,12.34
97,605376.SH,605376,博迁新材,小金属,18.95,1.53,1.77,0.24,52.62
98,002865.SZ,002865,钧达股份,汽车配件,14.72,1.53,3.04,1.51,27.99
99,002460.SZ,002460,赣锋锂业,小金属,19.38,1.52,3.35,1.83,1223.17
100,600381.SH,600381,青海春天,医疗保健,20.13,1.51,3.04,1.54,52.54
101,002232.SZ,002232,启明信息,软件服务,17.0,1.5,1.96,0.46,52.58
