,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_SEPARATION_DEGREE,COL_CIRC_MV
0,301021.SZ,301021,C英诺,元器件,5.25,130.04,107.42,15.6
1,301018.SZ,301018,C申菱,专用机械,-21.54,110.04,90.01,11.38
2,301017.SZ,301017,C漱玉,医药商业,-1.53,54.38,54.38,8.57
3,301015.SZ,301015,百洋医药,医药商业,0.92,84.7,44.17,15.65
4,301020.SZ,301020,C密封,机械基件,-12.89,63.32,41.33,9.03
5,301023.SZ,301023,C江南,电气设备,-18.35,30.18,30.18,7.94
6,301013.SZ,301013,利和兴,专用机械,8.01,35.2,28.59,9.37
7,301004.SZ,301004,嘉益股份,家居用品,-1.92,27.79,25.4,5.46
8,301016.SZ,301016,雷尔伟,运输设备,2.75,26.17,16.86,8.73
9,605162.SH,605162,新中港,供气供热,9.95,26.97,14.94,7.7
10,605011.SH,605011,杭州热电,供气供热,77.25,14.85,11.43,6.31
11,603171.SH,603171,税友股份,软件服务,77.14,14.86,11.43,13.8
12,301022.SZ,301022,C海泰科,专用机械,-1.11,11.15,10.56,7.12
13,001208.SZ,001208,华菱线缆,电气设备,135.8,10.0,9.25,18.3
14,301019.SZ,301019,宁波色母,塑料,5.2,9.46,8.64,9.88
15,605287.SH,605287,德才股份,装修装饰,-0.13,14.93,6.93,11.35
16,002280.SZ,002280,联络互动,软件服务,40.76,3.6,3.17,130.17
17,603324.SH,603324,盛剑环境,环境保护,62.16,4.97,2.79,16.05
18,601528.SH,601528,瑞丰银行,银行,5.82,5.27,1.4,18.67
19,601106.SH,601106,中国一重,工程机械,16.79,1.75,1.27,224.25
20,603958.SH,603958,哈森股份,服饰,12.79,2.49,1.23,18.21
21,300432.SZ,300432,富临精工,汽车配件,76.53,6.09,1.12,175.17
22,300400.SZ,300400,劲拓股份,专用机械,54.8,4.36,1.08,45.6
23,300343.SZ,300343,联创股份,互联网,78.68,6.69,0.94,53.38
24,002176.SZ,002176,江特电机,电气设备,45.34,3.83,0.87,180.96
25,603938.SH,603938,三孚股份,化工原料,45.53,4.32,0.81,83.24
26,300671.SZ,300671,富满电子,半导体,83.68,6.7,0.69,326.39
27,001207.SZ,001207,联科科技,化工原料,-2.17,1.06,0.64,11.07
28,603738.SH,603738,泰晶科技,元器件,59.24,4.68,0.64,81.85
29,002895.SZ,002895,川恒股份,化工原料,48.18,3.8,0.64,98.22
30,002335.SZ,002335,科华数据,电气设备,36.28,3.34,0.57,101.23
31,002080.SZ,002080,中材科技,化纤,18.71,1.75,0.57,486.66
32,002218.SZ,002218,拓日新能,电气设备,0.76,1.16,0.5,64.55
33,600160.SH,600160,巨化股份,化工原料,20.41,1.43,0.48,272.4
34,300334.SZ,300334,津膜科技,专用机械,46.42,3.5,0.42,26.81
35,000920.SZ,000920,南方汇通,环境保护,33.38,2.28,0.36,39.78
36,002240.SZ,002240,盛新锂能,小金属,29.85,2.38,0.32,252.92
37,002192.SZ,002192,融捷股份,小金属,45.67,4.01,0.28,255.23
38,600018.SH,600018,上港集团,港口,14.87,1.46,0.27,1232.84
39,600845.SH,600845,宝信软件,软件服务,16.24,1.53,0.26,618.68
40,600619.SH,600619,海立股份,机械基件,27.68,2.56,0.26,70.61
41,002074.SZ,002074,国轩高科,电气设备,23.91,2.35,0.24,555.83
42,300750.SZ,300750,宁德时代,电气设备,17.41,1.85,0.23,11349.5
43,603195.SH,603195,公牛集团,电气设备,17.56,1.78,0.22,170.75
44,600699.SH,600699,均胜电子,汽车配件,25.05,2.15,0.21,395.38
45,603396.SH,603396,金辰股份,专用机械,45.34,4.14,0.2,68.77
46,002048.SZ,002048,宁波华翔,汽车配件,16.92,1.55,0.19,115.78
47,300271.SZ,300271,华宇软件,软件服务,11.9,1.25,0.18,139.31
48,002887.SZ,002887,绿茵生态,环境保护,11.35,1.13,0.18,19.02
49,603937.SH,603937,丽岛新材,铝,31.29,2.76,0.11,33.92
50,000811.SZ,000811,冰轮环境,工程机械,14.74,1.94,0.08,87.86
51,000990.SZ,000990,诚志股份,化工原料,12.09,1.23,0.08,177.68
52,002747.SZ,002747,埃斯顿,机械基件,10.32,1.3,0.02,310.11
53,002288.SZ,002288,超华科技,元器件,21.18,1.36,0.02,80.29
54,300496.SZ,300496,中科创达,软件服务,18.25,1.79,-0.01,519.23
55,000657.SZ,000657,中钨高新,小金属,25.6,2.34,-0.01,109.74
56,300257.SZ,300257,开山股份,机械基件,13.76,1.49,-0.01,125.03
57,600251.SH,600251,冠农股份,农业综合,27.61,2.89,-0.01,76.89
58,600773.SH,600773,西藏城投,区域地产,29.95,2.74,-0.02,136.61
59,000935.SZ,000935,四川双马,水泥,43.38,4.02,-0.03,143.07
60,600584.SH,600584,长电科技,半导体,16.83,1.65,-0.03,575.89
61,600110.SH,600110,诺德股份,电气设备,31.92,2.73,-0.05,197.95
62,603379.SH,603379,三美股份,化工原料,29.11,2.68,-0.05,41.87
63,300604.SZ,300604,长川科技,专用机械,38.65,3.52,-0.06,181.98
64,002876.SZ,002876,三利谱,元器件,10.57,1.11,-0.07,95.58
65,300124.SZ,300124,汇川技术,电器仪表,18.34,2.05,-0.08,1619.19
66,002850.SZ,002850,科达利,机械基件,27.95,2.49,-0.08,157.52
67,603260.SH,603260,合盛硅业,化工原料,21.94,2.81,-0.08,739.71
68,300820.SZ,300820,英杰电气,电气设备,30.55,3.02,-0.1,20.75
69,300390.SZ,300390,天华超净,元器件,26.42,2.65,-0.12,229.71
70,002345.SZ,002345,潮宏基,服饰,7.95,1.07,-0.14,49.28
71,002402.SZ,002402,和而泰,元器件,12.98,1.18,-0.14,205.9
72,603667.SH,603667,五洲新春,机械基件,19.06,1.9,-0.14,28.6
73,600499.SH,600499,科达制造,专用机械,23.93,2.22,-0.14,264.66
74,002574.SZ,002574,明牌珠宝,服饰,14.45,1.37,-0.15,26.35
75,600055.SH,600055,万东医疗,医疗保健,20.81,1.99,-0.15,100.48
76,002724.SZ,002724,海洋王,半导体,13.26,1.68,-0.15,53.86
77,600426.SH,600426,华鲁恒升,农药化肥,18.81,1.12,-0.15,751.29
78,600586.SH,600586,金晶科技,玻璃,13.06,2.31,-0.16,130.73
79,603799.SH,603799,华友钴业,小金属,21.2,2.72,-0.18,1464.81
80,300406.SZ,300406,九强生物,医疗保健,10.81,1.04,-0.18,68.27
81,002156.SZ,002156,通富微电,半导体,5.86,1.1,-0.18,323.97
82,600836.SH,600836,上海易连,广告包装,12.36,1.4,-0.19,45.8
83,300114.SZ,300114,中航电测,电器仪表,16.63,1.18,-0.19,100.25
84,002460.SZ,002460,赣锋锂业,小金属,20.2,1.94,-0.19,1234.26
85,600673.SH,600673,东阳光,化学制药,12.92,1.27,-0.2,124.67
86,605377.SH,605377,华旺科技,造纸,13.2,1.27,-0.2,12.12
87,600778.SH,600778,友好集团,百货,11.97,1.14,-0.2,13.97
88,603026.SH,603026,石大胜华,化工原料,63.82,6.07,-0.21,458.14
89,002120.SZ,002120,韵达股份,仓储物流,13.77,1.38,-0.21,415.6
90,600577.SH,600577,精达股份,电气设备,22.6,1.43,-0.21,149.08
91,300478.SZ,300478,杭州高新,橡胶,20.74,1.76,-0.22,12.95
92,000009.SZ,000009,中国宝安,综合类,24.19,2.61,-0.22,519.98
93,002741.SZ,002741,光华科技,化工原料,18.62,1.65,-0.24,59.14
94,002346.SZ,002346,柘中股份,电气设备,23.44,1.39,-0.25,78.97
95,002026.SZ,002026,山东威达,机械基件,21.19,2.09,-0.25,59.53
96,300450.SZ,300450,先导智能,专用机械,12.23,1.41,-0.26,929.84
97,603501.SH,603501,韦尔股份,半导体,13.29,1.54,-0.26,2631.26
98,002254.SZ,002254,泰和新材,化纤,11.32,1.62,-0.26,92.72
99,002667.SZ,002667,鞍重股份,工程机械,23.01,1.68,-0.26,38.9
100,002312.SZ,002312,川发龙蟒,化工原料,28.57,2.33,-0.28,138.26
101,300618.SZ,300618,寒锐钴业,小金属,21.8,2.23,-0.3,204.69
102,300416.SZ,300416,苏试试验,电器仪表,13.58,1.37,-0.3,66.78
103,300087.SZ,300087,荃银高科,种植业,33.77,2.46,-0.3,117.99
104,600889.SH,600889,南京化纤,化纤,5.51,1.56,-0.3,25.97
105,300055.SZ,300055,万邦达,环境保护,19.23,1.61,-0.31,93.65
106,002191.SZ,002191,劲嘉股份,广告包装,11.12,1.2,-0.31,168.7
107,300196.SZ,300196,长海股份,玻璃,9.58,1.04,-0.31,43.89
108,605376.SH,605376,博迁新材,小金属,21.6,1.93,-0.31,53.79
109,600549.SH,600549,厦门钨业,小金属,26.73,2.31,-0.31,344.62
110,300082.SZ,300082,奥克股份,化工原料,26.8,2.84,-0.32,95.54
111,600111.SH,600111,北方稀土,小金属,35.34,2.94,-0.33,980.93
112,002915.SZ,002915,中欣氟材,化工原料,11.67,1.28,-0.33,29.42
113,603155.SH,603155,新亚强,化工原料,26.8,2.74,-0.33,20.61
114,002979.SZ,002979,雷赛智能,专用机械,19.23,1.45,-0.34,52.61
115,300551.SZ,300551,古鳌科技,IT设备,15.58,1.18,-0.34,41.34
116,002738.SZ,002738,中矿资源,小金属,35.11,2.91,-0.34,142.61
117,300233.SZ,300233,金城医药,化学制药,17.94,1.69,-0.35,115.01
118,605006.SH,605006,山东玻纤,玻璃,20.52,1.49,-0.35,14.04
119,002685.SZ,002685,华东重机,工程机械,10.92,1.07,-0.36,41.23
120,002064.SZ,002064,华峰化学,化纤,8.53,1.46,-0.37,283.38
121,000301.SZ,000301,东方盛虹,化纤,14.57,1.01,-0.37,365.07
122,603757.SH,603757,大元泵业,专用机械,9.45,1.08,-0.37,33.1
123,300721.SZ,300721,怡达股份,化工原料,19.08,1.62,-0.37,27.74
124,002806.SZ,002806,华锋股份,元器件,12.85,1.02,-0.38,12.71
125,000036.SZ,000036,华联控股,全国地产,22.05,2.26,-0.38,68.77
126,002497.SZ,002497,雅化集团,化工原料,18.82,1.11,-0.38,242.68
127,300638.SZ,300638,广和通,通信设备,7.39,1.28,-0.39,116.75
128,300568.SZ,300568,星源材质,化工原料,26.22,2.72,-0.39,262.8
129,300041.SZ,300041,回天新材,化工原料,14.59,1.04,-0.39,55.93
130,002125.SZ,002125,湘潭电化,化工原料,14.82,1.48,-0.39,49.18
131,002865.SZ,002865,钧达股份,汽车配件,17.09,1.5,-0.39,28.57
132,002094.SZ,002094,青岛金王,日用化工,31.34,3.0,-0.4,36.46
133,002407.SZ,002407,多氟多,化工原料,25.25,2.41,-0.4,233.99
134,000633.SZ,000633,合金投资,综合类,20.22,1.29,-0.4,29.31
135,002812.SZ,002812,恩捷股份,塑料,12.89,1.56,-0.41,1485.97
136,601678.SH,601678,滨化股份,化工原料,12.1,1.53,-0.41,149.98
137,002287.SZ,002287,奇正藏药,中成药,9.71,1.06,-0.41,143.81
138,600367.SH,600367,红星发展,化工原料,14.61,1.22,-0.41,28.33
139,300745.SZ,300745,欣锐科技,汽车配件,13.89,1.07,-0.41,28.36
140,000551.SZ,000551,创元科技,专用机械,16.0,1.29,-0.41,38.01
141,300712.SZ,300712,永福股份,建筑工程,57.31,4.73,-0.42,110.86
142,300953.SZ,300953,震裕科技,机械基件,26.73,2.52,-0.43,23.11
143,300705.SZ,300705,九典制药,化学制药,13.46,1.37,-0.43,55.05
144,002539.SZ,002539,云图控股,农药化肥,23.66,1.73,-0.43,68.27
145,600421.SH,600421,华嵘控股,综合类,12.03,1.93,-0.43,26.41
146,301010.SZ,301010,晶雪节能,其他建材,33.8,2.3,-0.43,7.91
147,600587.SH,600587,新华医疗,医疗保健,27.88,3.14,-0.44,104.74
148,603657.SH,603657,春光科技,家用电器,24.62,2.43,-0.44,13.22
149,600444.SH,600444,国机通用,专用机械,28.42,2.36,-0.45,18.0
150,002674.SZ,002674,兴业科技,纺织,20.79,1.97,-0.46,40.44
151,002651.SZ,002651,利君股份,专用机械,13.45,1.05,-0.47,70.16
152,300035.SZ,300035,中科电气,电气设备,31.59,2.89,-0.47,158.15
153,000045.SZ,000045,深纺织A,元器件,16.41,1.61,-0.47,45.7
154,002355.SZ,002355,兴民智通,汽车配件,20.3,1.8,-0.48,44.25
155,002385.SZ,002385,大北农,饲料,11.33,1.2,-0.48,217.22
156,300166.SZ,300166,东方国信,软件服务,14.53,1.43,-0.48,94.15
157,600876.SH,600876,洛阳玻璃,玻璃,11.11,1.1,-0.49,55.93
158,300842.SZ,300842,帝科股份,半导体,47.99,4.04,-0.49,50.4
159,300829.SZ,300829,金丹科技,食品,9.11,1.07,-0.49,63.07
160,003022.SZ,003022,联泓新科,化工原料,21.0,1.86,-0.49,67.89
161,603300.SH,603300,华铁应急,多元金融,15.13,1.53,-0.49,108.35
162,002041.SZ,002041,登海种业,种植业,13.58,1.16,-0.49,148.72
163,600478.SH,600478,科力远,元器件,14.8,1.47,-0.51,92.08
164,300982.SZ,300982,苏文电能,建筑工程,35.69,3.05,-0.51,22.49
165,603656.SH,603656,泰禾智能,专用机械,11.23,1.09,-0.51,24.04
166,002127.SZ,002127,南极电商,互联网,27.91,2.51,-0.51,216.41
167,605186.SH,605186,健麾信息,医疗保健,30.11,2.53,-0.52,15.16
168,300730.SZ,300730,科创信息,软件服务,25.54,2.27,-0.52,21.1
169,000636.SZ,000636,风华高科,元器件,17.43,1.53,-0.52,294.26
170,603039.SH,603039,泛微网络,软件服务,20.47,1.41,-0.53,198.03
171,603369.SH,603369,今世缘,白酒,15.1,1.25,-0.53,747.93
172,600745.SH,600745,闻泰科技,通信设备,12.63,1.03,-0.53,880.7
173,603587.SH,603587,地素时尚,服饰,15.42,1.52,-0.53,40.58
174,603306.SH,603306,华懋科技,汽车配件,15.6,1.37,-0.54,124.65
175,603027.SH,603027,千禾味业,食品,14.38,1.49,-0.54,230.74
176,002772.SZ,002772,众兴菌业,种植业,-0.21,1.11,-0.54,36.54
