,ts_code,symbol,name,industry,COL_AGGRESSIVE_COUNT_LONG,COL_AGGRESSIVE_COUNT_SHORT,COL_CIRC_MV
0,300464.SZ,300464,星徽股份,机械基件,1.0,1.0,36.67
1,605086.SH,605086,龙高股份,矿物制品,1.0,1.0,8.13
2,300457.SZ,300457,赢合科技,专用机械,1.0,1.0,104.55
3,300447.SZ,300447,全信股份,电气设备,1.0,1.0,31.15
4,300445.SZ,300445,康斯特,电器仪表,1.0,1.0,20.92
5,300438.SZ,300438,鹏辉能源,电气设备,1.0,1.0,86.0
6,300422.SZ,300422,博世科,环境保护,1.0,1.0,35.29
7,300379.SZ,300379,东方通,软件服务,1.0,1.0,129.49
8,600456.SH,600456,宝钛股份,小金属,1.0,1.0,204.81
9,600470.SH,600470,六国化工,农药化肥,1.0,1.0,29.47
10,300331.SZ,300331,苏大维格,元器件,1.0,1.0,43.62
11,600577.SH,600577,精达股份,电气设备,1.0,1.0,164.08
12,300317.SZ,300317,珈伟新能,半导体,1.0,1.0,66.37
13,300233.SZ,300233,金城医药,化学制药,1.0,1.0,112.81
14,300222.SZ,300222,科大智能,电气设备,1.0,1.0,70.87
15,300217.SZ,300217,东方电热,电器仪表,1.0,1.0,33.14
16,300212.SZ,300212,易华录,软件服务,1.0,1.0,174.45
17,300207.SZ,300207,欣旺达,元器件,1.0,1.0,509.26
18,600714.SH,600714,金瑞矿业,化工原料,1.0,1.0,24.98
19,600746.SH,600746,江苏索普,化工原料,1.0,1.0,48.62
20,300159.SZ,300159,新研股份,航空,1.0,1.0,48.34
21,300120.SZ,300120,经纬辉开,元器件,1.0,1.0,38.18
22,300477.SZ,300477,合纵科技,电气设备,1.0,1.0,55.72
23,600141.SH,600141,兴发集团,化工原料,1.0,1.0,202.13
24,300480.SZ,300480,光力科技,专用机械,1.0,1.0,44.85
25,600331.SH,600331,宏达股份,铅锌,1.0,1.0,47.35
26,600171.SH,600171,上海贝岭,半导体,1.0,1.0,253.29
27,600063.SH,600063,皖维高新,化纤,1.0,1.0,103.04
28,600010.SH,600010,包钢股份,普钢,1.0,1.0,589.2
29,301039.SZ,301039,N中集,汽车整车,1.0,1.0,23.89
30,300958.SZ,300958,建工修复,环境保护,1.0,1.0,10.41
31,300915.SZ,300915,海融科技,食品,1.0,1.0,12.98
32,300899.SZ,300899,上海凯鑫,环境保护,1.0,1.0,7.14
33,300890.SZ,300890,翔丰华,矿物制品,1.0,1.0,16.16
34,300872.SZ,300872,天阳科技,软件服务,1.0,1.0,20.28
35,300779.SZ,300779,惠城环保,环境保护,1.0,1.0,15.55
36,300770.SZ,300770,新媒股份,影视音像,1.0,1.0,71.62
37,600234.SH,600234,山水文化,综合类,1.0,1.0,30.49
38,300730.SZ,300730,科创信息,软件服务,1.0,1.0,20.3
39,300726.SZ,300726,宏达电子,元器件,1.0,1.0,144.03
40,300696.SZ,300696,爱乐达,航空,1.0,1.0,63.05
41,300638.SZ,300638,广和通,通信设备,1.0,1.0,116.75
42,600251.SH,600251,冠农股份,农业综合,1.0,1.0,80.0
43,300593.SZ,300593,新雷能,电气设备,1.0,1.0,87.6
44,600259.SH,600259,广晟有色,小金属,1.0,1.0,127.06
45,300567.SZ,300567,精测电子,电器仪表,1.0,1.0,116.34
46,600316.SH,600316,洪都航空,航空,1.0,1.0,285.77
47,600418.SH,600418,江淮汽车,汽车整车,1.0,1.0,246.51
48,300061.SZ,300061,旗天科技,互联网,1.0,1.0,48.21
49,300103.SZ,300103,达刚控股,环境保护,1.0,1.0,26.32
50,002386.SZ,002386,天原股份,化工原料,1.0,1.0,89.45
51,002375.SZ,002375,亚厦股份,装修装饰,1.0,1.0,114.47
52,603217.SH,603217,元利科技,化工原料,1.0,1.0,14.17
53,002341.SZ,002341,新纶科技,化工原料,1.0,1.0,57.98
54,002340.SZ,002340,格林美,小金属,1.0,1.0,544.3
55,603228.SH,603228,景旺电子,元器件,1.0,1.0,237.06
56,002196.SZ,002196,方正电机,纺织机械,1.0,1.0,39.61
57,603399.SH,603399,吉翔股份,小金属,1.0,1.0,29.11
58,002149.SZ,002149,西部材料,小金属,1.0,1.0,72.62
59,603650.SH,603650,彤程新材,化工原料,1.0,1.0,307.64
