,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_DISCRETE,COL_CIRC_MV
0,300637.SZ,300637,扬帆新材,化工原料,11.65,1.23,1.63,23.8
1,603195.SH,603195,公牛集团,电气设备,15.9,1.62,1.94,170.86
2,002687.SZ,002687,乔治白,服饰,13.46,1.21,2.1,18.06
3,605377.SH,605377,华旺科技,造纸,10.87,1.17,3.03,12.01
4,002915.SZ,002915,中欣氟材,化工原料,13.24,1.35,3.16,30.09
5,300406.SZ,300406,九强生物,医疗保健,5.47,1.11,3.69,68.67
6,601311.SH,601311,骆驼股份,电气设备,11.66,1.05,4.0,139.65
7,002527.SZ,002527,新时达,电器仪表,10.97,1.01,4.04,39.54
8,002041.SZ,002041,登海种业,种植业,13.37,1.21,4.3,148.46
9,300041.SZ,300041,回天新材,化工原料,14.66,1.22,4.58,55.97
10,002674.SZ,002674,兴业科技,纺织,20.22,2.04,4.61,40.87
11,300650.SZ,300650,太龙照明,电气设备,13.35,1.52,4.66,13.13
12,600836.SH,600836,上海易连,广告包装,12.52,1.18,5.06,45.86
13,605008.SH,605008,长鸿高科,塑料,11.93,1.06,5.14,13.35
14,600018.SH,600018,上港集团,港口,13.79,1.33,5.24,1221.25
15,300138.SZ,300138,晨光生物,食品,9.44,1.11,5.24,67.92
16,002003.SZ,002003,伟星股份,服饰,12.22,1.04,5.24,45.13
17,002713.SZ,002713,东易日盛,装修装饰,12.64,1.45,5.27,28.63
18,002685.SZ,002685,华东重机,工程机械,13.0,1.28,5.32,42.09
19,603587.SH,603587,地素时尚,服饰,7.88,1.47,5.33,40.57
20,002627.SZ,002627,宜昌交运,公共交通,14.94,1.48,5.36,37.73
21,300551.SZ,300551,古鳌科技,IT设备,18.75,1.51,5.45,42.47
22,600584.SH,600584,长电科技,半导体,15.67,1.19,5.46,570.18
23,300257.SZ,300257,开山股份,机械基件,17.46,2.01,5.56,133.7
24,002920.SZ,002920,德赛西威,汽车配件,13.51,1.4,5.56,655.26
